Group,Metric,Model MAE,Model MSE,Baseline MAE,Baseline MSE
Overall,General,10.63,476.37,7.36,136.49
Bottom 25%,points,4.79,34.77,3.05,36.93
Middle 50%,points,7.7,124.59,7.65,122.49
Top 25%,points,23.26,1642.46,12.75,294.34
Bottom 25%,cost,6.85,124.11,6.39,104.84
Middle 50%,cost,8.56,188.6,5.89,86.3
Top 25%,cost,18.85,1413.3,11.15,264.04
