Group,Metric,Model MAE,Model MSE,Baseline MAE,Baseline MSE
Overall,General,8.47,341.8,7.36,136.49
Bottom 25%,points,2.44,12.67,3.05,36.93
Middle 50%,points,6.88,132.41,7.65,122.49
Top 25%,points,19.24,1125.98,12.75,294.34
Bottom 25%,cost,5.01,96.87,6.39,104.84
Middle 50%,cost,6.63,120.9,5.89,86.3
Top 25%,cost,15.93,1030.34,11.15,264.04
