Group,Metric,Model MAE,Model MSE,Baseline MAE,Baseline MSE
Overall,General,15.25,853.17,7.36,136.49
Bottom 25%,points,5.03,117.65,3.05,36.93
Middle 50%,points,10.8,337.29,7.65,122.49
Top 25%,points,36.32,2682.76,12.75,294.34
Bottom 25%,cost,6.82,152.44,6.39,104.84
Middle 50%,cost,10.67,286.66,5.89,86.3
Top 25%,cost,33.57,2706.4,11.15,264.04
