Group,Metric,Model MAE,Model MSE,Baseline MAE,Baseline MSE
Overall,General,13.02,499.98,7.36,136.49
Bottom 25%,points,6.06,74.81,3.05,36.93
Middle 50%,points,9.82,203.84,7.65,122.49
Top 25%,points,27.64,1554.24,12.75,294.34
Bottom 25%,cost,7.85,150.23,6.39,104.84
Middle 50%,cost,9.79,209.71,5.89,86.3
Top 25%,cost,25.01,1438.35,11.15,264.04
