Group,Metric,Model MAE,Model MSE,Baseline MAE,Baseline MSE
Overall,General,14.73,686.28,7.36,136.49
Bottom 25%,points,6.1,95.58,3.05,36.93
Middle 50%,points,11.55,343.83,7.65,122.49
Top 25%,points,31.57,2040.06,12.75,294.34
Bottom 25%,cost,8.83,211.08,6.39,104.84
Middle 50%,cost,10.89,275.36,5.89,86.3
Top 25%,cost,28.68,1990.71,11.15,264.04
