General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Benjamin Lecomte,FRA,GK,31,1991,10.0,14,0,0,2,1,10.4,0.26,-2.6,-0.26,72,160,45.0,192,25,57.3,43.1,80,62.5,47.0,146,4,2.7,11,1.1,15.3
Fernando Pacheco,ESP,GK,30,1992,16.0,33,4,0,3,0,26.6,0.25,-6.4,-0.4,127,272,46.7,417,56,42.4,36.2,137,69.3,49.6,242,16,6.6,19,1.19,13.8
Joan García,ESP,GK,21,2001,1.0,3,1,0,0,0,1.8,0.21,-1.2,-1.16,2,6,33.3,27,4,14.8,21.7,3,66.7,47.3,16,2,12.5,1,1.0,13.0
Álvaro Fernández,ESP,GK,24,1998,11.0,18,0,0,4,1,15.2,0.31,-1.8,-0.17,104,221,47.1,253,37,55.7,42.5,103,77.7,54.8,153,5,3.3,15,1.36,16.3
