General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Adri Embarba,ESP,FW,30,1992,0.4,15,2,2,8,6,1,15,5,3,60.0,1,20.0,7,49,36,1,1,0,2,0,6,2
Adrià Pedrosa,ESP,"DF,MF",24,1998,2.5,115,7,30,38,49,5,115,9,1,11.1,8,88.9,76,542,220,7,6,3,6,1,66,21
Aleix Vidal,ESP,"MF,FW",32,1989,11.4,489,19,99,205,188,15,489,19,7,36.8,11,57.9,238,1219,457,16,5,3,15,7,250,53
Benjamin Lecomte,FRA,GK,31,1991,10.0,298,228,290,8,0,0,298,0,0,,0,,124,746,506,0,0,0,0,0,87,0
Brian Oliván,ESP,DF,28,1994,26.7,1327,86,391,541,402,36,1327,11,4,36.4,6,54.5,611,2881,1518,48,19,9,23,6,682,139
César Montes,MEX,DF,25,1997,17.7,989,154,511,422,66,29,989,5,2,40.0,3,60.0,499,2365,1487,13,5,0,5,3,551,4
Dani Gómez,ESP,"MF,FW",24,1998,1.0,32,0,4,12,17,4,32,3,1,33.3,2,66.7,20,124,22,1,2,0,3,2,21,9
Denis Suárez,ESP,"MF,FW",28,1994,10.5,541,9,79,302,167,12,541,28,19,67.9,9,32.1,311,2014,945,26,20,2,13,11,363,34
Edu Expósito,ESP,MF,25,1996,12.9,689,28,124,329,242,20,689,23,11,47.8,7,30.4,358,1755,901,19,15,2,25,13,428,59
Fernando Calero,ESP,"DF,MF",26,1995,17.9,944,83,377,499,77,14,944,3,1,33.3,2,66.7,454,1933,951,9,8,1,12,6,518,4
Fernando Pacheco,ESP,GK,30,1992,16.0,598,504,591,7,0,0,598,0,0,,0,,317,1818,1179,0,0,0,0,0,233,0
Javi Puado,ESP,"FW,MF",24,1998,26.0,847,23,135,320,417,91,847,56,23,41.1,26,46.4,528,3563,1490,60,37,21,69,30,577,117
Joan García,ESP,GK,21,2001,1.0,31,23,30,1,0,0,31,0,0,,0,,20,85,41,0,0,0,0,0,16,0
Joselu,ESP,FW,32,1990,33.2,1111,44,90,501,523,152,1106,42,18,42.9,22,52.4,520,1850,616,23,21,16,84,43,833,147
José Carlos Lazo,ESP,"MF,FW",26,1996,1.8,70,6,24,14,32,4,70,5,1,20.0,4,80.0,34,215,103,2,5,0,3,4,33,10
José Gragera,ESP,"MF,DF",21,2000,5.1,272,20,117,137,19,6,272,0,0,,0,,122,475,168,0,1,0,1,1,150,3
Keidi Bare,ALB,MF,24,1997,5.6,336,15,67,207,62,5,336,6,2,33.3,3,50.0,181,1012,439,6,13,1,6,3,214,11
Leandro Cabrera,URU,DF,31,1991,29.7,1642,198,723,802,125,40,1642,9,6,66.7,2,22.2,763,3158,1406,13,9,1,9,5,893,8
Luca Koleosho,ITA,"FW,DF",17,2004,0.7,40,0,2,13,26,5,40,8,4,50.0,4,50.0,27,178,88,4,0,3,6,0,27,15
Martin Braithwaite,DEN,"FW,MF",31,1991,27.3,696,10,55,287,362,75,696,53,17,32.1,26,49.1,410,2073,983,32,29,11,52,19,514,126
Nabil Touaizi,MAR,MF,21,2001,0.0,2,0,0,0,2,1,2,0,0,,0,,1,12,3,0,0,0,0,0,1,1
Nico Ribaudo,ESP,"MF,FW",21,2001,13.9,625,3,42,307,288,39,625,53,20,37.7,26,49.1,389,2368,1173,40,39,10,35,24,434,92
Omar El Hilali,MAR,"DF,MF",18,2003,1.0,55,6,30,15,10,1,55,1,0,0.0,1,100.0,19,44,5,0,0,0,4,0,20,5
Pol Lozano,ESP,MF,22,1999,0.2,12,2,7,4,1,0,12,0,0,,0,,7,29,0,0,0,0,1,0,6,0
Roger Martínez,ESP,DF,18,2004,0.1,6,0,0,1,5,1,6,0,0,,0,,3,10,4,0,0,0,0,0,4,0
Ronaël Pierre-Gabriel,FRA,DF,24,1998,2.6,154,14,61,46,50,6,154,9,4,44.4,4,44.4,69,433,211,7,3,2,5,2,68,16
Rubén,ESP,"DF,MF",21,2001,9.9,473,24,130,195,160,21,473,24,12,50.0,10,41.7,224,1612,838,34,15,10,17,9,230,57
Sergi Darder,ESP,MF,28,1993,36.9,1980,43,276,1145,605,39,1980,135,68,50.4,54,40.0,1214,8752,4719,111,95,9,43,26,1273,75
Sergi Gómez,ESP,DF,30,1992,26.0,1379,188,736,620,33,19,1379,0,0,,0,,719,3044,1464,2,2,0,5,0,827,1
Simo,ESP,DF,17,2005,1.6,79,14,32,46,2,0,79,0,0,,0,,46,241,143,2,0,0,0,2,47,1
Vinicius Souza,BRA,MF,23,1999,27.0,1242,79,337,746,164,20,1242,19,10,52.6,7,36.8,543,2552,972,13,11,2,30,13,614,14
Álvaro Fernández,ESP,GK,24,1998,11.0,382,296,375,7,0,0,382,0,0,,0,,174,1053,714,0,0,0,0,1,124,0
Óscar Gil,ESP,DF,25,1997,28.4,1334,88,406,570,371,27,1334,49,23,46.9,22,44.9,576,2930,1283,39,24,5,52,14,602,111
