General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Adri Embarba,ESP,FW,30,1992,0.4,0,2,0,0.0,5.14,0.0,0.0,,29.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Adrià Pedrosa,ESP,"DF,MF",24,1998,2.5,0,1,0,0.0,0.39,0.0,0.0,,19.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Aleix Vidal,ESP,"MF,FW",32,1989,11.4,0,3,2,66.7,0.26,0.18,0.0,0.0,17.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Benjamin Lecomte,FRA,GK,31,1991,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Brian Oliván,ESP,DF,28,1994,26.7,1,15,4,26.7,0.56,0.15,0.07,0.25,24.5,1,0,0,0.6,0.6,0.04,0.4,0.4
César Montes,MEX,DF,25,1997,17.7,3,13,6,46.2,0.74,0.34,0.23,0.5,12.9,0,0,0,0.9,0.9,0.07,2.1,2.1
Dani Gómez,ESP,"MF,FW",24,1998,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Denis Suárez,ESP,"MF,FW",28,1994,10.5,0,4,2,50.0,0.38,0.19,0.0,0.0,19.4,0,0,0,0.5,0.5,0.12,-0.5,-0.5
Edu Expósito,ESP,MF,25,1996,12.9,2,19,7,36.8,1.47,0.54,0.11,0.29,24.7,2,0,0,0.9,0.9,0.05,1.1,1.1
Fernando Calero,ESP,"DF,MF",26,1995,17.9,0,7,2,28.6,0.39,0.11,0.0,0.0,9.1,0,0,0,0.7,0.7,0.1,-0.7,-0.7
Fernando Pacheco,ESP,GK,30,1992,16.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Javi Puado,ESP,"FW,MF",24,1998,26.0,7,57,23,40.4,2.19,0.88,0.12,0.3,14.2,0,0,0,7.8,7.8,0.14,-0.8,-0.8
Joan García,ESP,GK,21,2001,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Joselu,ESP,FW,32,1990,33.2,16,87,33,37.9,2.62,0.99,0.13,0.33,16.1,2,5,5,14.5,10.5,0.12,1.5,0.5
José Carlos Lazo,ESP,"MF,FW",26,1996,1.8,1,4,1,25.0,2.26,0.57,0.25,1.0,21.1,1,0,0,0.2,0.2,0.06,0.8,0.8
José Gragera,ESP,"MF,DF",21,2000,5.1,1,4,1,25.0,0.78,0.2,0.25,1.0,11.6,0,0,0,0.7,0.7,0.22,0.3,0.3
Keidi Bare,ALB,MF,24,1997,5.6,0,5,3,60.0,0.89,0.54,0.0,0.0,17.9,0,0,0,0.6,0.6,0.12,-0.6,-0.6
Leandro Cabrera,URU,DF,31,1991,29.7,0,23,6,26.1,0.78,0.2,0.0,0.0,11.2,0,0,0,2.3,2.3,0.1,-2.3,-2.3
Luca Koleosho,ITA,"FW,DF",17,2004,0.7,1,1,1,100.0,1.53,1.53,1.0,1.0,20.6,0,0,0,0.0,0.0,0.03,1.0,1.0
Martin Braithwaite,DEN,"FW,MF",31,1991,27.3,10,58,25,43.1,2.13,0.92,0.17,0.4,16.0,4,0,0,9.2,9.2,0.16,0.8,0.8
Nabil Touaizi,MAR,MF,21,2001,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nico Ribaudo,ESP,"MF,FW",21,2001,13.9,1,33,11,33.3,2.38,0.79,0.03,0.09,20.4,3,0,0,3.7,3.7,0.11,-2.7,-2.7
Omar El Hilali,MAR,"DF,MF",18,2003,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Pol Lozano,ESP,MF,22,1999,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Roger Martínez,ESP,DF,18,2004,0.1,0,1,0,0.0,12.86,0.0,0.0,,26.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Ronaël Pierre-Gabriel,FRA,DF,24,1998,2.6,1,2,1,50.0,0.76,0.38,0.5,1.0,14.6,0,0,0,0.2,0.2,0.08,0.8,0.8
Rubén,ESP,"DF,MF",21,2001,9.9,0,9,0,0.0,0.91,0.0,0.0,,19.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Sergi Darder,ESP,MF,28,1993,36.9,6,39,13,33.3,1.06,0.35,0.15,0.46,22.6,0,0,0,3.5,3.5,0.09,2.5,2.5
Sergi Gómez,ESP,DF,30,1992,26.0,0,9,4,44.4,0.35,0.15,0.0,0.0,12.8,0,0,0,0.9,0.9,0.1,-0.9,-0.9
Simo,ESP,DF,17,2005,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Vinicius Souza,BRA,MF,23,1999,27.0,1,10,4,40.0,0.37,0.15,0.1,0.25,21.9,0,0,0,0.8,0.8,0.08,0.2,0.2
Álvaro Fernández,ESP,GK,24,1998,11.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Óscar Gil,ESP,DF,25,1997,28.4,0,11,2,18.2,0.39,0.07,0.0,0.0,18.9,0,0,0,0.6,0.6,0.05,-0.6,-0.6
