General,General,General,General,General,Playing time,Playing time,Playing time,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Ga,Ga90,Sota,Saves,Save%,W,D,L,Cs,Cs%,Pkatt,Pka,Pksv,Pkm,Save%
Benjamin Lecomte,FRA,GK,31,1991,10,10,899,10.0,14,1.4,40,27,65.0,1,5,4,1,10.0,0,0,0,0,
Fernando Pacheco,ESP,GK,30,1992,16,16,1440,16.0,33,2.06,88,54,67.0,4,3,9,3,18.8,5,4,1,0,20.0
Joan García,ESP,GK,21,2001,1,1,90,1.0,3,3.0,4,1,50.0,0,1,0,0,0.0,1,1,0,0,0.0
Álvaro Fernández,ESP,GK,24,1998,11,11,990,11.0,18,1.64,50,33,64.0,3,4,4,2,18.2,0,0,0,0,
