General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Filip Jørgensen,DEN,GK,20,2002,2.0,3,0,0,0,0,2.3,0.39,-0.7,-0.34,0,4,0.0,44,9,9.1,22.8,11,0.0,17.5,18,2,11.1,4,2.0,13.3
Gerónimo Rulli,ARG,GK,30,1992,14.0,10,0,0,1,0,12.5,0.23,2.5,0.18,50,119,42.0,451,70,19.3,28.8,92,34.8,37.9,215,20,9.3,21,1.5,15.5
Pepe Reina,ESP,GK,39,1982,22.0,27,4,0,3,1,28.9,0.29,2.9,0.13,64,207,30.9,736,112,22.1,28.8,118,37.3,35.7,315,15,4.8,20,0.91,14.6
