General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Alberto Del Moral,ESP,MF,22,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alberto Moreno,ESP,DF,30,1992,14.4,23,12,10,10,3,11,24,45.8,13,12,1,11,23,46,26,0
Alex Baena,ESP,"MF,FW",21,2001,21.6,30,17,9,15,6,15,45,33.3,30,15,3,12,7,37,16,0
Alfonso Pedraza,ESP,DF,26,1996,18.1,35,26,20,10,5,19,29,65.5,10,19,1,18,18,53,31,0
Arnaut Danjuma,NED,FW,25,1997,5.3,3,3,1,0,2,1,2,50.0,1,0,0,0,0,3,1,1
Aïssa Mandi,ALG,DF,30,1991,16.2,18,10,14,3,1,6,12,50.0,6,19,14,5,21,39,58,0
Daniel Parejo,ESP,MF,33,1989,36.5,71,40,32,23,16,30,75,40.0,45,40,12,28,29,100,31,2
Diego Collado,ESP,FW,21,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Fernando Niño,ESP,"MF,FW",21,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Filip Jørgensen,DEN,GK,20,2002,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Francis Coquelin,FRA,MF,31,1991,8.3,18,13,7,9,2,7,7,100.0,0,8,2,6,9,27,7,0
Gerard Moreno,ESP,FW,30,1992,13.7,11,6,0,6,5,3,6,50.0,3,6,2,4,5,16,10,0
Gerónimo Rulli,ARG,GK,30,1992,14.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,6,2
Giovani Lo Celso,ARG,"MF,FW",26,1996,12.5,32,28,7,15,10,12,21,57.1,9,14,2,12,6,38,5,0
Haissem Hassan,FRA,"FW,MF",20,2002,0.6,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0
Johan Mojica,COL,DF,29,1992,7.1,13,9,9,3,1,5,9,55.6,4,8,3,5,4,17,14,1
Jorge Cuenca,ESP,DF,22,1999,5.6,9,7,7,2,0,4,7,57.1,3,10,8,2,6,15,44,0
José Luis Morales,ESP,"FW,MF",35,1987,13.5,7,6,1,2,4,5,17,29.4,12,12,1,11,2,9,2,0
Juan Foyth,ARG,DF,24,1998,21.8,73,48,49,22,2,41,57,71.9,16,32,11,21,20,93,68,0
Kiko Femenía,ESP,DF,31,1991,12.6,18,9,14,3,1,13,18,72.2,5,15,6,9,20,38,22,0
Mamadou Fall,SEN,DF,19,2002,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Manu Morlanes,ESP,MF,23,1999,1.8,3,2,2,1,0,3,3,100.0,0,3,2,1,1,4,2,0
Manu Trigueros,ESP,MF,30,1991,9.2,20,14,9,5,6,9,22,40.9,13,9,2,7,5,25,4,0
Nicolas Jackson,SEN,FW,21,2001,17.8,14,11,2,10,2,2,8,25.0,6,18,2,16,2,16,4,0
Pascu,ESP,"DF,FW",19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Pau Torres,ESP,DF,25,1997,33.9,43,25,25,13,5,23,36,63.9,13,36,27,9,13,56,146,3
Pepe Reina,ESP,GK,39,1982,22.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,4,4
Ramón Terrats,ESP,MF,21,2000,9.1,15,10,3,8,4,9,17,52.9,8,11,4,7,8,23,6,2
Raúl Albiol,ESP,DF,36,1985,23.5,25,17,17,6,2,14,18,77.8,4,17,13,4,14,39,111,0
Samuel Chukwueze,NGA,"FW,MF",23,1999,26.0,14,7,7,2,5,7,23,30.4,16,13,0,13,12,26,16,0
Yeremi Pino,ESP,"FW,MF",19,2002,27.2,62,38,25,20,17,21,56,37.5,35,41,4,37,15,77,36,0
Étienne Capoue,FRA,MF,34,1988,21.7,21,12,6,13,2,10,18,55.6,8,12,5,7,19,40,20,1
