,total_points,predicted_points,difference,FPL_Name
261.0,19,14.53,4.470000000000001,Ibrahima Diallo
385.0,18,13.46,4.539999999999999,Carney Chukwuemeka
64.0,20,15.45,4.550000000000001,Bertrand Traoré
181.0,135,130.44,4.560000000000002,Emiliano Martínez Romero
291.0,43,38.43,4.57,Oliver Skipp
47.0,101,96.42,4.579999999999998,Raheem Sterling
301.0,109,104.34,4.659999999999997,Max Kilman
518.0,21,16.3,4.699999999999999,Sergio Gómez
447.0,22,17.27,4.73,Lewis O'Brien
95.0,142,137.23,4.77000000000001,James Ward-Prowse
35.0,17,12.19,4.8100000000000005,Manuel Lanzini
428.0,43,38.13,4.869999999999997,Toti António Gomes
221.0,112,107.09,4.909999999999997,Lewis Dunk
84.0,70,64.98,5.019999999999996,Ben Chilwell
572.0,15,9.95,5.050000000000001,Sasa Lukic
13.0,94,88.82,5.180000000000007,Ivan Perišić
280.0,57,51.78,5.219999999999999,Stuart Armstrong
139.0,21,15.76,5.24,Rob Holding
525.0,54,48.7,5.299999999999997,Remo Freuler
432.0,39,33.7,5.299999999999997,Alejandro Garnacho
384.0,20,14.54,5.460000000000001,Joe Gelhardt
354.0,129,123.4,5.599999999999994,Sven Botman
380.0,66,60.35,5.649999999999999,Conor Gallagher
40.0,92,86.28,5.719999999999999,Nathan Aké
348.0,21,15.24,5.76,Armando Broja
293.0,18,12.23,5.77,Emile Smith Rowe
415.0,148,142.19,5.810000000000002,José Malheiro de Sá
480.0,32,26.17,5.829999999999998,Sékou Mara
481.0,14,8.16,5.84,Maxwel Cornet
434.0,83,77.15,5.849999999999994,João Palhinha Gonçalves
161.0,127,121.04,5.959999999999994,Rodrigo Moreno
241.0,105,99.02,5.980000000000004,Jadon Sancho
132.0,121,115.02,5.980000000000004,Andrew Robertson
270.0,77,71.0,6.0,Conor Coady
224.0,142,135.99,6.009999999999991,Phil Foden
396.0,29,22.97,6.030000000000001,Kristoffer Ajer
146.0,29,22.96,6.039999999999999,Pontus Jansson
268.0,40,33.92,6.079999999999998,Neeskens Kebano
231.0,114,107.91,6.090000000000003,Timothy Castagne
182.0,54,47.9,6.100000000000001,Adam Armstrong
589.0,48,41.86,6.140000000000001,Danilo dos Santos de Oliveira
123.0,79,72.84,6.159999999999997,Jorge Luiz Frello Filho
204.0,27,20.79,6.210000000000001,Yves Bissouma
486.0,40,33.78,6.219999999999999,Fábio Ferreira Vieira
89.0,70,63.77,6.229999999999997,Patrick Bamford
201.0,45,38.73,6.270000000000003,Daniel James
462.0,61,54.72,6.280000000000001,Jaidon Anthony
450.0,84,77.71,6.290000000000006,Gavin Bazunu
176.0,106,99.7,6.299999999999997,Bernardo Veiga de Carvalho e Silva
550.0,11,4.69,6.31,Jhon Durán
100.0,35,28.59,6.41,Matt Targett
42.0,93,86.53,6.469999999999999,John Stones
166.0,39,32.44,6.560000000000002,Christian Pulisic
170.0,17,10.42,6.58,Lucas Rodrigues Moura da Silva
131.0,39,32.35,6.649999999999999,Harry Maguire
109.0,97,90.35,6.650000000000006,Danny Ings
503.0,66,59.33,6.670000000000002,Idrissa Gueye
553.0,18,11.31,6.6899999999999995,Antoine Semenyo
421.0,57,50.29,6.710000000000001,Roméo Lavia
168.0,79,72.25,6.75,Issa Diop
196.0,116,109.19,6.810000000000002,Declan Rice
20.0,47,40.13,6.869999999999997,Adam Lallana
478.0,35,28.1,6.899999999999999,Cheikhou Kouyaté
378.0,58,51.07,6.93,Vladimir Coufal
284.0,15,8.04,6.960000000000001,Saman Ghoddos
477.0,53,46.02,6.979999999999997,Ryan Yates
355.0,74,66.95,7.049999999999997,Cheick Doucouré
150.0,101,93.9,7.099999999999994,Jefferson Lerma Solís
549.0,72,64.9,7.099999999999994,Alexandre Moreno Lopera
426.0,75,67.88,7.1200000000000045,Vitalii Mykolenko
400.0,38,30.87,7.129999999999999,Frank Onyeka
36.0,161,153.86,7.139999999999986,David De Gea Quintana
369.0,60,52.79,7.210000000000001,Hwang Hee-chan
418.0,29,21.74,7.260000000000002,Shandon Baptiste
596.0,45,37.66,7.340000000000003,Kamaldeen Sulemana
334.0,68,60.55,7.450000000000003,Anthony Gordon
371.0,57,49.5,7.5,Matty Cash
194.0,23,15.36,7.640000000000001,Luka Milivojevic
465.0,128,120.35,7.650000000000006,Pervis Estupiñán
444.0,61,53.32,7.68,Joe Worrall
262.0,126,118.28,7.719999999999999,Dwight McNeil
174.0,106,98.18,7.819999999999993,Saïd Benrahma
115.0,19,11.18,7.82,Tom Davies
317.0,82,74.1,7.900000000000006,Dean Henderson
24.0,126,118.08,7.920000000000002,Alex Iwobi
172.0,70,62.01,7.990000000000002,Fabio Henrique Tavares
104.0,88,79.92,8.079999999999998,Kurt Zouma
59.0,99,90.91,8.090000000000003,Ben Davies
111.0,182,173.87,8.129999999999995,Ivan Toney
206.0,146,137.79,8.210000000000008,Gabriel dos Santos Magalhães
319.0,110,101.76,8.239999999999995,Ezri Konsa Ngoyo
26.0,49,40.58,8.420000000000002,Theo Walcott
33.0,84,75.56,8.439999999999998,Michail Antonio
366.0,95,86.54,8.459999999999994,Joël Veltman
263.0,62,53.51,8.490000000000002,Frederico Rodrigues de Paula Santos
566.0,36,27.5,8.5,Sam Johnstone
389.0,74,65.48,8.519999999999996,Crysencio Summerville
326.0,32,23.48,8.52,Takehiro Tomiyasu
248.0,63,54.48,8.520000000000003,Eddie Nketiah
52.0,89,80.38,8.620000000000005,Hugo Lloris
210.0,41,32.19,8.810000000000002,Jean-Philippe Mateta
337.0,93,84.17,8.829999999999998,Tyrick Mitchell
413.0,70,61.07,8.93,Patson Daka
265.0,90,81.06,8.939999999999998,Bobby De Cordova-Reid
435.0,44,34.91,9.090000000000003,Manor Solomon
275.0,145,135.87,9.129999999999995,Morgan Gibbs-White
483.0,66,56.77,9.229999999999997,Adama Traoré Diarra
420.0,132,122.74,9.260000000000005,Michael Olise
22.0,42,32.71,9.29,James Milner
548.0,26,16.66,9.34,Jakub Kiwior
203.0,143,133.58,9.419999999999987,Aaron Ramsdale
218.0,126,116.48,9.519999999999996,Philip Billing
295.0,37,27.44,9.559999999999999,Leander Dendoncker
458.0,103,93.44,9.560000000000002,Julián Álvarez
342.0,100,90.43,9.569999999999993,Tomas Soucek
443.0,83,73.4,9.599999999999994,Brenden Aaronson
53.0,69,59.29,9.71,Kyle Walker
340.0,23,13.29,9.71,Tariq Lamptey
232.0,75,65.08,9.920000000000002,Nélson Cabral Semedo
285.0,93,82.99,10.010000000000005,Sean Longstaff
195.0,157,146.88,10.120000000000005,Nick Pope
459.0,87,76.85,10.150000000000006,Ashley Young
299.0,156,145.79,10.210000000000008,Benjamin White
14.0,152,141.68,10.319999999999993,Son Heung-Min
48.0,82,71.62,10.379999999999995,Kelechi Iheanacho
6.0,153,142.5,10.5,Granit Xhaka
399.0,85,74.49,10.510000000000005,Vitaly Janelt
404.0,48,37.38,10.619999999999997,Mads Roerslev Rasmussen
467.0,77,66.36,10.64,Amadou Onana
457.0,27,16.21,10.79,Flynn Downes
582.0,90,79.16,10.840000000000003,Cody Gakpo
143.0,30,19.05,10.95,Nampalys Mendy
269.0,37,25.82,11.18,Willy Boly
288.0,132,120.81,11.189999999999998,Mathias Jensen
165.0,212,200.56,11.439999999999998,Martin Ødegaard
496.0,45,33.55,11.450000000000003,Mathias Jorgensen
90.0,74,62.45,11.549999999999997,Adam Smith
254.0,150,138.39,11.610000000000014,Bryan Mbeumo
256.0,123,111.26,11.739999999999995,Joe Willock
376.0,63,50.88,12.119999999999997,Aaron Hickey
381.0,82,69.88,12.120000000000005,Robert Sánchez
202.0,26,13.86,12.14,Sam Surridge
103.0,123,110.82,12.180000000000007,Andreas Hoelgebaum Pereira
259.0,138,125.73,12.269999999999996,Harvey Barnes
372.0,175,162.71,12.289999999999992,Ollie Watkins
448.0,122,109.57,12.430000000000007,Brennan Johnson
266.0,53,40.39,12.61,Tom Cairney
227.0,50,37.25,12.75,Orel Mangala
398.0,112,98.89,13.11,Rico Henry
332.0,37,23.83,13.170000000000002,Kieran Tierney
74.0,89,75.77,13.230000000000004,Jeffrey Schlupp
58.0,198,184.73,13.27000000000001,Kieran Trippier
183.0,53,39.52,13.479999999999997,Chris Wood
102.0,107,93.2,13.799999999999997,Harrison Reed
511.0,72,57.78,14.219999999999999,Carlos Vinícius Alves Morais
318.0,90,75.61,14.39,John McGinn
230.0,142,127.59,14.409999999999997,Douglas Luiz Soares de Paulo
178.0,82,67.51,14.489999999999995,Odsonne Edouard
471.0,34,19.48,14.52,Dennis Praet
375.0,135,120.41,14.590000000000003,Jacob Ramsey
142.0,145,130.34,14.659999999999997,Jarrod Bowen
189.0,100,85.18,14.819999999999993,Leon Bailey
228.0,41,25.92,15.079999999999998,Will Hughes
303.0,129,113.37,15.629999999999995,Dan Burn
60.0,104,88.1,15.900000000000006,Jordan Ayew
158.0,71,54.06,16.939999999999998,Pablo Fornals Malla
152.0,117,100.03,16.97,Emiliano Buendía Stati
225.0,78,60.94,17.060000000000002,Jacob Murphy
38.0,205,187.88,17.120000000000005,Marcus Rashford
594.0,55,37.68,17.32,Carlos Alcaraz
320.0,198,179.88,18.120000000000005,Gabriel Martinelli Silva
300.0,202,183.14,18.860000000000014,Bukayo Saka
323.0,100,81.01,18.989999999999995,Taiwo Awoniyi
506.0,68,48.99,19.009999999999998,Harry Wilson
363.0,134,114.22,19.78,Jack Harrison
357.0,159,138.59,20.409999999999997,Eberechi Eze
313.0,154,133.0,21.0,Leandro Trossard
73.0,82,60.39,21.61,Jamie Vardy
305.0,158,135.18,22.819999999999993,Miguel Almirón Rejala
430.0,81,54.54,26.46,Josh Dasilva
119.0,239,211.79,27.210000000000008,Mohamed Salah
223.0,121,92.68,28.319999999999993,Ederson Santana de Moraes
211.0,111,82.49,28.510000000000005,Yoane Wissa
57.0,263,232.58,30.419999999999987,Harry Kane
341.0,272,239.44,32.56,Erling Haaland
