,total_points,predicted_points,difference,FPL_Name
529.0,4,4.72,-0.7199999999999998,Juan Larios López
21.0,32,32.69,-0.6899999999999977,Philippe Coutinho Correia
498.0,6,6.65,-0.6500000000000004,Jan Paul van Hecke
316.0,27,27.65,-0.6499999999999986,Moussa Djenepo
283.0,10,10.64,-0.6400000000000006,Robin Olsen
473.0,3,3.62,-0.6200000000000001,Nathaniel Phillips
30.0,95,95.61,-0.6099999999999994,Wilfried Zaha
547.0,65,65.61,-0.6099999999999994,Evan Ferguson
392.0,2,2.59,-0.5899999999999999,Tino Livramento
489.0,2,2.58,-0.5800000000000001,Ludwig Augustinsson
70.0,126,126.56,-0.5600000000000023,Riyad Mahrez
433.0,3,3.55,-0.5499999999999998,Malcolm Ebiowei
9.0,132,132.52,-0.5200000000000102,Ilkay Gündogan
214.0,90,90.52,-0.519999999999996,Kenny Tete
602.0,3,3.5,-0.5,Divin Mubama
167.0,99,99.47,-0.46999999999999886,Oleksandr Zinchenko
338.0,4,4.46,-0.45999999999999996,Japhet Tanganga
345.0,107,107.46,-0.45999999999999375,Bruno Guimarães Rodriguez Moura
28.0,8,8.42,-0.41999999999999993,Wayne Hennessey
164.0,40,40.41,-0.4099999999999966,Aymeric Laporte
583.0,1,1.4,-0.3999999999999999,Máximo Perrone
155.0,45,45.38,-0.38000000000000256,Jonathan Castro Otto
616.0,1,1.33,-0.33000000000000007,Samuel Amo-Ameyaw
585.0,1,1.3,-0.30000000000000004,Kobbie Mainoo
55.0,2,2.28,-0.2799999999999998,Dele Alli
325.0,2,2.26,-0.2599999999999998,Caoimhin Kelleher
524.0,2,2.22,-0.2200000000000002,Giulian Biancone
570.0,0,0.19,-0.19,Isaac Price
561.0,1,1.19,-0.18999999999999995,Omari Hutchinson
226.0,57,57.19,-0.18999999999999773,Victor Lindelöf
425.0,1,1.16,-0.15999999999999992,Lewis Brunt
543.0,1,1.15,-0.1499999999999999,Dexter Lembikisa
297.0,0,0.13,-0.13,Yan Valery
469.0,1,1.13,-0.1299999999999999,Tyrese Francois
490.0,1,1.1,-0.10000000000000009,Emiliano Marcondes
494.0,1,1.1,-0.10000000000000009,Owen Bevan
239.0,80,80.05,-0.04999999999999716,Joachim Andersen
598.0,1,1.04,-0.040000000000000036,Harvey White
487.0,1,1.02,-0.020000000000000018,Marcus Oliveira Alencar
539.0,1,1.01,-0.010000000000000009,Connor Ronan
488.0,1,1.01,-0.010000000000000009,Ethan Nwaneri
419.0,0,0.0,0.0,Dominic Thompson
517.0,1,1.0,0.0,Bobby Clark
,0,0.0,0.0,
,0,0.0,0.0,
116.0,0,0.0,0.0,Keinan Davis
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
449.0,1,1.0,0.0,Alex Mighten
,0,0.0,0.0,
,0,0.0,0.0,
386.0,0,0.0,0.0,Jaden Philogene-Bidace
,0,0.0,0.0,
,0,0.0,0.0,
296.0,1,1.0,0.0,Conor Coventry
,0,0.0,0.0,
205.0,0,0.0,0.0,Anwar El Ghazi
,0,0.0,0.0,
394.0,0,0.0,0.0,Tim Iroegbunam
,0,0.0,0.0,
276.0,0,0.0,0.0,Kortney Hause
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
329.0,0,0.0,0.0,Marvelous Nakamba
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
429.0,0,0.0,0.0,Francisco Jorge Tomás Oliveira
365.0,0,0.0,0.0,Fabio Silva
335.0,0,0.0,0.0,Luke Cundle
,0,0.0,0.0,
237.0,0,0.0,0.0,Nikola Vlasic
141.0,0,0.0,0.0,Arthur Masuaku
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
401.0,0,0.0,0.0,Mads Bidstrup
383.0,0,0.0,0.0,Dane Scarlett
242.0,0,0.0,0.0,Joe Rodon
290.0,0,0.0,0.0,Sergio Reguilón
344.0,0,0.0,0.0,Steven Bergwijn
107.0,0,0.0,0.0,Harry Winks
