General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Alexis Flips,FRA,"FW,MF",22,2000,22.0,1034,872,154,49,10,10,139,56,45,18,18,0,690,8,35
Andrew Gravillon,GLP,DF,24,1998,11.5,445,384,58,19,2,5,16,39,0,0,0,0,330,3,7
Arber Zeneli,KVX,"FW,MF",27,1995,11.1,430,358,70,14,4,0,50,15,36,18,11,0,302,2,15
Azor Matusiwa,NED,MF,24,1998,27.6,1617,1576,33,26,1,24,4,6,0,0,0,0,1376,8,27
Bradley Locko,FRA,DF,20,2002,11.8,470,361,106,5,1,3,13,101,0,0,0,0,362,3,10
Check Keita,FRA,DF,19,2003,7.6,305,286,16,15,0,0,0,1,0,0,0,0,264,3,2
Dion Lopy,SEN,MF,20,2002,15.3,741,727,12,10,0,11,6,1,1,0,0,0,627,2,8
El Bilal Touré,MLI,FW,20,2001,1.0,20,16,4,0,0,0,0,0,0,0,0,0,16,0,1
Emmanuel Agbadou,CIV,DF,25,1997,26.5,1493,1433,56,50,7,18,2,4,0,0,0,0,1281,4,11
Fallou Fall,SEN,DF,18,2004,0.4,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0
Folarin Balogun,USA,FW,21,2001,33.3,582,520,55,1,4,3,23,3,0,0,0,0,408,7,21
Ibrahim Diakité,GUI,DF,18,2003,1.5,68,48,20,1,0,0,7,19,0,0,0,0,48,0,2
Jens Cajuste,SWE,MF,22,1999,17.0,739,718,20,16,6,8,7,3,1,0,0,0,606,1,19
Junya Ito,JPN,FW,29,1993,32.4,1125,1005,112,18,22,3,198,15,73,15,40,0,708,8,42
Kaj Sierhuis,NED,"FW,MF",24,1998,2.4,64,59,3,0,1,0,6,1,0,0,0,0,33,2,3
Kamory Doumbia,MLI,MF,19,2003,12.8,538,523,9,3,5,1,9,4,1,0,0,0,428,6,14
Mamadou Diakhon,FRA,FW,16,2005,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Marshall Munetsi,ZIM,MF,26,1996,30.0,886,878,6,6,4,5,23,0,0,0,0,0,651,2,27
Martin Adeline,FRA,"MF,FW",18,2003,1.2,41,38,3,1,0,0,0,1,1,0,0,0,29,0,1
Maxime Busi,BEL,DF,22,1999,11.6,614,497,115,10,2,5,27,104,1,0,0,0,464,2,12
Mitchell van Bergen,NED,"FW,DF",22,1999,10.1,303,270,33,10,1,0,59,5,15,5,8,0,205,0,11
Mohamed Toure,AUS,"FW,MF",18,2004,0.3,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0
Myziane Maolida,COM,"MF,FW",23,1999,2.6,104,102,2,0,0,1,4,2,0,0,0,0,75,0,5
Nathanael Mbuku,FRA,"FW,MF",20,2002,0.7,27,25,2,2,0,0,2,0,0,0,0,0,22,0,2
Noah Holm,NOR,"FW,MF",21,2001,2.2,44,39,4,0,1,0,0,0,0,0,0,0,27,1,2
Patrick Pentz,AUT,GK,25,1997,7.0,211,138,73,14,0,0,0,0,0,0,0,0,141,0,0
Rafik Guitane,FRA,FW,23,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samuel Koeberlé,FRA,MF,17,2004,0.0,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0
Thibault De Smet,BEL,DF,24,1998,19.5,1123,918,198,7,0,1,48,187,4,0,2,0,878,7,23
Thomas Foket,BEL,DF,27,1994,22.0,1257,1039,214,14,0,6,57,200,0,0,0,0,1011,4,32
Valentin Atangana Edoa,FRA,MF,16,2005,1.9,48,48,0,0,0,1,1,0,0,0,0,0,41,0,1
Wout Faes,BEL,DF,24,1998,3.0,115,106,8,7,1,0,0,0,0,0,0,0,95,1,1
Yehvann Diouf,FRA,GK,22,1999,31.0,1063,813,246,61,0,5,0,0,0,0,0,0,851,4,0
Yunis Abdelhamid,MAR,DF,34,1987,37.0,2031,1882,142,116,0,30,5,10,0,0,0,0,1679,7,20
