NED-Eredivisie
2223
Utrecht
Albert Lottin
FRA
MF
20
2001
1
0
16
0.2
0
0
0
0
0
0
0
0
0.1
0.1
0.0
0.1
0
2
1
0.0
0.0
0.0
0.0
0.0
0.56
0.0
0.56
0.56
0.56
