NED-Eredivisie
2223
AZ Alkmaar
Aslak Witry
NOR
DF
26
1996
2
0
53
0.6
0
1
1
0
0
0
0
0
0.0
0.0
0.7
0.7
1
3
3
0.0
1.7
1.7
0.0
1.7
0.0
1.09
1.09
0.0
1.09
