General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Alexander Meyer,GER,GK,31,1991,7.0,335,230,327,7,1,1,335,0,0,,0,,216,1193,669,0,0,0,0,0,186,0
Anthony Modeste,FRA,FW,34,1988,9.0,219,22,34,98,88,34,219,4,0,0.0,4,100.0,91,299,94,3,1,2,18,9,142,36
Antonios Papadopoulos,GER,DF,22,1999,0.1,21,0,8,12,1,1,21,0,0,,0,,14,97,56,1,0,0,0,0,17,0
Donyell Malen,NED,FW,23,1999,19.0,869,10,64,321,498,101,869,115,51,44.3,51,44.3,628,4019,2138,87,37,38,38,40,715,182
Emre Can,GER,MF,28,1994,21.1,1510,82,448,872,202,18,1509,25,13,52.0,7,28.0,927,4997,2356,34,26,1,15,11,1015,12
Felix Passlack,GER,DF,24,1998,0.7,47,2,13,25,10,1,47,1,1,100.0,0,0.0,24,68,43,1,1,0,1,1,27,3
Gio Reyna,USA,"FW,MF",19,2002,6.9,420,6,36,168,220,46,419,23,8,34.8,12,52.2,274,1610,759,23,19,7,13,15,324,57
Gregor Kobel,SUI,GK,24,1997,27.0,1115,855,1108,8,0,0,1115,1,1,100.0,0,0.0,671,2981,1423,0,0,0,1,0,613,0
Jamie Gittens,ENG,"FW,MF",17,2004,5.9,251,5,32,80,147,37,251,55,20,36.4,28,50.9,179,1422,714,24,13,18,22,5,192,38
Jude Bellingham,ENG,MF,19,2003,29.9,2091,48,342,1171,606,105,2090,151,86,57.0,42,27.8,1342,7887,3912,97,50,24,63,58,1568,139
Julian Brandt,GER,"MF,FW",26,1996,26.6,1634,14,172,668,814,80,1634,81,41,50.6,35,43.2,989,5335,2355,67,42,27,50,35,1186,218
Julian Ryerson,NOR,DF,24,1997,15.7,1162,39,313,548,311,12,1162,47,17,36.2,22,46.8,646,3311,1758,54,26,6,18,18,723,69
Julien Duranville,BEL,MF,16,2006,0.3,20,0,2,3,15,0,20,3,3,100.0,0,0.0,16,231,76,4,0,0,1,0,17,4
Justin Njinmah,GER,FW,21,2000,0.2,4,0,0,1,3,1,4,1,0,0.0,1,100.0,6,26,8,1,0,0,0,2,5,4
Karim Adeyemi,GER,"FW,MF",20,2002,15.4,676,11,68,240,384,65,675,94,34,36.2,48,51.1,455,3163,1489,49,32,21,43,26,478,131
Mahmoud Dahoud,GER,MF,26,1996,3.7,302,9,64,183,56,2,302,5,3,60.0,2,40.0,153,736,305,5,6,1,6,4,218,4
Marco Pašalić,CRO,MF,21,2000,0.1,9,0,2,3,5,0,9,1,1,100.0,0,0.0,7,60,53,2,1,0,1,1,8,2
Marco Reus,GER,"MF,FW",33,1989,15.0,731,15,106,329,308,61,730,25,9,36.0,13,52.0,426,2098,1006,33,25,11,29,16,510,78
Marius Wolf,GER,DF,27,1995,17.4,1265,42,350,522,411,50,1265,62,34,54.8,22,35.5,711,3580,1960,60,45,13,27,12,826,151
Mats Hummels,GER,DF,33,1988,22.4,1952,185,879,993,89,31,1952,10,6,60.0,4,40.0,1236,6862,4009,21,18,0,4,8,1310,6
Nico Schlotterbeck,GER,DF,22,1999,25.0,2173,202,988,1097,111,23,2173,19,11,57.9,4,21.1,1342,6598,4158,39,39,1,14,8,1510,14
Niklas Süle,GER,DF,26,1995,23.5,2031,178,811,1013,217,40,2031,10,9,90.0,1,10.0,1321,6298,3500,37,36,1,10,8,1527,57
Raphaël Guerreiro,POR,"DF,MF",28,1993,25.4,2028,54,433,951,666,68,2028,47,27,57.4,19,40.4,1175,6066,3439,85,59,18,28,18,1340,163
Salih Özcan,TUR,MF,24,1998,17.5,1171,39,286,773,115,7,1171,12,6,50.0,5,41.7,663,2578,1014,6,10,0,18,21,759,23
Soumaïla Coulibaly,FRA,DF,18,2003,0.5,48,1,7,40,1,0,48,0,0,,0,,40,200,91,0,0,0,0,0,43,0
Sébastien Haller,CIV,FW,28,1994,13.6,417,9,34,185,203,68,416,16,9,56.3,7,43.8,203,788,300,11,3,4,18,15,305,65
Thomas Meunier,BEL,DF,30,1991,6.5,503,25,131,213,162,11,503,10,4,40.0,4,40.0,273,1150,556,9,7,1,8,5,306,45
Thorgan Hazard,BEL,"FW,DF",29,1993,5.2,386,12,76,148,169,18,386,15,3,20.0,9,60.0,209,1019,567,21,11,5,7,0,223,50
Tom Rothe,GER,DF,17,2004,0.3,22,3,8,7,7,1,22,1,1,100.0,0,0.0,12,26,14,0,0,0,0,0,10,2
Youssoufa Moukoko,GER,FW,17,2004,12.7,346,1,24,137,191,62,346,45,17,37.8,26,57.8,209,1111,420,9,7,6,30,20,215,61
