General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Antonio Mirante,ITA,GK,39,1983,0.0,0,0,0,0,0,0.0,,0.0,0.0,0,0,,3,0,0.0,27.0,1,0.0,15.0,0,0,,0,0.0,
Ciprian Tătărușanu,ROU,GK,36,1986,16.0,22,2,2,4,1,16.8,0.25,-4.2,-0.26,94,195,48.2,473,75,32.1,32.9,83,51.8,41.8,195,9,4.6,13,0.81,14.4
Mike Maignan,FRA,GK,27,1995,22.0,21,2,1,2,0,20.3,0.28,-0.7,-0.03,76,193,39.4,725,119,22.8,29.8,85,32.9,35.1,221,15,6.8,32,1.46,17.8
