General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Alessandro Florenzi,ITA,DF,31,1991,2.3,9,4.01,4,3,0,1,1,0,0,0.0,0,0,0,0,0,0
Alexis Saelemaekers,BEL,"FW,DF",23,1999,15.6,63,4.05,42,5,7,7,2,0,6,0.39,5,0,1,0,0,0
Ante Rebić,CRO,"FW,MF",28,1993,10.9,34,3.12,23,1,1,4,4,1,3,0.28,3,0,0,0,0,0
Antonio Mirante,ITA,GK,39,1983,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Aster Vranckx,BEL,MF,19,2002,2.7,3,1.12,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Brahim Díaz,MAR,"MF,FW",22,1999,21.4,96,4.49,69,1,12,6,7,1,18,0.84,8,0,6,2,1,1
Charles De Ketelaere,BEL,"MF,FW",21,2001,12.4,47,3.79,39,2,4,0,2,0,2,0.16,2,0,0,0,0,0
Ciprian Tătărușanu,ROU,GK,36,1986,16.0,7,0.44,5,2,0,0,0,0,2,0.12,2,0,0,0,0,0
Davide Calabria,ITA,DF,25,1996,18.8,37,1.97,30,2,0,1,3,1,6,0.32,5,0,0,0,1,0
Divock Origi,BEL,FW,27,1995,11.4,24,2.11,15,0,3,3,3,0,1,0.09,1,0,0,0,0,0
Fikayo Tomori,ENG,DF,24,1997,30.7,23,0.75,19,2,0,0,1,1,2,0.07,2,0,0,0,0,0
Fodé Ballo-Touré,SEN,DF,25,1997,5.8,8,1.38,4,1,1,0,1,1,1,0.17,0,0,1,0,0,0
Ismaël Bennacer,ALG,MF,24,1997,22.3,87,3.9,59,18,1,3,4,2,4,0.18,1,1,0,1,0,1
Junior Messias,BRA,"FW,DF",31,1991,16.6,46,2.76,29,1,5,5,5,1,7,0.42,5,0,1,0,1,0
Malick Thiaw,GER,DF,20,2001,15.1,15,0.99,14,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Marko Lazetić,SRB,FW,18,2004,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Matteo Gabbia,ITA,DF,22,1999,6.8,4,0.59,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mike Maignan,FRA,GK,27,1995,22.0,3,0.14,3,0,0,0,0,0,1,0.05,1,0,0,0,0,0
Olivier Giroud,FRA,FW,35,1986,23.8,50,2.1,39,0,0,8,3,0,6,0.25,3,0,0,3,0,0
Pierre Kalulu,FRA,DF,22,2000,28.3,33,1.17,28,2,0,2,0,1,3,0.11,2,1,0,0,0,0
Rade Krunić,BIH,MF,28,1993,18.4,41,2.23,35,1,0,2,2,1,6,0.33,6,0,0,0,0,0
Rafael Leão,POR,"FW,MF",23,1999,26.9,123,4.57,80,3,24,8,8,0,18,0.67,12,1,4,0,1,0
Sandro Tonali,ITA,MF,22,2000,30.1,101,3.35,62,26,2,6,2,3,13,0.43,9,1,1,1,0,1
Sergiño Dest,USA,DF,21,2000,3.7,11,3.0,8,2,1,0,0,0,1,0.27,1,0,0,0,0,0
Simon Kjær,DEN,DF,33,1989,11.2,5,0.45,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Theo Hernández,FRA,DF,24,1997,30.8,87,2.82,51,17,3,7,8,1,8,0.26,5,2,1,0,0,0
Tiemoué Bakayoko,FRA,MF,27,1994,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tommaso Pobega,ITA,MF,23,1999,9.8,22,2.24,15,0,1,3,2,1,2,0.2,2,0,0,0,0,0
Yacine Adli,FRA,"MF,FW",22,2000,1.6,3,1.87,2,1,0,0,0,0,1,0.62,1,0,0,0,0,0
Zlatan Ibrahimović,SWE,FW,40,1981,1.6,3,1.85,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
