General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Alessandro Florenzi,ITA,DF,31,1991,2.3,172,136,35,7,0,1,22,22,6,2,4,0,130,1,0
Alexis Saelemaekers,BEL,"FW,DF",23,1999,15.6,621,573,46,5,3,2,48,36,5,2,3,0,480,2,12
Ante Rebić,CRO,"FW,MF",28,1993,10.9,334,316,15,2,4,1,39,4,4,2,1,0,187,3,16
Antonio Mirante,ITA,GK,39,1983,0.0,4,3,1,0,0,0,0,0,0,0,0,0,4,0,0
Aster Vranckx,BEL,MF,19,2002,2.7,127,127,0,0,0,1,3,0,0,0,0,0,96,0,2
Brahim Díaz,MAR,"MF,FW",22,1999,21.4,719,677,37,8,11,2,20,9,6,0,4,0,575,5,24
Charles De Ketelaere,BEL,"MF,FW",21,2001,12.4,383,362,21,2,2,2,10,9,0,0,0,0,299,0,13
Ciprian Tătărușanu,ROU,GK,36,1986,16.0,560,445,111,28,0,2,0,0,0,0,0,0,434,4,0
Davide Calabria,ITA,DF,25,1996,18.8,1276,1076,194,18,0,5,41,171,5,0,5,0,1040,6,24
Divock Origi,BEL,FW,27,1995,11.4,193,184,8,0,1,1,11,0,0,0,0,0,128,1,6
Fikayo Tomori,ENG,DF,24,1997,30.7,1922,1786,129,51,4,19,6,13,0,0,0,0,1697,7,18
Fodé Ballo-Touré,SEN,DF,25,1997,5.8,281,219,62,6,0,1,17,56,0,0,0,0,234,0,2
Ismaël Bennacer,ALG,MF,24,1997,22.3,1423,1309,112,54,4,11,79,5,51,19,27,0,1219,2,16
Junior Messias,BRA,"FW,DF",31,1991,16.6,563,532,30,4,4,2,25,24,2,0,1,0,430,1,12
Malick Thiaw,GER,DF,20,2001,15.1,1056,1037,19,12,0,4,2,5,0,0,0,0,932,0,5
Marko Lazetić,SRB,FW,18,2004,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Matteo Gabbia,ITA,DF,22,1999,6.8,359,346,13,7,0,1,2,1,0,0,0,0,289,0,2
Mike Maignan,FRA,GK,27,1995,22.0,814,698,112,27,0,0,0,0,0,0,0,0,674,4,0
Olivier Giroud,FRA,FW,35,1986,23.8,560,527,32,2,1,1,5,1,0,0,0,0,351,1,13
Pierre Kalulu,FRA,DF,22,2000,28.3,1821,1674,143,52,3,3,28,86,0,0,0,0,1589,4,13
Rade Krunić,BIH,MF,28,1993,18.4,955,931,24,16,2,1,3,4,3,1,1,0,819,0,19
Rafael Leão,POR,"FW,MF",23,1999,26.9,845,802,39,3,5,17,71,28,7,0,0,0,595,4,29
Sandro Tonali,ITA,MF,22,2000,30.1,1565,1361,193,94,7,14,130,21,74,23,42,0,1185,11,30
Sergiño Dest,USA,DF,21,2000,3.7,198,154,44,1,0,1,4,43,0,0,0,0,169,0,5
Simon Kjær,DEN,DF,33,1989,11.2,683,667,16,15,0,6,2,1,0,0,0,0,591,0,1
Theo Hernández,FRA,DF,24,1997,30.8,1751,1403,344,50,1,24,92,272,22,2,18,0,1391,4,42
Tiemoué Bakayoko,FRA,MF,27,1994,0.5,20,20,0,0,0,0,0,0,0,0,0,0,17,0,0
Tommaso Pobega,ITA,MF,23,1999,9.8,401,391,9,7,0,2,5,1,0,0,0,0,307,1,11
Yacine Adli,FRA,"MF,FW",22,2000,1.6,76,72,4,1,0,1,6,1,2,0,2,0,49,0,5
Zlatan Ibrahimović,SWE,FW,40,1981,1.6,51,45,6,0,0,1,0,0,0,0,0,0,36,0,2
