General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Arnaud Nordin,FRA,FW,24,1998,26.7,954,14,123,389,464,109,954,98,38,38.8,30,30.6,741,5545,2781,109,63,37,62,42,688,181
Arnaud Souquet,FRA,"DF,FW",30,1992,4.0,185,17,57,93,37,3,185,7,2,28.6,4,57.1,98,532,245,5,1,0,5,1,86,14
Axel Gueguin,FRA,"FW,MF",17,2005,0.3,13,0,1,1,11,0,13,0,0,,0,,8,25,11,0,1,0,1,0,9,6
Benjamin Lecomte,FRA,GK,31,1991,19.0,698,567,694,5,0,0,698,1,1,100.0,0,0.0,426,2516,1595,0,0,0,0,0,294,0
Bingourou Kamara,SEN,GK,25,1996,4.5,143,120,143,0,0,0,143,0,0,,0,,86,416,244,0,0,0,0,0,57,0
Boubakar Kouyaté,MLI,DF,25,1997,14.0,796,114,440,334,30,21,796,4,3,75.0,0,0.0,513,3101,1519,3,3,1,3,0,459,1
Béni Makouana,CGO,"FW,MF",19,2002,2.2,67,2,6,28,36,11,67,9,2,22.2,7,77.8,49,424,181,9,4,0,4,5,46,17
Cheikh Faye,SEN,FW,23,1999,0.4,15,0,1,9,5,1,15,1,0,0.0,1,100.0,10,55,5,0,0,0,2,3,12,3
Christopher Jullien,FRA,DF,29,1993,29.9,1360,239,746,574,47,32,1360,5,5,100.0,0,0.0,850,4177,1890,2,4,1,15,4,755,6
Elye Wahi,FRA,FW,19,2003,27.9,717,5,36,307,383,125,716,76,29,38.2,37,48.7,535,3721,1442,57,40,36,87,46,545,190
Enzo Tchato,CMR,DF,19,2002,12.2,687,46,190,301,204,9,687,13,4,30.8,7,53.8,399,2373,1198,25,26,2,14,7,377,57
Faitout Maouassa,FRA,"FW,DF",24,1998,21.4,924,31,223,383,334,41,924,62,25,40.3,32,51.6,562,3630,1723,37,41,12,32,22,513,108
Falaye Sacko,MLI,DF,27,1995,28.7,1503,135,519,692,315,29,1503,36,17,47.2,15,41.7,962,6066,2873,50,36,6,33,13,820,70
Issiaga Sylla,GUI,DF,28,1994,14.5,984,64,282,473,239,14,984,29,9,31.0,17,58.6,629,3648,1842,28,33,3,17,9,536,65
Jonas Omlin,SUI,GK,28,1994,13.0,450,365,448,2,0,0,450,1,0,0.0,1,100.0,298,1693,1024,0,0,0,0,0,172,0
Jordan Ferri,FRA,MF,30,1992,30.4,2237,59,542,1401,321,10,2237,55,20,36.4,22,40.0,1785,9143,4174,37,47,2,43,44,1610,42
Joris Chotard,FRA,MF,20,2001,27.3,1339,98,409,765,178,14,1339,26,13,50.0,9,34.6,879,4089,1539,8,15,2,20,12,754,28
Khalil Fayad,FRA,MF,18,2004,8.0,438,11,99,274,73,5,438,16,8,50.0,4,25.0,318,1724,659,9,12,1,15,7,278,11
Léo Leroy,FRA,MF,22,2000,13.2,692,23,184,401,123,19,692,30,11,36.7,15,50.0,467,2520,1176,14,15,3,27,14,398,25
Mamadou Sakho,FRA,DF,32,1990,8.5,539,74,239,293,8,5,539,2,1,50.0,1,50.0,382,1940,1144,0,0,0,1,0,357,2
Matis Carvalho,POR,GK,23,1999,1.5,56,44,56,0,0,0,56,0,0,,0,,32,211,112,0,0,0,0,0,19,0
Maxime Estève,FRA,DF,20,2002,18.3,944,146,515,408,27,12,944,6,4,66.7,2,33.3,607,3154,1667,9,4,0,4,4,522,1
Nicolas Cozza,FRA,DF,23,1999,14.2,747,66,289,329,133,19,747,15,5,33.3,8,53.3,447,2740,1368,20,16,3,18,4,407,34
Pedro Mendes,POR,DF,31,1990,0.1,4,1,2,2,0,0,4,0,0,,0,,2,20,16,0,0,0,1,0,1,0
Sacha Delaye,FRA,"FW,MF",20,2002,0.2,19,0,6,9,4,1,19,0,0,,0,,9,30,8,1,0,1,0,0,8,0
Stephy Mavididi,ENG,FW,24,1998,14.3,530,15,78,231,244,51,530,74,32,43.2,37,50.0,392,2852,1175,34,37,11,39,32,356,91
Thibault Tamas,FRA,DF,21,2001,0.1,9,1,3,3,3,0,9,0,0,,0,,7,42,8,0,0,0,1,0,6,1
Théo Sainte-Luce,FRA,DF,23,1998,5.9,326,19,93,160,76,6,326,13,8,61.5,5,38.5,201,1032,417,5,9,1,9,4,183,36
Téji Savanier,FRA,MF,30,1991,28.3,2067,41,289,1138,677,34,2061,138,72,52.2,42,30.4,1493,8500,3547,48,63,4,71,50,1379,117
Valère Germain,FRA,"FW,MF",32,1990,7.6,313,11,33,147,135,35,313,2,1,50.0,1,50.0,183,745,196,6,7,2,21,9,202,46
Wahbi Khazri,TUN,"FW,MF",31,1991,18.2,713,23,101,361,271,64,713,61,28,45.9,24,39.3,516,3522,1530,40,17,22,49,30,472,91
