General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Arnaud Nordin,FRA,FW,24,1998,26.7,661,631,28,4,2,2,49,13,4,1,2,0,485,2,24
Arnaud Souquet,FRA,"DF,FW",30,1992,4.0,137,111,26,3,1,0,7,23,0,0,0,0,104,0,1
Axel Gueguin,FRA,"FW,MF",17,2005,0.3,11,10,1,0,0,0,1,0,1,1,0,0,7,0,0
Benjamin Lecomte,FRA,GK,31,1991,19.0,643,417,223,58,0,4,0,0,0,0,0,0,411,3,0
Bingourou Kamara,SEN,GK,25,1996,4.5,131,87,43,8,0,0,0,0,0,0,0,0,87,1,0
Boubakar Kouyaté,MLI,DF,25,1997,14.0,611,595,16,14,0,3,1,2,0,0,0,0,499,0,8
Béni Makouana,CGO,"FW,MF",19,2002,2.2,38,37,0,0,0,0,6,0,0,0,0,0,15,1,3
Cheikh Faye,SEN,FW,23,1999,0.4,9,6,2,0,0,0,0,0,0,0,0,0,5,1,0
Christopher Jullien,FRA,DF,29,1993,29.9,1065,1017,46,40,1,10,0,3,0,0,0,0,884,2,8
Elye Wahi,FRA,FW,19,2003,27.9,440,385,53,0,1,2,19,3,0,0,0,0,299,2,24
Enzo Tchato,CMR,DF,19,2002,12.2,557,453,102,6,0,0,39,96,0,0,0,0,414,2,10
Faitout Maouassa,FRA,"FW,DF",24,1998,21.4,651,528,117,7,1,5,81,92,18,10,6,0,436,6,29
Falaye Sacko,MLI,DF,27,1995,28.7,1240,1033,204,23,2,1,36,180,1,0,0,0,999,3,27
Issiaga Sylla,GUI,DF,28,1994,14.5,817,677,136,13,0,6,35,123,0,0,0,0,647,4,19
Jonas Omlin,SUI,GK,28,1994,13.0,415,283,132,47,0,2,0,0,0,0,0,0,295,0,0
Jordan Ferri,FRA,MF,30,1992,30.4,1989,1880,101,83,7,17,30,14,1,0,0,0,1695,8,25
Joris Chotard,FRA,MF,20,2001,27.3,1092,1033,55,40,5,11,33,4,11,4,6,0,867,4,19
Khalil Fayad,FRA,MF,18,2004,8.0,341,330,10,6,2,2,10,1,3,2,1,0,283,1,3
Léo Leroy,FRA,MF,22,2000,13.2,521,509,6,5,4,9,10,0,1,0,0,0,387,6,16
Mamadou Sakho,FRA,DF,32,1990,8.5,459,438,19,17,0,0,0,1,0,0,0,0,397,2,0
Matis Carvalho,POR,GK,23,1999,1.5,53,29,23,9,0,0,0,0,0,0,0,0,21,1,0
Maxime Estève,FRA,DF,20,2002,18.3,748,712,35,30,0,0,1,4,0,0,0,0,609,1,8
Nicolas Cozza,FRA,DF,23,1999,14.2,592,498,90,8,1,2,14,82,0,0,0,0,429,4,16
Pedro Mendes,POR,DF,31,1990,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Sacha Delaye,FRA,"FW,MF",20,2002,0.2,14,12,2,0,0,0,0,2,0,0,0,0,8,0,1
Stephy Mavididi,ENG,FW,24,1998,14.3,318,305,12,1,1,1,10,8,0,0,0,0,236,1,12
Thibault Tamas,FRA,DF,21,2001,0.1,7,7,0,0,0,0,1,0,0,0,0,0,5,0,0
Théo Sainte-Luce,FRA,DF,23,1998,5.9,266,206,60,3,0,0,10,57,0,0,0,0,219,0,5
Téji Savanier,FRA,MF,30,1991,28.3,1695,1394,290,114,6,35,235,29,137,58,63,2,1185,11,33
Valère Germain,FRA,"FW,MF",32,1990,7.6,214,202,11,0,1,0,6,1,0,0,0,0,147,1,8
Wahbi Khazri,TUN,"FW,MF",31,1991,18.2,483,421,58,16,3,11,39,11,18,9,9,0,344,4,20
