General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Benjamin Lecomte,FRA,GK,31,1991,19.0,22,2,0,2,0,29.5,0.29,7.5,0.4,116,322,36.0,475,72,46.9,37.8,165,60.0,44.2,273,15,5.5,13,0.68,10.8
Bingourou Kamara,SEN,GK,25,1996,4.5,11,1,0,2,0,9.1,0.29,-1.9,-0.41,18,57,31.6,95,19,42.1,35.4,35,48.6,39.9,52,3,5.8,2,0.44,11.2
Jonas Omlin,SUI,GK,28,1994,13.0,26,3,0,2,2,24.1,0.28,0.1,0.0,53,161,32.9,330,77,32.1,31.7,85,64.7,47.3,209,14,6.7,12,0.93,12.0
Matis Carvalho,POR,GK,23,1999,1.5,3,0,0,0,0,1.9,0.24,-1.1,-0.7,14,43,32.6,38,4,78.9,49.4,14,92.9,61.4,38,2,5.3,0,0.0,8.3
