General,General,General,General,General,Playing time,Playing time,Playing time,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Ga,Ga90,Sota,Saves,Save%,W,D,L,Cs,Cs%,Pkatt,Pka,Pksv,Pkm,Save%
Benjamin Lecomte,FRA,GK,31,1991,19,19,1710,19.0,22,1.16,96,72,79.2,10,3,6,8,42.1,4,2,2,0,50.0
Bingourou Kamara,SEN,GK,25,1996,5,4,408,4.5,11,2.43,25,13,60.0,0,1,3,0,0.0,3,1,1,1,50.0
Jonas Omlin,SUI,GK,28,1994,14,14,1166,13.0,26,2.01,73,48,68.5,5,1,8,2,14.3,4,3,1,0,25.0
Matis Carvalho,POR,GK,23,1999,2,1,136,1.5,3,1.99,8,5,62.5,0,0,1,1,100.0,0,0,0,0,
