General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Abner,BRA,DF,22,2000,6.7,425,25,128,189,113,11,425,10,3,30.0,7,70.0,204,858,469,8,7,4,10,4,231,25
Aitor Ruibal,ESP,"DF,FW",26,1996,16.2,1062,44,338,468,278,24,1062,67,35,52.2,31,46.3,559,2936,1818,38,27,8,24,13,597,70
Andrés Guardado,MEX,MF,35,1986,15.3,1022,34,277,610,151,6,1022,10,5,50.0,4,40.0,590,2806,1360,14,16,0,18,6,659,13
Ayoze Pérez,ESP,"FW,MF",29,1993,15.4,613,7,83,254,289,75,613,77,42,54.5,30,39.0,390,2600,1367,51,35,19,39,26,431,102
Borja Iglesias,ESP,FW,29,1993,26.3,776,18,39,357,387,118,770,32,12,37.5,14,43.8,467,2132,691,20,14,20,81,38,638,147
Claudio Bravo,CHI,GK,39,1983,12.0,414,333,412,3,0,0,414,0,0,,0,,208,1175,724,0,0,0,0,0,144,0
Felix Garreta,ESP,DF,18,2004,1.0,47,7,25,22,0,0,47,0,0,,0,,30,98,47,0,0,0,0,0,30,0
Fran Delgado,ESP,DF,21,2001,0.1,8,0,1,3,4,1,8,0,0,,0,,3,9,5,0,1,0,0,0,7,3
Germán Pezzella,ARG,DF,31,1991,27.9,1606,186,883,691,44,19,1606,7,4,57.1,2,28.6,874,3664,1817,8,9,1,12,1,1012,3
Guido Rodríguez,ARG,MF,28,1994,31.9,2064,118,607,1248,229,18,2064,35,22,62.9,8,22.9,1033,3909,1738,11,14,3,17,21,1301,18
Joaquín,ESP,"MF,FW",41,1981,5.5,377,7,42,152,186,17,377,19,11,57.9,6,31.6,227,1286,714,23,16,6,13,6,275,37
Juan Cruz,ESP,FW,22,2000,2.0,63,0,6,19,39,8,63,7,3,42.9,3,42.9,38,308,194,7,4,3,4,2,39,15
Juan Miranda,ESP,DF,22,2000,16.4,1014,67,298,418,306,33,1014,18,9,50.0,7,38.9,478,2263,1187,26,22,0,17,8,560,87
Juanmi,ESP,FW,29,1993,10.3,363,7,56,184,128,38,363,32,12,37.5,15,46.9,209,1144,454,10,16,4,23,13,251,37
Loren Morón,ESP,FW,28,1993,0.2,11,1,2,5,4,0,11,0,0,,0,,4,8,0,0,0,0,2,0,6,0
Luiz Felipe,ITA,DF,25,1997,19.6,1130,182,601,507,23,7,1130,9,5,55.6,4,44.4,586,2625,1212,1,1,0,9,0,664,0
Luiz Henrique,BRA,FW,21,2001,20.1,880,17,160,369,375,60,880,125,56,44.8,50,40.0,564,4024,1665,61,41,24,58,59,596,137
Martín Montoya,ESP,DF,31,1991,5.0,302,22,95,161,48,5,302,5,2,40.0,3,60.0,151,594,309,6,2,0,7,4,167,12
Nabil Fekir,FRA,MF,29,1993,10.7,607,2,37,254,321,43,606,44,17,38.6,19,43.2,406,2332,1072,42,27,13,34,22,489,76
Paul Akouokou,CIV,"MF,DF",24,1997,5.0,233,33,102,117,16,1,233,5,3,60.0,2,40.0,116,369,122,1,2,0,5,0,136,1
Roberto González,ESP,"FW,MF",21,2001,0.6,35,0,0,21,14,1,35,2,0,0.0,1,50.0,17,95,31,1,1,1,1,0,25,1
Rodri,ESP,"FW,MF",22,2000,17.8,1016,6,120,473,438,53,1016,71,29,40.8,31,43.7,739,4148,1862,57,36,19,35,20,826,104
Rui Silva,POR,GK,28,1994,26.0,936,782,932,5,0,0,936,1,1,100.0,0,0.0,462,2369,1283,0,0,0,0,0,360,0
Sergio Canales,ESP,"FW,MF",31,1991,26.7,1677,13,180,745,781,54,1676,54,28,51.9,19,35.2,1051,6475,3161,82,69,5,55,41,1275,150
Víctor Ruiz,ESP,DF,33,1989,6.2,315,50,180,128,8,4,315,0,0,,0,,167,877,447,4,3,1,1,0,183,0
William Carvalho,POR,MF,30,1992,27.1,1979,40,303,1323,370,37,1979,52,29,55.8,17,32.7,1276,5717,2667,46,43,7,23,27,1591,52
Willian José,BRA,FW,30,1991,8.1,339,15,52,162,126,16,338,7,2,28.6,4,57.1,170,706,243,6,9,2,17,10,234,27
Youssouf Sabaly,SEN,DF,29,1993,18.7,1179,83,388,521,284,16,1179,39,19,48.7,13,33.3,619,3101,1754,41,36,3,25,25,671,64
Álex Moreno,ESP,DF,29,1993,15.0,883,59,291,365,237,36,883,40,14,35.0,21,52.5,401,2628,1496,49,36,12,28,6,465,76
Édgar González,ESP,DF,25,1997,19.7,1106,171,637,448,28,17,1106,5,2,40.0,0,0.0,601,2393,1154,7,5,1,6,1,704,2
