General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Abdul Mumin,GHA,DF,24,1998,10.2,390,370,19,15,0,4,3,4,0,0,0,0,299,1,3
Andrés Martín,ESP,"FW,MF",23,1999,2.3,77,69,5,0,0,2,11,2,3,3,0,0,39,3,4
Bebé,CPV,FW,32,1990,0.7,38,26,11,6,0,2,16,2,3,2,0,0,21,1,2
Catena,ESP,DF,27,1994,34.5,1825,1719,97,92,2,49,1,3,0,0,0,0,1505,9,7
Diego López,ESP,GK,40,1981,1.1,29,21,8,0,0,0,0,0,0,0,0,0,22,0,0
Diego Méndez,ESP,MF,18,2003,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Esteban Saveljich,MNE,FW,31,1991,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florian Lejeune,FRA,DF,31,1991,28.5,1417,1329,82,71,1,38,9,6,4,4,0,0,1110,6,11
Fran Garcia,ESP,DF,22,1999,37.9,2071,1688,379,24,1,8,156,355,0,0,0,0,1626,4,61
Isaac Palazón Camacho,ESP,"FW,MF",27,1994,32.9,1376,1153,208,75,6,14,192,7,126,48,57,0,979,15,31
Iván Balliu,ALB,DF,30,1992,35.9,1850,1406,430,24,1,2,105,406,0,0,0,0,1422,14,46
José Pozo,ESP,"MF,FW",26,1996,1.0,45,42,3,3,1,0,4,0,0,0,0,0,34,0,1
Mario Hernández,ESP,DF,23,1999,1.1,38,32,6,0,2,0,1,6,0,0,0,0,30,0,0
Mario Suárez,ESP,"MF,DF",35,1987,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Pablo Muñoz,ESP,MF,18,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Pathé Ciss,SEN,"MF,DF",28,1994,14.2,700,676,21,20,0,15,3,1,0,0,0,0,575,3,12
Pep Chavarría,ESP,"FW,MF",24,1998,4.1,178,155,22,0,1,3,13,19,2,0,1,0,126,1,12
Radamel Falcao,COL,"FW,MF",36,1986,6.8,167,157,9,0,0,1,0,0,1,0,0,0,123,1,5
Randy Nteka,ANG,"FW,MF",24,1997,1.3,65,64,0,0,1,0,0,0,0,0,0,0,49,1,2
Raúl de Tomás,ESP,FW,27,1994,8.9,155,144,10,0,2,7,8,0,0,0,0,0,114,1,4
Salvi,ESP,"FW,MF",31,1991,5.4,208,188,16,0,1,0,37,15,1,0,1,0,119,4,20
Santi Comesaña,ESP,MF,25,1996,27.2,1240,1199,37,31,0,10,17,2,0,0,0,0,1024,4,24
Sergio Camello,ESP,FW,21,2001,26.7,523,475,46,2,1,0,4,4,0,0,0,0,408,2,10
Stole Dimitrievski,MKD,GK,28,1993,36.9,1124,717,398,99,0,4,0,0,0,0,0,0,690,9,1
Unai López,ESP,MF,26,1995,13.9,929,835,86,44,0,18,55,7,27,10,8,1,745,8,18
Álvaro García,ESP,"FW,MF",29,1992,31.9,1036,968,61,4,1,4,159,53,4,2,0,0,664,7,49
Óscar Trejo,ARG,"MF,FW",34,1988,23.8,1005,936,68,22,7,4,35,9,18,9,2,0,811,1,25
Óscar Valentín,ESP,MF,27,1994,28.4,1173,1138,32,32,1,9,3,0,0,0,0,0,957,3,17
