General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Alberto Perea,ESP,MF,31,1990,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Alfonso Espino,URU,DF,30,1992,34.7,0,20,1,5.0,0.58,0.03,0.0,0.0,28.9,0,0,0,1.5,1.5,0.08,-1.5,-1.5
Anthony Lozano,HON,FW,29,1993,16.0,1,30,8,26.7,1.87,0.5,0.03,0.13,16.7,0,0,0,2.6,2.6,0.09,-1.6,-1.6
Antonio Blanco,ESP,MF,22,2000,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Awer Mabil,AUS,"MF,FW",26,1995,1.8,0,3,1,33.3,1.64,0.55,0.0,0.0,17.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Brian Ocampo,URU,"MF,FW",23,1999,12.4,1,13,2,15.4,1.05,0.16,0.08,0.5,21.3,0,0,0,0.5,0.5,0.04,0.5,0.5
Cala,ESP,DF,32,1989,1.5,0,1,0,0.0,0.66,0.0,0.0,,13.2,0,0,0,0.0,0.0,0.05,0.0,0.0
Carlos García,ESP,DF,22,2000,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Chris Ramos,ESP,FW,25,1997,7.9,1,31,6,19.4,3.93,0.76,0.03,0.17,13.3,0,0,0,3.0,3.0,0.1,-2.0,-2.0
David Gil,ESP,GK,28,1994,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Fali,ESP,"DF,MF",28,1993,19.0,0,9,0,0.0,0.47,0.0,0.0,,16.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Fede San Emeterio,ESP,MF,25,1997,20.5,0,6,1,16.7,0.29,0.05,0.0,0.0,18.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Francisco Mwepu,ZAM,FW,22,2000,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Gonzalo Escalante,ARG,MF,29,1993,12.5,4,14,6,42.9,1.12,0.48,0.29,0.67,12.5,0,0,0,3.5,3.5,0.25,0.5,0.5
