General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Alberto Perea,ESP,MF,31,1990,1,45,45,1.3,0.5,1,45,0,0,,0,0.0,0,1,-1,-2.0,-1.41,0.2,0.6,-0.4,-0.81,-0.29
Alfonso Espino,URU,DF,30,1992,36,3122,87,91.3,34.7,35,89,33,1,18,1,1.17,29,43,-14,-0.4,2.31,39.6,53.6,-14.0,-0.4,1.46
Anthony Lozano,HON,FW,29,1993,28,1443,52,42.2,16.0,14,75,5,14,28,5,1.14,14,19,-5,-0.31,0.51,14.9,23.6,-8.7,-0.54,-0.02
Antonio Blanco,ESP,MF,22,2000,3,158,53,4.6,1.8,2,67,0,1,25,9,0.0,1,6,-5,-2.85,-2.35,0.6,3.4,-2.8,-1.57,-1.09
Awer Mabil,AUS,"MF,FW",26,1995,5,165,33,4.8,1.8,1,61,0,4,26,8,0.0,1,6,-5,-2.73,-2.23,0.9,5.2,-4.3,-2.34,-1.9
Brian Ocampo,URU,"MF,FW",23,1999,18,1119,62,32.7,12.4,15,69,2,3,26,1,1.17,10,17,-7,-0.56,0.06,10.2,19.3,-9.1,-0.73,-0.3
Cala,ESP,DF,32,1989,3,137,46,4.0,1.5,1,72,0,2,33,9,0.67,0,3,-3,-1.97,-1.42,0.8,2.5,-1.7,-1.15,-0.64
Carlos García,ESP,DF,22,2000,1,25,25,0.7,0.3,0,,0,1,25,8,1.0,1,0,1,3.6,4.24,0.5,1.0,-0.4,-1.59,-1.07
Chris Ramos,ESP,FW,25,1997,15,710,47,20.8,7.9,7,77,3,8,21,2,1.07,6,10,-4,-0.51,0.12,13.0,12.7,0.2,0.03,0.71
Curro Muñoz,ESP,MF,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
David Gil,ESP,GK,28,1994,4,360,90,10.5,4.0,4,90,4,0,,23,1.0,3,5,-2,-0.5,0.12,6.1,8.2,-2.1,-0.53,0.0
Fali,ESP,"DF,MF",28,1993,25,1714,69,50.1,19.0,22,73,11,3,33,6,1.16,17,25,-8,-0.42,0.37,20.3,27.9,-7.6,-0.4,0.26
Fede San Emeterio,ESP,MF,25,1997,33,1844,56,53.9,20.5,24,69,3,9,22,0,1.18,16,23,-7,-0.34,0.57,21.7,31.5,-9.9,-0.48,0.1
Francisco Mwepu,ZAM,FW,22,2000,1,21,21,0.6,0.2,0,,0,1,21,0,0.0,0,0,0,0.0,0.61,1.1,0.1,1.0,4.28,4.84
