General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Alberto Perea,ESP,MF,31,1990,0.5,1,2.0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Alfonso Espino,URU,DF,30,1992,34.7,70,2.02,59,6,1,0,2,2,7,0.2,5,1,1,0,0,0
Anthony Lozano,HON,FW,29,1993,16.0,34,2.12,20,0,7,5,2,0,5,0.31,2,0,1,1,1,0
Antonio Blanco,ESP,MF,22,2000,1.8,2,1.14,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Awer Mabil,AUS,"MF,FW",26,1995,1.8,2,1.09,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Brian Ocampo,URU,"MF,FW",23,1999,12.4,40,3.22,29,4,5,0,2,0,5,0.4,3,0,2,0,0,0
Cala,ESP,DF,32,1989,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Carlos García,ESP,DF,22,2000,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Chris Ramos,ESP,FW,25,1997,7.9,12,1.52,8,0,1,1,2,0,0,0.0,0,0,0,0,0,0
David Gil,ESP,GK,28,1994,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fali,ESP,"DF,MF",28,1993,19.0,11,0.58,9,1,0,0,1,0,1,0.05,1,0,0,0,0,0
Fede San Emeterio,ESP,MF,25,1997,20.5,18,0.88,15,0,0,2,0,1,2,0.1,1,0,0,1,0,0
Francisco Mwepu,ZAM,FW,22,2000,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gonzalo Escalante,ARG,MF,29,1993,12.5,25,2.01,22,0,2,1,0,0,3,0.24,1,0,1,1,0,0
Isaac Carcelen,ESP,DF,29,1993,24.4,43,1.76,27,9,1,1,4,1,2,0.08,1,0,1,0,0,0
Iván Alejo,ESP,"MF,FW",27,1995,14.6,40,2.75,27,3,3,5,2,0,0,0.0,0,0,0,0,0,0
Jeremías Ledesma,ARG,GK,29,1993,34.0,10,0.29,6,3,0,0,1,0,1,0.03,0,0,0,0,1,0
Jorge Meré,ESP,DF,25,1997,6.7,4,0.6,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Joseba Zaldúa,ESP,DF,30,1992,7.1,7,0.99,5,0,0,0,1,1,1,0.14,1,0,0,0,0,0
José Antonio,ESP,"MF,DF",18,2004,0.5,1,1.91,1,0,0,0,0,0,1,1.91,1,0,0,0,0,0
José Mari,ESP,MF,34,1987,4.4,13,2.94,10,1,0,1,0,1,0,0.0,0,0,0,0,0,0
Lucas Pérez,ESP,FW,33,1988,7.0,16,2.29,11,1,2,1,0,1,0,0.0,0,0,0,0,0,0
Luis Hernández,ESP,DF,33,1989,35.0,36,1.03,20,13,0,2,0,1,3,0.09,2,1,0,0,0,0
Mamadou Mbaye,SEN,DF,24,1998,8.4,4,0.47,2,0,0,0,0,2,1,0.12,1,0,0,0,0,0
Mamady Diarra,MLI,"MF,DF",22,2000,0.7,1,1.36,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Raúl Parra,ESP,DF,22,1999,3.4,2,0.58,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Roger Martí,ESP,FW,31,1991,7.1,12,1.69,6,0,1,3,1,1,0,0.0,0,0,0,0,0,0
Rubén Alcaraz,ESP,MF,31,1991,22.7,47,2.07,34,9,1,1,2,0,2,0.09,2,0,0,0,0,0
Rubén Sobrino,ESP,"MF,FW",30,1992,27.4,53,1.94,39,0,1,4,6,3,5,0.18,5,0,0,0,0,0
Santiago Arzamendia,PAR,"DF,MF",24,1998,5.4,11,2.05,8,2,1,0,0,0,0,0.0,0,0,0,0,0,0
Sergi Guardiola,ESP,FW,31,1991,12.9,31,2.39,21,0,2,5,2,1,0,0.0,0,0,0,0,0,0
Theo Bongonda,COD,"MF,FW",26,1995,21.5,45,2.09,27,3,4,4,6,1,5,0.23,3,0,1,1,0,0
Tomás Alarcón,CHI,MF,23,1999,2.5,4,1.61,2,1,0,0,1,0,0,0.0,0,0,0,0,0,0
Víctor Chust,ESP,DF,22,2000,10.7,5,0.47,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Youba Diarra,MLI,MF,24,1998,1.1,3,2.76,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Álex Fernández,ESP,"MF,FW",29,1992,17.5,39,2.23,27,10,1,0,1,0,1,0.06,1,0,0,0,0,0
Álvaro Giménez,ESP,FW,31,1991,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Álvaro Negredo,ESP,FW,36,1985,8.4,21,2.49,13,0,3,3,1,1,4,0.47,2,0,1,1,0,0
