Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA
Lille,38,24,11,3,64,23,+41,83,2.18,48.5,29.8
Paris S-G,38,26,4,8,86,28,+58,82,2.16,80.1,40.6
Monaco,38,24,6,8,76,42,+34,78,2.05,68.7,34.6
Lyon,38,22,10,6,81,43,+38,76,2.00,81.4,41.5
Marseille,38,16,12,10,54,47,+7,60,1.58,47.0,47.4
Rennes,38,16,10,12,52,40,+12,58,1.53,47.8,38.1
Lens,38,15,12,11,55,54,+1,57,1.50,56.4,46.8
Montpellier,38,14,12,12,60,62,-2,54,1.42,51.9,66.2
Nice,38,15,7,16,50,53,-3,52,1.37,48.0,55.6
Metz,38,12,11,15,44,48,-4,47,1.24,44.1,49.2
Saint-Étienne,38,12,10,16,42,54,-12,46,1.21,48.7,50.1
Bordeaux,38,13,6,19,42,56,-14,45,1.18,43.5,54.9
Angers,38,12,8,18,40,58,-18,44,1.16,41.6,52.3
Reims,38,9,15,14,42,50,-8,42,1.11,32.7,59.0
Strasbourg,38,11,9,18,49,58,-9,42,1.11,52.8,50.7
Lorient,38,11,9,18,50,68,-18,42,1.11,48.6,52.5
Brest,38,11,8,19,50,66,-16,41,1.08,50.0,58.1
Nantes,38,9,13,16,47,55,-8,40,1.05,49.0,53.6
Nîmes,38,9,8,21,40,71,-31,35,0.92,43.3,64.2
Dijon,38,4,9,25,25,73,-48,21,0.55,33.7,72.5
