Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA
Manchester City,38,27,5,6,83,32,+51,86,2.26,68.2,30.2
Manchester Utd,38,21,11,6,73,44,+29,74,1.95,60.1,41.4
Liverpool,38,20,9,9,68,42,+26,69,1.82,67.5,43.0
Chelsea,38,19,10,9,58,36,+22,67,1.76,62.4,30.3
Leicester City,38,20,6,12,68,50,+18,66,1.74,55.8,46.0
West Ham,38,19,8,11,62,47,+15,65,1.71,55.4,48.7
Tottenham,38,18,8,12,68,45,+23,62,1.63,53.1,49.1
Arsenal,38,18,7,13,55,39,+16,61,1.61,51.7,43.0
Leeds United,38,18,5,15,62,54,+8,59,1.55,55.6,57.9
Everton,38,17,8,13,47,48,-1,59,1.55,45.7,50.1
Aston Villa,38,16,7,15,55,46,+9,55,1.45,52.5,51.1
Newcastle Utd,38,12,9,17,46,62,-16,45,1.18,43.4,58.3
Wolves,38,12,9,17,36,52,-16,45,1.18,36.5,49.5
Crystal Palace,38,12,8,18,41,66,-25,44,1.16,34.1,58.2
Southampton,38,12,7,19,47,68,-21,43,1.13,41.2,53.1
Brighton,38,9,14,15,40,46,-6,41,1.08,50.9,35.3
Burnley,38,10,9,19,33,55,-22,39,1.03,39.3,54.7
Fulham,38,5,13,20,27,53,-26,28,0.74,40.5,52.6
West Brom,38,5,11,22,35,76,-41,26,0.68,35.8,67.9
Sheffield Utd,38,7,2,29,20,63,-43,23,0.61,32.6,62.2
