Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA
Inter,38,28,7,3,89,35,+54,91,2.39,74.2,39.8
Milan,38,24,7,7,74,41,+33,79,2.08,70.7,47.0
Atalanta,38,23,9,6,90,47,+43,78,2.05,74.7,41.0
Juventus,38,23,9,6,77,38,+39,78,2.05,74.4,39.4
Napoli,38,24,5,9,86,41,+45,77,2.03,67.7,42.6
Lazio,38,21,5,12,61,55,+6,68,1.79,58.2,47.3
Roma,38,18,8,12,68,58,+10,62,1.63,65.3,45.6
Sassuolo,38,17,11,10,64,56,+8,62,1.63,58.4,55.4
Sampdoria,38,15,7,16,52,54,-2,52,1.37,45.4,56.1
Hellas Verona,38,11,12,15,46,48,-2,45,1.18,45.3,49.5
Genoa,38,10,12,16,47,58,-11,42,1.11,38.8,60.5
Bologna,38,10,11,17,51,65,-14,41,1.08,54.6,62.6
Fiorentina,38,9,13,16,47,59,-12,40,1.05,44.9,61.5
Udinese,38,10,10,18,42,58,-16,40,1.05,45.7,52.6
Spezia,38,9,12,17,52,72,-20,39,1.03,46.6,65.1
Cagliari,38,9,10,19,43,59,-16,37,0.97,47.1,61.7
Torino,38,7,16,15,50,69,-19,37,0.97,50.0,62.0
Benevento,38,7,12,19,40,75,-35,33,0.87,40.6,64.3
Crotone,38,6,5,27,45,92,-47,23,0.61,40.4,70.8
Parma,38,3,11,24,39,83,-44,20,0.53,42.5,61.0
