General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Akim Zedadka,ALG,DF,27,1995,17.8,707,555,150,14,1,1,38,136,0,0,0,0,543,2,22
Alexandre Coeff,FRA,DF,30,1992,6.5,353,340,12,4,0,4,5,8,0,0,0,0,287,1,3
Benoît Costil,FRA,GK,35,1987,19.0,593,373,218,81,0,3,0,0,0,0,0,0,414,2,0
Birama Touré,MLI,MF,30,1992,37.8,1538,1508,28,23,1,25,14,4,1,0,0,0,1236,2,24
Brayann Pereira,FRA,DF,19,2003,2.0,79,63,15,0,0,0,9,15,0,0,0,0,56,1,2
Donovan Léon,GUF,GK,29,1992,2.0,79,50,29,5,0,0,0,0,0,0,0,0,38,0,0
Dénys Bain,FRA,DF,29,1993,1.4,56,55,1,1,0,1,0,0,0,0,0,0,52,0,0
Gauthier Hein,FRA,"MF,FW",25,1996,20.8,778,674,101,33,2,17,99,14,47,21,16,0,588,3,15
Gaëtan Charbonnier,FRA,"FW,MF",33,1988,2.8,89,78,11,0,0,2,1,1,0,0,0,0,79,0,2
Gaëtan Perrin,FRA,"MF,FW",26,1996,15.5,434,400,31,12,3,9,30,2,14,4,8,0,315,3,16
Gideon Mensah,GHA,DF,24,1998,25.1,1457,1192,260,25,2,8,67,235,0,0,0,0,1126,5,40
Hamza Sakhi,FRA,MF,26,1996,18.4,947,866,73,33,4,23,88,1,37,12,20,0,756,8,14
Han-Noah Massengo,FRA,MF,21,2001,12.4,453,435,12,8,5,3,2,1,0,0,0,0,385,6,9
Ionuț Radu,ROU,GK,25,1997,17.0,598,411,186,58,0,0,0,0,0,0,0,0,345,1,0
Jubal,BRA,DF,28,1993,35.7,1345,1280,64,63,1,22,4,1,0,0,0,0,1099,1,5
Julian Jeanvier,GUI,DF,30,1992,19.6,792,756,34,27,0,4,2,7,0,0,0,0,653,2,6
Kays Ruiz Atil,FRA,MF,19,2002,0.7,29,29,0,0,0,0,0,0,0,0,0,0,26,0,0
Kenji-Van Boto,MAD,DF,26,1996,2.0,69,55,14,2,0,0,4,12,0,0,0,0,48,0,3
Kévin Danois,FRA,MF,18,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Lassine Sinayoko,MLI,"MF,FW",22,1999,17.4,555,550,5,0,1,5,30,3,0,0,0,0,413,0,19
M'Baye Niang,SEN,FW,27,1994,16.5,297,260,37,1,0,1,8,4,0,0,0,0,188,0,20
Mathias Autret,FRA,"MF,FW",31,1991,14.3,597,530,64,20,4,18,65,10,24,13,7,0,451,3,15
Matthis Abline,FRA,"FW,MF",19,2003,9.0,105,91,13,0,0,2,6,0,0,0,0,0,69,1,3
Nuno da Costa,CPV,"FW,MF",31,1991,22.3,381,364,17,1,3,4,15,0,0,0,0,0,261,0,10
Ousmane Camara,GUI,"FW,MF",20,2001,0.3,8,8,0,0,0,0,2,0,0,0,0,0,7,0,0
Paul Joly,FRA,DF,22,2000,9.6,652,565,86,5,1,17,36,81,0,0,0,0,514,1,19
Quentin Bernard,FRA,DF,33,1989,7.0,417,345,69,12,0,4,14,57,0,0,0,0,324,3,8
Rayan Raveloson,MAD,"DF,MF",25,1997,27.0,1130,982,146,30,1,20,33,115,1,1,0,0,917,2,21
Rémy Dugimont,FRA,"FW,MF",36,1986,1.3,61,59,2,0,0,1,0,0,0,0,0,0,41,0,3
Siriki Dembélé,CIV,"MF,FW",25,1996,4.1,97,94,3,1,0,0,6,1,1,1,0,0,78,0,3
Souleymane Touré,FRA,DF,19,2003,17.6,782,762,19,18,0,5,3,1,0,0,0,0,681,1,9
Théo Pellenard,FRA,DF,28,1994,1.1,21,19,2,1,0,0,1,1,0,0,0,0,11,0,2
Youssouf M'Changama,COM,MF,31,1990,12.0,489,463,26,13,2,11,35,2,10,4,6,0,384,0,12
