General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Akim Zedadka,ALG,DF,27,1995,17.8,921,70,298,398,232,21,921,35,9,25.7,22,62.9,547,3288,1350,25,16,4,27,17,472,71
Alexandre Coeff,FRA,DF,30,1992,6.5,428,62,224,176,31,1,428,2,0,0.0,2,100.0,309,1699,762,3,4,0,3,3,290,9
Benoît Costil,FRA,GK,35,1987,19.0,638,531,635,3,0,0,638,1,1,100.0,0,0.0,377,1899,975,0,0,0,0,0,254,0
Birama Touré,MLI,MF,30,1992,37.8,1904,94,514,1188,214,14,1903,23,11,47.8,8,34.8,1280,6052,2210,10,21,1,39,15,1118,25
Brayann Pereira,FRA,DF,19,2003,2.0,112,10,40,39,34,1,112,13,6,46.2,5,38.5,73,344,136,4,2,1,6,0,66,8
Donovan Léon,GUF,GK,29,1992,2.0,86,80,86,0,0,0,86,1,1,100.0,0,0.0,51,305,142,0,0,0,0,0,28,0
Dénys Bain,FRA,DF,29,1993,1.4,70,15,42,28,0,0,70,1,1,100.0,0,0.0,48,294,137,0,0,0,0,0,44,0
Gauthier Hein,FRA,"MF,FW",25,1996,20.8,951,14,124,460,383,56,951,49,19,38.8,28,57.1,723,4963,2152,61,36,24,35,24,667,142
Gaëtan Charbonnier,FRA,"FW,MF",33,1988,2.8,120,5,11,67,43,14,120,4,2,50.0,1,25.0,91,433,139,2,3,0,8,6,92,18
Gaëtan Perrin,FRA,"MF,FW",26,1996,15.5,628,16,100,286,259,37,627,93,59,63.4,31,33.3,492,3747,1886,55,36,15,49,42,435,81
Gideon Mensah,GHA,DF,24,1998,25.1,1734,90,531,852,384,9,1734,59,26,44.1,28,47.5,1140,7390,3334,56,63,1,44,13,945,110
Hamza Sakhi,FRA,MF,26,1996,18.4,1112,20,171,614,342,28,1112,27,15,55.6,6,22.2,834,5023,2110,43,37,3,20,13,779,75
Han-Noah Massengo,FRA,MF,21,2001,12.4,588,11,107,358,134,20,588,38,17,44.7,14,36.8,446,2726,1184,21,26,6,19,8,403,29
Ionuț Radu,ROU,GK,25,1997,17.0,630,538,626,4,0,0,630,1,1,100.0,0,0.0,431,2238,1443,0,0,0,1,0,253,0
Jubal,BRA,DF,28,1993,35.7,1774,305,979,749,57,31,1773,7,2,28.6,2,28.6,1106,5884,2794,7,11,0,23,4,972,1
Julian Jeanvier,GUI,DF,30,1992,19.6,1002,168,558,423,23,12,1002,3,2,66.7,1,33.3,674,3508,1755,4,4,0,8,2,607,6
Kays Ruiz Atil,FRA,MF,19,2002,0.7,41,0,19,19,4,1,41,1,1,100.0,0,0.0,31,160,68,1,0,1,2,1,23,2
Kenji-Van Boto,MAD,DF,26,1996,2.0,83,5,24,40,20,2,83,0,0,,0,,53,356,229,4,5,0,2,0,50,10
Kévin Danois,FRA,MF,18,2004,0.0,3,0,0,3,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Lassine Sinayoko,MLI,"MF,FW",22,1999,17.4,787,27,125,329,355,76,787,60,28,46.7,24,40.0,579,3939,1782,49,33,22,42,33,520,150
M'Baye Niang,SEN,FW,27,1994,16.5,539,29,48,279,217,68,536,41,9,22.0,27,65.9,344,1950,605,17,18,12,72,21,396,87
Mathias Autret,FRA,"MF,FW",31,1991,14.3,722,24,123,366,239,24,721,25,10,40.0,14,56.0,512,2801,950,20,12,3,18,4,471,58
Matthis Abline,FRA,"FW,MF",19,2003,9.0,210,3,11,101,103,41,208,23,12,52.2,11,47.8,141,918,319,14,5,7,43,17,155,49
Nuno da Costa,CPV,"FW,MF",31,1991,22.3,728,20,86,334,324,78,728,109,46,42.2,47,43.1,489,3344,1069,30,18,15,92,40,495,130
Ousmane Camara,GUI,"FW,MF",20,2001,0.3,11,0,0,3,8,1,11,1,0,0.0,0,0.0,7,71,35,2,2,0,0,0,5,1
Paul Joly,FRA,DF,22,2000,9.6,783,54,283,328,179,4,783,28,13,46.4,8,28.6,519,3094,1511,19,27,1,9,12,445,48
Quentin Bernard,FRA,DF,33,1989,7.0,473,32,152,242,82,2,473,4,1,25.0,1,25.0,324,1567,722,4,15,0,2,1,290,14
Rayan Raveloson,MAD,"DF,MF",25,1997,27.0,1420,130,483,687,267,39,1420,27,8,29.6,11,40.7,925,5455,2705,36,38,6,41,16,788,61
Rémy Dugimont,FRA,"FW,MF",36,1986,1.3,82,5,14,27,42,4,82,1,0,0.0,1,100.0,60,333,130,2,2,0,2,1,60,12
Siriki Dembélé,CIV,"MF,FW",25,1996,4.1,159,0,25,57,82,13,159,31,19,61.3,9,29.0,127,995,405,14,9,8,13,16,114,29
Souleymane Touré,FRA,DF,19,2003,17.6,963,137,488,437,50,17,963,18,8,44.4,7,38.9,680,3842,1922,11,7,0,7,2,615,6
Théo Pellenard,FRA,DF,28,1994,1.1,36,9,23,11,2,1,36,0,0,,0,,13,48,13,0,0,0,0,0,15,0
Youssouf M'Changama,COM,MF,31,1990,12.0,621,19,144,323,159,15,621,23,10,43.5,11,47.8,436,2174,811,17,11,1,18,9,401,35
