General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Michele Cerofolini,ITA,GK,23,1999,5.0,3,1,0,0,0,3.4,0.22,0.4,0.09,24,70,34.3,167,27,34.7,33.3,28,42.9,38.1,29,1,3.4,3,0.6,13.8
Pierluigi Gollini,ITA,GK,27,1995,3.0,2,0,0,1,0,1.7,0.21,-0.3,-0.1,13,38,34.2,115,17,27.0,32.4,11,63.6,49.3,24,1,4.2,0,0.0,9.3
Pietro Terracciano,ITA,GK,32,1990,29.0,38,6,0,3,2,33.1,0.28,-2.9,-0.1,155,375,41.3,871,113,32.7,33.2,198,45.5,40.5,271,12,4.4,55,1.9,18.4
Salvatore Sirigu,ITA,GK,35,1987,1.0,0,0,0,0,0,1.0,0.19,1.0,0.96,6,16,37.5,30,9,40.0,37.7,8,50.0,41.8,12,0,0.0,2,2.0,26.3
