General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Aleksa Terzić,SRB,DF,22,1999,10.4,724,590,131,12,0,1,79,111,8,0,5,0,582,3,19
Alessandro Bianco,ITA,MF,19,2002,1.7,78,76,2,2,0,3,1,0,0,0,0,0,67,0,0
Alfred Duncan,GHA,MF,29,1993,12.3,540,518,19,9,4,2,26,6,4,0,4,0,421,3,10
Antonín Barák,CZE,MF,27,1994,20.0,719,689,28,6,5,6,14,7,0,0,0,0,590,2,16
Arthur Cabral,BRA,FW,24,1998,15.9,271,253,16,0,1,1,4,3,0,0,0,0,183,2,14
Christian Kouamé,CIV,FW,24,1997,20.7,661,628,31,2,1,6,49,21,2,0,0,0,468,2,15
Cristiano Biraghi,ITA,DF,29,1992,28.3,1994,1440,548,94,0,27,300,292,162,71,63,0,1433,6,37
Dodô,BRA,DF,23,1998,25.9,1504,1272,229,21,2,8,61,208,0,0,0,0,1222,3,28
Gaetano Castrovilli,ITA,MF,25,1997,8.0,241,224,16,10,1,1,12,1,3,0,2,0,188,1,6
Giacomo Bonaventura,ITA,MF,32,1989,21.2,916,864,51,27,4,6,48,5,8,0,5,0,754,1,24
Igor,BRA,DF,24,1998,22.9,1324,1256,67,57,1,12,1,10,0,0,0,0,1165,1,12
Jonathan Ikone,FRA,FW,24,1998,22.3,669,638,29,7,2,10,24,21,0,0,0,0,546,2,19
Josip Brekalo,CRO,"FW,MF",24,1998,2.5,100,98,2,0,0,1,10,1,1,1,0,0,76,0,4
Lorenzo Venuti,ITA,DF,27,1995,10.3,609,501,106,12,0,3,37,87,7,0,5,0,497,2,16
Luca Ranieri,ITA,DF,23,1999,5.6,334,322,10,5,0,1,0,5,0,0,0,0,278,2,3
Lucas Martínez Quarta,ARG,DF,26,1996,24.1,1524,1460,61,54,0,38,4,7,0,0,0,0,1245,3,12
Luka Jović,SRB,"FW,MF",24,1997,17.0,297,263,32,0,2,1,1,1,0,0,0,0,228,2,6
Marco Benassi,ITA,DF,27,1994,1.0,105,94,11,5,0,4,7,6,0,0,0,0,91,0,1
Michele Cerofolini,ITA,GK,23,1999,5.0,195,156,39,11,0,0,0,0,0,0,0,0,148,0,0
Nicolás González,ARG,"FW,MF",24,1998,15.0,571,542,25,9,1,12,31,14,2,0,0,0,381,4,19
Nikola Milenković,SRB,DF,24,1997,23.7,1292,1245,43,38,0,10,0,5,0,0,0,0,1107,4,9
Pierluigi Gollini,ITA,GK,27,1995,3.0,126,111,15,4,0,0,0,0,0,0,0,0,96,0,0
Pietro Terracciano,ITA,GK,32,1990,29.0,1072,796,273,75,0,2,0,0,0,0,0,0,816,3,1
Riccardo Saponara,ITA,FW,30,1991,13.4,457,451,3,0,2,6,32,3,0,0,0,0,329,3,13
Riccardo Sottil,ITA,FW,23,1999,9.3,266,264,2,1,2,2,31,1,0,0,0,0,209,0,7
Rolando Mandragora,ITA,MF,25,1997,21.7,984,886,95,52,1,17,74,6,36,16,15,0,790,3,17
Salvatore Sirigu,ITA,GK,35,1987,1.0,38,26,12,4,0,0,0,0,0,0,0,0,28,0,0
Sofyan Amrabat,MAR,MF,25,1996,22.2,1490,1396,91,80,1,22,26,9,1,0,0,0,1323,3,25
Szymon Żurkowski,POL,MF,24,1997,0.4,19,19,0,0,0,0,1,0,0,0,0,0,17,0,1
Youssef Maleh,MAR,MF,23,1998,3.3,116,111,4,3,0,1,7,1,0,0,0,0,95,1,2
