General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Aleksa Terzić,SRB,DF,22,1999,10.4,2,0,0,4,12,3,79,5,9,0,0,0,59,7,9,43.8
Alessandro Bianco,ITA,MF,19,2002,1.7,1,0,0,7,4,0,1,0,2,0,0,0,8,2,2,50.0
Alfred Duncan,GHA,MF,29,1993,12.3,3,0,0,26,12,1,26,8,10,0,0,0,67,9,7,56.3
Antonín Barák,CZE,MF,27,1994,20.0,4,0,0,13,17,3,14,3,9,0,1,0,76,18,31,36.7
Arthur Cabral,BRA,FW,24,1998,15.9,4,0,0,26,18,2,4,1,2,0,1,0,39,49,49,50.0
Christian Kouamé,CIV,FW,24,1997,20.7,5,0,0,32,56,7,49,12,18,1,0,0,91,62,52,54.4
Cristiano Biraghi,ITA,DF,29,1992,28.3,1,0,0,29,38,1,300,14,38,0,0,1,137,19,25,43.2
Dodô,BRA,DF,23,1998,25.9,5,1,1,28,40,0,61,25,22,0,1,0,184,19,13,59.4
Gaetano Castrovilli,ITA,MF,25,1997,8.0,3,0,0,12,12,1,12,8,8,0,0,0,36,4,11,26.7
Giacomo Bonaventura,ITA,MF,32,1989,21.2,4,1,0,24,40,2,48,16,23,1,0,0,140,14,22,38.9
Igor,BRA,DF,24,1998,22.9,10,1,1,29,13,0,1,25,29,0,0,0,157,38,28,57.6
Jonathan Ikone,FRA,FW,24,1998,22.3,4,0,0,28,25,5,24,4,8,1,0,0,86,14,28,33.3
Josip Brekalo,CRO,"FW,MF",24,1998,2.5,1,0,0,3,5,0,10,1,1,0,0,0,13,0,6,0.0
Lorenzo Venuti,ITA,DF,27,1995,10.3,2,0,0,7,9,1,37,5,7,0,0,0,53,10,9,52.6
Luca Ranieri,ITA,DF,23,1999,5.6,1,0,0,6,2,2,0,11,4,0,0,0,30,11,13,45.8
Lucas Martínez Quarta,ARG,DF,26,1996,24.1,6,0,0,21,25,1,4,48,48,0,0,0,167,76,36,67.9
Luka Jović,SRB,"FW,MF",24,1997,17.0,3,0,0,23,8,11,1,2,3,0,0,0,18,29,54,34.9
Marco Benassi,ITA,DF,27,1994,1.0,0,0,0,1,1,0,7,1,3,0,0,0,10,3,2,60.0
Michele Cerofolini,ITA,GK,23,1999,5.0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,
Nicolás González,ARG,"FW,MF",24,1998,15.0,3,0,0,16,55,4,31,4,10,0,1,0,60,64,36,64.0
Nikola Milenković,SRB,DF,24,1997,23.7,4,0,0,39,21,0,0,22,25,0,0,1,127,73,30,70.9
Pierluigi Gollini,ITA,GK,27,1995,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Pietro Terracciano,ITA,GK,32,1990,29.0,1,0,0,2,0,0,0,1,1,0,2,0,51,6,0,100.0
Riccardo Saponara,ITA,FW,30,1991,13.4,4,0,0,14,22,5,32,5,5,0,0,0,67,8,8,50.0
Riccardo Sottil,ITA,FW,23,1999,9.3,1,0,0,4,27,6,31,0,3,0,0,0,32,3,5,37.5
Rolando Mandragora,ITA,MF,25,1997,21.7,8,0,0,31,18,1,74,16,24,0,0,0,121,35,23,60.3
Salvatore Sirigu,ITA,GK,35,1987,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Sofyan Amrabat,MAR,MF,25,1996,22.2,11,0,0,54,28,0,26,21,24,0,2,0,157,11,13,45.8
Szymon Żurkowski,POL,MF,24,1997,0.4,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,50.0
Youssef Maleh,MAR,MF,23,1998,3.3,2,0,0,8,3,0,7,1,1,0,0,0,20,3,4,42.9
