General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Aleksa Terzić,SRB,DF,22,1999,10.4,1,10,2,20.0,0.96,0.19,0.1,0.5,24.8,0,0,0,0.4,0.4,0.04,0.6,0.6
Alessandro Bianco,ITA,MF,19,2002,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,25.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Alfred Duncan,GHA,MF,29,1993,12.3,1,9,2,22.2,0.73,0.16,0.11,0.5,24.1,0,0,0,0.5,0.5,0.05,0.5,0.5
Antonín Barák,CZE,MF,27,1994,20.0,2,32,7,21.9,1.6,0.35,0.06,0.29,17.7,0,0,0,2.6,2.6,0.08,-0.6,-0.6
Arthur Cabral,BRA,FW,24,1998,15.9,8,52,20,38.5,3.27,1.26,0.12,0.3,13.1,0,2,2,7.9,6.3,0.12,0.1,-0.3
Christian Kouamé,CIV,FW,24,1997,20.7,4,42,13,31.0,2.03,0.63,0.1,0.31,13.8,1,0,0,5.3,5.3,0.13,-1.3,-1.3
Cristiano Biraghi,ITA,DF,29,1992,28.3,2,24,5,20.8,0.85,0.18,0.08,0.4,27.4,15,0,1,1.8,1.1,0.04,0.2,0.9
Dodô,BRA,DF,23,1998,25.9,1,11,4,36.4,0.42,0.15,0.09,0.25,20.5,0,0,0,0.7,0.7,0.06,0.3,0.3
Gaetano Castrovilli,ITA,MF,25,1997,8.0,2,18,8,44.4,2.26,1.0,0.11,0.25,17.7,1,0,0,1.2,1.2,0.07,0.8,0.8
Giacomo Bonaventura,ITA,MF,32,1989,21.2,5,49,14,28.6,2.31,0.66,0.1,0.36,19.6,2,0,0,4.3,4.3,0.09,0.7,0.7
Igor,BRA,DF,24,1998,22.9,0,7,0,0.0,0.31,0.0,0.0,,12.4,0,0,0,0.5,0.5,0.08,-0.5,-0.5
Jonathan Ikone,FRA,FW,24,1998,22.3,4,51,9,17.6,2.29,0.4,0.08,0.44,16.6,0,0,0,4.1,4.1,0.08,-0.1,-0.1
Josip Brekalo,CRO,"FW,MF",24,1998,2.5,0,5,0,0.0,1.97,0.0,0.0,,22.5,0,0,0,0.7,0.7,0.13,-0.7,-0.7
Lorenzo Venuti,ITA,DF,27,1995,10.3,0,7,4,57.1,0.68,0.39,0.0,0.0,22.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Luca Ranieri,ITA,DF,23,1999,5.6,0,1,0,0.0,0.18,0.0,0.0,,5.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Lucas Martínez Quarta,ARG,DF,26,1996,24.1,1,27,10,37.0,1.12,0.41,0.04,0.1,13.9,0,0,0,2.5,2.5,0.09,-1.5,-1.5
Luka Jović,SRB,"FW,MF",24,1997,17.0,6,56,19,33.9,3.29,1.11,0.11,0.32,13.3,0,0,1,7.9,7.1,0.13,-1.9,-1.1
Marco Benassi,ITA,DF,27,1994,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Michele Cerofolini,ITA,GK,23,1999,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nicolás González,ARG,"FW,MF",24,1998,15.0,6,58,17,29.3,3.86,1.13,0.07,0.24,17.4,1,2,2,6.7,5.4,0.09,-0.7,-1.4
Nikola Milenković,SRB,DF,24,1997,23.7,2,19,5,26.3,0.8,0.21,0.11,0.4,9.4,0,0,0,1.9,1.9,0.1,0.1,0.1
Pierluigi Gollini,ITA,GK,27,1995,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Pietro Terracciano,ITA,GK,32,1990,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Riccardo Saponara,ITA,FW,30,1991,13.4,4,37,13,35.1,2.76,0.97,0.11,0.31,19.4,0,0,0,2.8,2.8,0.08,1.2,1.2
Riccardo Sottil,ITA,FW,23,1999,9.3,0,21,8,38.1,2.27,0.86,0.0,0.0,19.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0
Rolando Mandragora,ITA,MF,25,1997,21.7,2,37,5,13.5,1.71,0.23,0.05,0.4,22.9,2,0,0,1.5,1.5,0.04,0.5,0.5
Salvatore Sirigu,ITA,GK,35,1987,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Sofyan Amrabat,MAR,MF,25,1996,22.2,0,13,4,30.8,0.59,0.18,0.0,0.0,26.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Szymon Żurkowski,POL,MF,24,1997,0.4,0,2,1,50.0,5.63,2.81,0.0,0.0,15.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Youssef Maleh,MAR,MF,23,1998,3.3,0,7,0,0.0,2.12,0.0,0.0,,15.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6
