General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Andriy Lunin,UKR,GK,23,1999,7.0,205,227,90.3,4750,3000,45,45,100.0,117,120,97.5,43,61,70.5,0,0.0,0.0,0.0,0,0,0,0,0
Antonio Rüdiger,GER,DF,29,1993,26.8,1486,1617,91.9,26566,8924,595,621,95.8,768,807,95.2,109,153,71.2,0,0.1,0.9,-0.1,2,75,6,0,59
Aurélien Tchouaméni,FRA,MF,22,2000,23.5,1578,1700,92.8,25016,7823,807,851,94.8,646,686,94.2,88,106,83.0,4,2.2,2.1,1.8,22,159,11,0,142
Casemiro,BRA,MF,30,1992,0.1,7,8,87.5,134,50,6,6,100.0,0,0,,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0
Dani Carvajal,ESP,DF,30,1992,19.8,1133,1333,85.0,18356,4041,607,664,91.4,416,483,86.1,86,123,69.9,2,2.0,2.0,0.0,22,57,21,8,58
Dani Ceballos,ESP,MF,25,1996,17.4,1362,1504,90.6,21362,6610,745,785,94.9,445,475,93.7,117,146,80.1,4,2.1,2.0,1.9,30,198,18,1,204
David Alaba,AUT,DF,30,1992,20.4,1042,1189,87.6,15258,5475,601,626,96.0,340,388,87.6,53,99,53.5,3,1.1,1.3,1.9,16,68,9,4,67
Eden Hazard,BEL,FW,31,1991,2.2,96,108,88.9,1184,231,60,68,88.2,21,22,95.5,4,4,100.0,1,0.5,0.5,0.5,7,6,3,0,8
Eduardo Camavinga,FRA,"MF,DF",19,2002,22.3,1364,1504,90.7,21221,5654,711,763,93.2,517,548,94.3,89,112,79.5,1,1.5,2.2,-0.5,24,138,17,1,165
Federico Valverde,URU,"MF,FW",24,1998,27.8,1427,1641,87.0,21092,4276,855,915,93.4,424,489,86.7,99,136,72.8,4,6.3,5.1,-2.3,43,118,45,6,151
Ferland Mendy,FRA,DF,27,1995,15.0,794,862,92.1,10969,2745,507,532,95.3,223,246,90.7,34,38,89.5,1,0.6,0.6,0.4,13,54,9,0,56
Jesús Vallejo,ESP,DF,25,1997,0.2,12,12,100.0,224,80,4,4,100.0,6,6,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0
Karim Benzema,FRA,FW,34,1987,22.6,924,1070,86.4,10990,2417,624,695,89.8,193,210,91.9,24,32,75.0,3,5.8,5.5,-2.8,48,71,51,0,138
Lucas Vázquez,ESP,DF,31,1991,12.7,808,936,86.3,12257,2640,456,495,92.1,279,319,87.5,50,74,67.6,1,1.6,3.1,-0.6,21,28,30,6,50
Luka Modrić,CRO,MF,36,1985,19.4,1336,1521,87.8,20964,6451,740,786,94.1,414,467,88.7,127,179,70.9,3,4.5,4.2,-1.5,42,153,22,3,182
Marco Asensio,ESP,"FW,MF",26,1996,16.0,650,802,81.0,9900,2248,378,415,91.1,187,222,84.2,56,102,54.9,6,4.9,4.2,1.1,41,60,26,6,70
Mariano,DOM,FW,28,1993,1.7,32,41,78.0,426,81,25,30,83.3,5,7,71.4,2,2,100.0,0,0.4,0.7,-0.4,1,3,0,0,2
Nacho,ESP,DF,32,1990,18.2,1085,1184,91.6,16750,5906,577,612,94.3,427,454,94.1,53,74,71.6,1,0.9,0.7,0.1,12,79,8,1,75
Rodrygo,BRA,"FW,MF",21,2001,26.4,918,1050,87.4,10744,2092,650,702,92.6,162,188,86.2,33,43,76.7,8,7.0,6.2,1.0,47,63,28,3,81
Sergio Arribas,ESP,"MF,FW",20,2001,0.2,9,11,81.8,131,35,6,6,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,1,1,1,0,2
Thibaut Courtois,BEL,GK,30,1992,31.0,980,1136,86.3,23008,14737,219,220,99.5,560,567,98.8,196,341,57.5,0,0.4,0.0,-0.4,2,6,1,0,0
Toni Kroos,GER,MF,32,1990,23.9,2255,2482,90.9,42174,15247,991,1022,97.0,907,964,94.1,314,419,74.9,4,4.4,5.5,-0.4,55,372,26,7,319
Vinicius Júnior,BRA,FW,22,2000,31.4,883,1153,76.6,11725,2422,581,665,87.4,204,262,77.9,44,74,59.5,9,9.4,8.8,-0.4,64,30,45,2,87
Álvaro Muñoz,URU,FW,18,2004,0.9,9,12,75.0,127,22,5,6,83.3,4,6,66.7,0,0,,1,0.3,0.1,0.7,1,0,1,0,1
Álvaro Odriozola,ESP,DF,26,1995,0.4,27,28,96.4,376,108,19,20,95.0,7,7,100.0,1,1,100.0,0,0.3,0.1,-0.3,2,1,1,1,2
Éder Militão,BRA,DF,24,1998,30.0,1660,1881,88.3,31882,10563,648,691,93.8,794,862,92.1,188,273,68.9,0,0.6,0.8,-0.6,6,138,5,1,98
