NED-Eredivisie
2223
RKC Waalwijk
Chris Lokesa
BEL
MF
17
2004
1
0
11
0.1
0
0
0
0
0
0
0
0
0.0
0.0
0.0
0.0
0
0
1
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
