name,position,id
Sam Johnstone,GK,9e5708be
Darnell Furlong,DF,3ec9195b
Semi Ajayi,DF,d6192210
Matheus Pereira,"MF,FW",b04ee927
Kyle Bartley,DF,18e96f64
Conor Gallagher,MF,c2731c10
Conor Townsend,DF,4dc4f138
Dara O'Shea,DF,1d042188
Matt Phillips,MF,7bb5f40e
Callum Robinson,"FW,MF",e75750a3
Romaine Sawyers,MF,77bb1522
Okay Yokuşlu,MF,e49ce451
Jake Livermore,MF,b98570d1
Grady Diangana,"MF,FW",f522d7ec
Ainsley Maitland-Niles,MF,e3a5814e
Mbaye Diagne,FW,dda3969e
Karlan Grant,"FW,MF",87f7500e
Kieran Gibbs,DF,46ee5234
Branislav Ivanović,DF,85f8571a
Robert Snodgrass,"MF,FW",9f4647e9
Filip Krovinović,MF,c2dfedeb
Lee Peltier,DF,af341b88
Hal Robson-Kanu,FW,fb2dec57
Kamil Grosicki,"MF,FW",81d8091f
Kyle Edwards,"MF,FW",1566e437
David Button,GK,e608ed4c
Ahmed Hegazi,DF,5540c9dc
Charlie Austin,"FW,MF",8d228291
Sam Field,MF,bd8a7d05
Rekeem Harper,MF,3c066877
Taylor Gardner-Hickman,"DF,MF",f05ee68d
Tim Iroegbunam,MF,84c5ceea
Toby King,MF,25671a6a
Cédric Kipré,DF,9f30e7ed
Andy Lonergan,GK,165cf989
Cheikh Sidya Diaby,FW,45787ffa
Caleb Taylor,DF,4ed3f5c4
