General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Adam Ounas,ALG,"FW,MF",25,1996,11.8,56,4.74,36,11,4,3,2,0,6,0.51,3,1,0,1,1,0
Akim Zedadka,ALG,"DF,MF",27,1995,3.9,7,1.77,6,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Alan Virginius,FRA,FW,19,2003,2.9,8,2.78,4,0,0,3,1,0,1,0.35,0,0,0,1,0,0
Alexsandro Ribeiro,BRA,DF,22,1999,17.9,11,0.61,9,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Amine Messoussa,FRA,FW,17,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
André Gomes,POR,MF,29,1993,18.1,40,2.21,36,1,1,2,0,0,5,0.28,4,0,0,1,0,0
Angel Gomes,ENG,MF,21,2000,31.3,89,2.84,62,9,7,2,8,1,15,0.48,12,1,1,0,1,0
Bafodé Diakité,FRA,DF,21,2001,29.5,36,1.22,28,2,1,3,1,1,0,0.0,0,0,0,0,0,0
Benjamin André,FRA,MF,31,1990,32.4,70,2.16,62,0,0,3,3,2,6,0.19,5,0,0,0,1,0
Carlos Baleba,CMR,MF,18,2004,5.3,11,2.07,7,0,1,1,2,0,2,0.38,0,0,0,0,2,0
Edon Zhegrova,KVX,"FW,MF",23,1999,11.7,78,6.64,42,15,8,7,4,2,11,0.94,6,2,0,2,1,0
Gabriel Gudmundsson,SWE,"DF,FW",23,1999,9.3,22,2.37,16,0,3,1,2,0,1,0.11,0,0,0,0,1,0
Ismaily,BRA,DF,32,1990,19.8,42,2.13,38,0,0,2,1,1,6,0.3,4,0,0,1,1,0
Jonas Martin,FRA,MF,32,1990,3.1,6,1.94,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Jonathan Bamba,CIV,FW,26,1996,30.9,106,3.43,89,2,5,8,2,0,14,0.45,11,0,0,3,0,0
Jonathan David,CAN,FW,22,2000,35.2,116,3.3,84,0,6,13,11,2,13,0.37,9,0,0,2,2,0
José Fonte,POR,DF,38,1983,28.8,16,0.56,13,0,0,2,1,0,2,0.07,1,0,0,1,0,0
Leny Yoro,FRA,DF,16,2005,8.5,5,0.59,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Lucas Chevalier,FRA,GK,20,2001,32.0,5,0.16,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Léo Jardim,BRA,GK,27,1995,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mohamed Lamine Bayo,GUI,"FW,MF",24,1998,7.2,26,3.6,13,0,5,5,2,1,3,0.42,1,0,1,1,0,0
Rémy Cabella,FRA,"MF,FW",32,1990,28.1,181,6.45,124,37,6,6,7,1,19,0.68,15,2,0,1,1,0
Simon Ramet,FRA,DF,19,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tiago Djaló,POR,DF,22,2000,22.4,10,0.45,8,0,0,1,1,0,3,0.13,2,0,0,0,1,0
Timothy Weah,USA,"DF,FW",22,2000,19.4,44,2.26,34,0,3,5,2,0,3,0.15,2,0,0,1,0,0
Yusuf Yazıcı,TUR,MF,25,1997,2.2,11,4.95,10,1,0,0,0,0,1,0.45,1,0,0,0,0,0
