General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Adam Ounas,ALG,"FW,MF",25,1996,11.8,727,6,56,270,420,37,727,82,37,45.1,31,37.8,564,4043,2014,55,43,11,25,25,532,125
Akim Zedadka,ALG,"DF,MF",27,1995,3.9,252,10,71,115,69,7,252,8,3,37.5,4,50.0,188,958,519,6,8,1,4,3,173,18
Alan Virginius,FRA,FW,19,2003,2.9,122,1,8,30,85,23,122,7,0,0.0,6,85.7,86,636,291,12,6,8,7,6,81,32
Alexsandro Ribeiro,BRA,DF,22,1999,17.9,1449,150,643,770,44,23,1449,20,14,70.0,6,30.0,1090,5798,2890,9,5,0,11,5,1009,7
Amine Messoussa,FRA,FW,17,2004,0.0,1,0,0,0,1,0,1,0,0,,0,,1,4,0,0,0,0,1,0,1,1
André Gomes,POR,MF,29,1993,18.1,1520,37,261,1010,270,17,1520,42,29,69.0,10,23.8,1254,5944,2291,26,35,4,30,26,1172,33
Angel Gomes,ENG,MF,21,2000,31.3,2015,29,315,1185,527,49,2014,56,30,53.6,16,28.6,1705,8195,3493,39,57,10,41,26,1645,115
Bafodé Diakité,FRA,DF,21,2001,29.5,2189,84,545,1252,411,39,2189,30,19,63.3,8,26.7,1569,7572,3718,43,44,7,28,15,1460,67
Benjamin André,FRA,MF,31,1990,32.4,2743,120,626,1774,363,35,2743,36,19,52.8,14,38.9,2057,10561,4605,41,47,0,38,34,1892,46
Carlos Baleba,CMR,MF,18,2004,5.3,384,10,49,256,83,5,384,28,15,53.6,9,32.1,302,1903,1027,16,16,2,12,17,284,12
Edon Zhegrova,KVX,"FW,MF",23,1999,11.7,789,2,42,224,534,79,789,111,53,47.7,54,48.6,629,4673,2347,74,53,35,33,17,586,194
Gabriel Gudmundsson,SWE,"DF,FW",23,1999,9.3,563,26,142,247,180,24,563,32,18,56.3,9,28.1,355,2508,1298,44,25,10,13,7,323,57
Ismaily,BRA,DF,32,1990,19.8,1359,53,325,668,379,46,1359,39,17,43.6,17,43.6,901,4750,2254,40,45,9,25,29,825,116
Jonas Martin,FRA,MF,32,1990,3.1,262,6,56,178,29,3,262,1,0,0.0,1,100.0,202,986,387,4,6,0,2,4,191,4
Jonathan Bamba,CIV,FW,26,1996,30.9,1803,22,170,799,859,140,1803,99,35,35.4,54,54.5,1438,8683,3476,111,84,29,66,61,1354,345
Jonathan David,CAN,FW,22,2000,35.2,1224,23,87,529,622,214,1213,78,29,37.2,38,48.7,973,5196,1898,67,44,39,87,52,947,297
José Fonte,POR,DF,38,1983,28.8,2205,260,977,1141,95,29,2205,4,3,75.0,0,0.0,1667,8544,4564,7,18,0,8,2,1572,8
Leny Yoro,FRA,DF,16,2005,8.5,641,51,293,348,4,3,641,3,3,100.0,0,0.0,498,2516,1198,0,1,0,5,1,460,1
Lucas Chevalier,FRA,GK,20,2001,32.0,1060,832,1057,3,0,0,1060,0,0,,0,,858,4458,2988,0,0,0,1,0,638,0
Léo Jardim,BRA,GK,27,1995,6.0,159,136,159,0,0,0,159,0,0,,0,,130,557,279,0,0,0,0,0,97,0
Mohamed Lamine Bayo,GUI,"FW,MF",24,1998,7.2,191,2,7,70,117,39,191,15,10,66.7,3,20.0,140,769,271,8,7,5,21,13,150,48
Rémy Cabella,FRA,"MF,FW",32,1990,28.1,2030,16,162,922,966,136,2030,78,40,51.3,26,33.3,1549,9297,4108,113,92,22,48,35,1477,242
Simon Ramet,FRA,DF,19,2003,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Tiago Djaló,POR,DF,22,2000,22.4,1780,173,763,976,57,18,1780,14,5,35.7,6,42.9,1409,7349,3933,9,15,1,5,8,1272,4
Timothy Weah,USA,"DF,FW",22,2000,19.4,1183,24,225,571,404,38,1183,37,20,54.1,13,35.1,878,5599,2724,69,48,13,24,10,825,169
Yusuf Yazıcı,TUR,MF,25,1997,2.2,116,1,15,48,54,6,116,6,1,16.7,5,83.3,95,570,230,5,6,0,2,2,90,18
