General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Adam Ounas,ALG,"FW,MF",25,1996,11.8,20,11,4,10,6,8,13,61.5,5,16,0,16,7,27,5,0
Akim Zedadka,ALG,"DF,MF",27,1995,3.9,1,1,1,0,0,0,2,0.0,2,3,0,3,2,3,6,0
Alan Virginius,FRA,FW,19,2003,2.9,3,2,1,1,1,0,4,0.0,4,0,0,0,2,5,1,0
Alexsandro Ribeiro,BRA,DF,22,1999,17.9,32,18,24,7,1,19,28,67.9,9,11,2,9,25,57,59,1
Amine Messoussa,FRA,FW,17,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
André Gomes,POR,MF,29,1993,18.1,37,19,12,17,8,19,52,36.5,33,20,5,15,9,46,16,1
Angel Gomes,ENG,MF,21,2000,31.3,41,19,12,21,8,18,49,36.7,31,22,2,20,13,54,11,1
Bafodé Diakité,FRA,DF,21,2001,29.5,54,35,23,24,7,32,57,56.1,25,37,8,29,17,71,58,0
Benjamin André,FRA,MF,31,1990,32.4,128,74,51,60,17,65,121,53.7,56,50,8,42,47,175,60,0
Carlos Baleba,CMR,MF,18,2004,5.3,13,11,2,9,2,9,14,64.3,5,13,3,10,1,14,3,2
Edon Zhegrova,KVX,"FW,MF",23,1999,11.7,18,12,6,7,5,12,20,60.0,8,9,0,9,2,20,2,0
Gabriel Gudmundsson,SWE,"DF,FW",23,1999,9.3,19,11,7,10,2,12,22,54.5,10,11,2,9,10,29,20,0
Ismaily,BRA,DF,32,1990,19.8,41,18,16,16,9,17,32,53.1,15,25,5,20,21,62,39,0
Jonas Martin,FRA,MF,32,1990,3.1,9,7,4,5,0,5,14,35.7,9,3,1,2,7,16,3,0
Jonathan Bamba,CIV,FW,26,1996,30.9,37,17,12,14,11,14,45,31.1,31,36,1,35,22,59,14,0
Jonathan David,CAN,FW,22,2000,35.2,24,17,6,11,7,10,27,37.0,17,20,2,18,8,32,13,0
José Fonte,POR,DF,38,1983,28.8,23,17,18,4,1,10,21,47.6,11,27,14,13,25,48,112,2
Leny Yoro,FRA,DF,16,2005,8.5,11,5,8,3,0,4,9,44.4,5,6,1,5,18,29,27,1
Lucas Chevalier,FRA,GK,20,2001,32.0,2,1,2,0,0,2,2,100.0,0,1,0,1,2,4,7,2
Léo Jardim,BRA,GK,27,1995,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,1
Mohamed Lamine Bayo,GUI,"FW,MF",24,1998,7.2,3,3,0,2,1,0,12,0.0,12,3,1,2,0,3,1,0
Rémy Cabella,FRA,"MF,FW",32,1990,28.1,64,37,21,28,15,29,64,45.3,35,41,5,36,17,81,7,1
Simon Ramet,FRA,DF,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tiago Djaló,POR,DF,22,2000,22.4,31,21,23,7,1,13,20,65.0,7,17,11,6,23,54,60,1
Timothy Weah,USA,"DF,FW",22,2000,19.4,24,14,13,9,2,16,29,55.2,13,17,3,14,23,47,18,0
Yusuf Yazıcı,TUR,MF,25,1997,2.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0
