General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Adam Ounas,ALG,"FW,MF",25,1996,11.8,403,569,70.8,7134,2189,190,234,81.2,153,218,70.2,48,83,57.8,1,2.8,2.9,-1.8,26,34,32,4,66
Akim Zedadka,ALG,"DF,MF",27,1995,3.9,185,222,83.3,3038,815,79,89,88.8,85,97,87.6,10,21,47.6,0,0.5,0.8,-0.5,5,8,7,1,15
Alan Virginius,FRA,FW,19,2003,2.9,58,75,77.3,823,192,31,38,81.6,22,23,95.7,1,2,50.0,0,0.0,0.2,0.0,1,6,3,0,10
Alexsandro Ribeiro,BRA,DF,22,1999,17.9,1148,1271,90.3,20522,8054,462,490,94.3,575,618,93.0,82,120,68.3,0,0.1,0.4,-0.1,2,77,2,1,90
Amine Messoussa,FRA,FW,17,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
André Gomes,POR,MF,29,1993,18.1,1179,1334,88.4,20280,5925,546,595,91.8,487,515,94.6,110,158,69.6,2,1.2,1.6,0.8,14,145,18,1,160
Angel Gomes,ENG,MF,21,2000,31.3,1517,1767,85.9,26307,6952,683,752,90.8,616,681,90.5,159,248,64.1,6,3.1,3.4,2.9,34,159,38,2,166
Bafodé Diakité,FRA,DF,21,2001,29.5,1728,1944,88.9,27426,8364,820,892,91.9,785,859,91.4,80,118,67.8,0,0.7,1.2,-0.7,7,139,13,2,179
Benjamin André,FRA,MF,31,1990,32.4,1942,2324,83.6,35130,11527,818,937,87.3,809,916,88.3,238,335,71.0,1,1.8,2.3,-0.8,21,297,24,0,309
Carlos Baleba,CMR,MF,18,2004,5.3,249,300,83.0,4837,877,98,114,86.0,103,119,86.6,41,51,80.4,0,0.1,0.1,-0.1,2,33,2,0,33
Edon Zhegrova,KVX,"FW,MF",23,1999,11.7,464,604,76.8,6909,2273,268,315,85.1,147,188,78.2,33,61,54.1,4,4.6,5.3,-0.6,30,23,33,8,52
Gabriel Gudmundsson,SWE,"DF,FW",23,1999,9.3,369,455,81.1,6058,1643,170,200,85.0,161,188,85.6,24,46,52.2,0,0.9,1.5,-0.9,11,22,8,7,31
Ismaily,BRA,DF,32,1990,19.8,938,1153,81.4,13089,4383,570,650,87.7,317,376,84.3,23,54,42.6,1,2.3,2.2,-1.3,20,67,14,1,95
Jonas Martin,FRA,MF,32,1990,3.1,193,229,84.3,3285,864,99,117,84.6,62,73,84.9,24,30,80.0,0,0.1,0.3,-0.1,4,19,2,0,20
Jonathan Bamba,CIV,FW,26,1996,30.9,1125,1405,80.1,15835,4358,655,755,86.8,336,407,82.6,53,95,55.8,7,6.5,6.4,0.5,46,93,59,9,146
Jonathan David,CAN,FW,22,2000,35.2,716,875,81.8,9883,2246,423,495,85.5,215,255,84.3,28,30,93.3,4,6.1,5.7,-2.1,53,54,34,2,95
José Fonte,POR,DF,38,1983,28.8,1781,1979,90.0,33014,11617,687,728,94.4,875,944,92.7,181,257,70.4,0,0.4,0.9,-0.4,4,104,1,0,99
Leny Yoro,FRA,DF,16,2005,8.5,514,565,91.0,9564,2895,177,186,95.2,271,287,94.4,55,79,69.6,0,0.0,0.1,0.0,1,11,0,0,15
Lucas Chevalier,FRA,GK,20,2001,32.0,779,1010,77.1,17580,12052,223,224,99.6,401,408,98.3,146,367,39.8,0,0.6,0.2,-0.6,2,19,0,0,0
Léo Jardim,BRA,GK,27,1995,6.0,122,154,79.2,2482,1869,41,41,100.0,64,64,100.0,15,46,32.6,0,0.0,0.0,0.0,0,0,0,0,0
Mohamed Lamine Bayo,GUI,"FW,MF",24,1998,7.2,81,129,62.8,980,241,49,74,66.2,17,29,58.6,3,3,100.0,1,1.8,1.9,-0.8,12,5,1,0,5
Rémy Cabella,FRA,"MF,FW",32,1990,28.1,1397,1764,79.2,20670,6850,753,851,88.5,464,583,79.6,88,171,51.5,10,10.7,12.1,-0.7,100,153,76,12,230
Simon Ramet,FRA,DF,19,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Tiago Djaló,POR,DF,22,2000,22.4,1481,1599,92.6,25798,8970,629,666,94.4,696,724,96.1,119,152,78.3,0,0.1,0.3,-0.1,2,72,0,0,70
Timothy Weah,USA,"DF,FW",22,2000,19.4,824,1003,82.2,13165,3454,412,466,88.4,328,378,86.8,53,93,57.0,2,1.6,2.2,0.4,16,53,25,10,79
Yusuf Yazıcı,TUR,MF,25,1997,2.2,73,96,76.0,1236,449,41,47,87.2,23,31,74.2,8,15,53.3,1,0.6,0.2,0.4,8,9,6,1,17
