General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Almamy Touré,MLI,DF,26,1996,4.4,13,7,7,5,1,5,9,55.6,4,9,2,7,10,23,8,0
Ansgar Knauff,GER,DF,20,2002,14.3,36,25,22,11,3,15,34,44.1,19,19,1,18,15,51,26,0
Aurélio Buta,POR,DF,25,1997,14.6,33,19,15,13,5,15,27,55.6,12,18,1,17,9,42,34,0
Christopher Lenz,GER,DF,27,1994,14.3,29,21,17,7,5,16,37,43.2,21,16,3,13,21,50,34,0
Daichi Kamada,JPN,MF,25,1996,25.2,51,31,10,37,4,31,57,54.4,26,31,2,29,16,67,17,1
Dario Gebuhr,GER,DF,19,2003,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Diant Ramaj,GER,GK,20,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Djibril Sow,SUI,MF,25,1997,29.4,41,25,13,25,3,22,44,50.0,22,22,4,18,28,69,23,0
Faride Alidou,GER,"DF,MF",21,2001,2.0,8,5,3,4,1,3,9,33.3,6,3,0,3,1,9,3,0
Filip Kostić,SRB,"DF,MF",29,1992,0.8,2,0,1,1,0,0,0,,0,0,0,0,1,3,0,0
Hrvoje Smolčić,CRO,DF,21,2000,5.2,8,7,6,2,0,5,10,50.0,5,11,4,7,6,14,38,0
Jesper Lindstrøm,DEN,"MF,FW",22,2000,18.7,26,11,15,7,4,7,22,31.8,15,25,3,22,9,35,9,0
Junior Dina Ebimbe,FRA,"DF,MF",21,2000,11.8,30,19,16,14,0,16,33,48.5,17,18,5,13,11,41,20,0
Kevin Trapp,GER,GK,32,1990,33.0,1,1,1,0,0,0,2,0.0,2,2,0,2,0,1,10,0
Kristijan Jakić,CRO,"DF,MF",25,1997,16.2,33,21,19,12,2,22,41,53.7,19,32,10,22,14,47,49,1
Luca Pellegrini,ITA,DF,23,1999,6.2,13,8,10,3,0,8,8,100.0,0,8,2,6,7,20,11,1
Lucas Alario,ARG,"FW,MF",29,1992,3.7,3,2,1,0,2,0,1,0.0,1,0,0,0,2,5,13,0
Makoto Hasebe,JPN,DF,38,1984,14.5,18,12,16,2,0,7,22,31.8,15,22,9,13,17,35,45,0
Marcel Wenig,GER,MF,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mario Götze,GER,MF,30,1992,30.4,42,25,13,22,7,14,47,29.8,33,25,0,25,13,55,12,0
Obite N'Dicka,CIV,DF,22,1999,29.9,25,18,10,11,4,18,32,56.3,14,47,19,28,31,56,150,0
Paxten Aaronson,USA,"MF,DF",18,2003,1.9,6,5,2,2,2,2,3,66.7,1,2,1,1,0,6,2,0
Philipp Max,GER,DF,28,1993,7.7,12,9,4,7,1,5,16,31.3,11,10,2,8,3,15,11,0
Rafael Borré,COL,"MF,FW",26,1995,12.0,25,15,4,13,8,4,17,23.5,13,10,2,8,2,27,9,0
Randal Kolo Muani,FRA,FW,23,1998,29.2,14,10,3,3,8,1,9,11.1,8,19,2,17,3,17,13,0
Sebastian Rode,GER,MF,31,1990,15.7,38,24,7,28,3,14,45,31.1,31,18,2,16,16,54,12,0
Timothy Chandler,USA,DF,32,1990,1.0,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,3,0
Tuta,BRA,DF,23,1999,30.2,53,35,27,19,7,33,57,57.9,24,47,14,33,49,102,134,2
