General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Almamy Touré,MLI,DF,26,1996,4.4,286,14,114,146,26,5,286,8,6,75.0,2,25.0,152,584,269,2,2,2,4,0,178,8
Ansgar Knauff,GER,DF,20,2002,14.3,879,31,263,373,265,43,879,63,22,34.9,33,52.4,410,2879,1677,47,26,15,31,9,433,74
Aurélio Buta,POR,DF,25,1997,14.6,928,39,190,395,352,47,928,30,10,33.3,12,40.0,423,2523,1097,45,19,17,23,9,506,118
Christopher Lenz,GER,DF,27,1994,14.3,966,51,249,439,288,19,966,14,11,78.6,2,14.3,465,2346,1297,30,24,3,11,5,517,67
Daichi Kamada,JPN,MF,25,1996,25.2,1503,24,206,898,410,69,1500,36,15,41.7,19,52.8,871,4152,1923,47,37,13,32,24,1041,105
Dario Gebuhr,GER,DF,19,2003,0.2,13,0,5,6,2,0,13,0,0,,0,,6,31,15,0,0,0,0,0,11,0
Diant Ramaj,GER,GK,20,2001,1.0,28,27,28,0,0,0,28,0,0,,0,,18,95,66,0,0,0,0,0,8,0
Djibril Sow,SUI,MF,25,1997,29.4,1810,50,361,1190,276,25,1810,21,11,52.4,6,28.6,1100,5055,2447,35,36,4,24,16,1234,29
Faride Alidou,GER,"DF,MF",21,2001,2.0,139,3,23,65,52,5,139,10,2,20.0,8,80.0,63,413,223,8,4,4,5,5,71,24
Filip Kostić,SRB,"DF,MF",29,1992,0.8,45,0,10,16,20,3,45,3,1,33.3,1,33.3,23,172,105,3,1,1,0,1,23,3
Hrvoje Smolčić,CRO,DF,21,2000,5.2,432,72,234,188,12,4,432,2,2,100.0,0,0.0,231,1099,609,0,3,0,3,1,254,1
Jesper Lindstrøm,DEN,"MF,FW",22,2000,18.7,791,12,106,316,383,94,791,86,28,32.6,52,60.5,440,2951,1473,65,41,40,65,34,507,136
Junior Dina Ebimbe,FRA,"DF,MF",21,2000,11.8,689,33,175,353,175,38,689,44,17,38.6,22,50.0,344,2173,1122,38,22,8,27,15,398,42
Kevin Trapp,GER,GK,32,1990,33.0,957,854,951,6,0,0,957,0,0,,0,,493,2258,1322,0,0,0,0,0,417,0
Kristijan Jakić,CRO,"DF,MF",25,1997,16.2,1129,89,469,550,121,14,1129,15,8,53.3,7,46.7,578,2250,1054,16,13,2,13,6,651,19
Luca Pellegrini,ITA,DF,23,1999,6.2,514,11,127,224,170,10,514,26,11,42.3,12,46.2,240,1188,674,19,17,2,7,5,267,28
Lucas Alario,ARG,"FW,MF",29,1992,3.7,131,13,22,51,61,24,131,8,5,62.5,3,37.5,53,234,116,2,6,1,4,8,91,17
Makoto Hasebe,JPN,DF,38,1984,14.5,1131,139,542,569,24,0,1131,0,0,,0,,713,3744,2109,9,7,1,3,1,744,2
Marcel Wenig,GER,MF,18,2004,0.0,13,0,2,8,3,1,13,0,0,,0,,7,27,2,0,0,1,1,0,11,0
Mario Götze,GER,MF,30,1992,30.4,1820,19,214,920,704,78,1820,75,25,33.3,45,60.0,1043,4368,1987,57,49,15,56,46,1325,212
Obite N'Dicka,CIV,DF,22,1999,29.9,2159,234,1078,1003,90,25,2159,10,6,60.0,3,30.0,1265,5821,3115,16,14,2,18,5,1394,5
Paxten Aaronson,USA,"MF,DF",18,2003,1.9,99,2,6,41,53,17,99,6,3,50.0,3,50.0,55,314,143,8,2,2,5,2,65,15
Philipp Max,GER,DF,28,1993,7.7,541,20,107,230,206,16,541,7,3,42.9,3,42.9,275,1159,546,14,7,0,8,3,329,52
Rafael Borré,COL,"MF,FW",26,1995,12.0,571,12,55,260,260,67,570,32,16,50.0,14,43.8,349,1694,634,26,13,15,44,14,428,102
Randal Kolo Muani,FRA,FW,23,1998,29.2,1057,17,53,427,597,196,1055,161,71,44.1,68,42.2,632,4510,2287,97,54,66,108,65,824,240
Sebastian Rode,GER,MF,31,1990,15.7,997,29,164,661,178,21,997,14,7,50.0,4,28.6,529,2380,1321,23,16,3,12,6,688,39
Timothy Chandler,USA,DF,32,1990,1.0,71,2,14,32,25,2,71,4,1,25.0,3,75.0,28,99,59,2,0,1,2,0,37,6
Tuta,BRA,DF,23,1999,30.2,2246,237,1047,1111,114,27,2246,20,11,55.0,9,45.0,1332,6758,3475,23,18,2,27,13,1380,17
