General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Aleix Garrido,ESP,FW,18,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Alejandro Balde,ESP,DF,18,2003,27.5,1,19,4,21.1,0.69,0.15,0.05,0.25,17.9,0,0,0,1.9,1.9,0.1,-0.9,-0.9
Andreas Christensen,DEN,DF,26,1996,19.6,1,10,5,50.0,0.51,0.26,0.1,0.2,12.2,0,0,0,1.0,1.0,0.1,0.0,0.0
Ansu Fati,ESP,FW,19,2002,15.5,7,61,18,29.5,3.94,1.16,0.11,0.39,15.0,3,0,0,9.1,9.1,0.16,-2.1,-2.1
Chadi Riad,MAR,MF,19,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Eric García,ESP,"DF,MF",21,2001,15.7,1,7,1,14.3,0.44,0.06,0.14,1.0,12.9,0,0,0,1.6,1.6,0.22,-0.6,-0.6
Ferrán Torres,ESP,"FW,MF",22,2000,15.5,4,37,11,29.7,2.39,0.71,0.11,0.36,15.6,1,0,1,4.9,4.1,0.11,-0.9,-0.1
Franck Kessié,CIV,MF,25,1996,11.0,1,15,3,20.0,1.36,0.27,0.07,0.33,15.9,0,0,0,1.8,1.8,0.12,-0.8,-0.8
Frenkie de Jong,NED,MF,25,1997,28.2,2,18,10,55.6,0.64,0.36,0.11,0.2,17.8,0,0,0,2.4,2.4,0.13,-0.4,-0.4
Gavi,ESP,"MF,FW",17,2004,28.1,2,28,8,28.6,1.0,0.28,0.07,0.25,16.6,0,0,0,3.2,3.2,0.11,-1.2,-1.2
Gerard Piqué,ESP,DF,35,1987,4.3,0,3,0,0.0,0.7,0.0,0.0,,8.9,0,0,0,0.4,0.4,0.13,-0.4,-0.4
Héctor Bellerín,ESP,DF,27,1995,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Iñaki Peña,ESP,GK,23,1999,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jordi Alba,ESP,DF,33,1989,15.8,2,13,4,30.8,0.82,0.25,0.15,0.5,23.3,0,0,0,0.8,0.8,0.06,1.2,1.2
Jules Koundé,FRA,DF,23,1998,27.0,1,14,1,7.1,0.52,0.04,0.07,1.0,14.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1
Lamine Yamal,ESP,FW,15,2007,0.1,0,1,1,100.0,11.25,11.25,0.0,0.0,10.9,0,0,0,0.4,0.4,0.35,-0.4,-0.4
Marc-André ter Stegen,GER,GK,30,1992,37.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Marcos Alonso,ESP,DF,31,1990,13.0,1,6,2,33.3,0.46,0.15,0.17,0.5,12.0,0,0,0,0.9,0.9,0.15,0.1,0.1
Memphis,NED,FW,28,1994,1.3,1,6,3,50.0,4.74,2.37,0.17,0.33,11.6,0,0,0,0.9,0.9,0.14,0.1,0.1
Ousmane Dembélé,FRA,FW,25,1997,15.7,5,49,16,32.7,3.13,1.02,0.1,0.31,16.7,0,0,0,3.9,3.9,0.08,1.1,1.1
Pablo Torre,ESP,"FW,MF",19,2003,1.6,0,1,0,0.0,0.62,0.0,0.0,,25.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Pedri,ESP,MF,19,2002,22.0,6,22,9,40.9,1.0,0.41,0.27,0.67,15.9,0,0,0,4.9,4.9,0.22,1.1,1.1
Pierre-Emerick Aubameyang,GAB,FW,33,1989,0.1,0,1,0,0.0,10.0,0.0,0.0,,12.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1
Raphinha,BRA,FW,25,1996,23.0,7,79,25,31.6,3.43,1.09,0.09,0.28,18.5,11,0,0,9.3,9.3,0.12,-2.3,-2.3
Robert Lewandowski,POL,FW,33,1988,31.6,23,134,56,41.8,4.24,1.77,0.17,0.41,13.8,5,0,1,24.3,23.5,0.18,-1.3,-0.5
Ronald Araújo,URU,DF,23,1999,20.0,0,18,1,5.6,0.9,0.05,0.0,0.0,13.1,0,0,0,2.1,2.1,0.12,-2.1,-2.1
Sergi Roberto,ESP,"DF,MF",30,1992,14.5,4,18,6,33.3,1.24,0.41,0.22,0.67,15.6,0,0,0,2.4,2.4,0.13,1.6,1.6
Sergio Busquets,ESP,MF,34,1988,26.0,0,9,2,22.2,0.35,0.08,0.0,0.0,23.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Ángel Alarcón,ESP,FW,18,2004,0.3,0,1,1,100.0,3.6,3.6,0.0,0.0,,,0,0,,,,,
