NED-Eredivisie
2223
Volendam
Achraf Douiri
NED
"DF,FW"
22
1999
9
5
382
4.2
0
0
0
0
0
0
2
0
0.1
0.1
0.0
0.2
7
9
6
0.0
0.0
0.0
0.0
0.0
0.03
0.01
0.04
0.03
0.04
