General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Andrej Kramarić,CRO,"MF,FW",31,1991,32,2386,75,78.0,26.5,26,83,15,6,39,1,1.03,39,45,-6,-0.23,0.17,36.5,39.3,-2.8,-0.11,-0.07
Angeliño,ESP,DF,25,1997,33,2617,79,85.5,29.1,30,86,23,3,13,0,1.09,38,51,-13,-0.45,-1.26,39.9,45.6,-5.7,-0.2,-0.73
Angelo Stiller,GER,MF,21,2001,20,704,35,23.0,7.8,6,81,2,14,16,6,1.24,14,14,0,0.0,0.34,10.8,11.1,-0.4,-0.05,0.05
Christoph Baumgartner,AUT,"MF,FW",22,1999,33,2567,78,83.9,28.5,33,78,14,0,,0,1.09,40,49,-9,-0.32,-0.32,42.0,42.8,-0.8,-0.03,0.38
Dennis Geiger,GER,MF,24,1998,27,1952,72,63.8,21.7,27,72,6,0,,1,1.26,31,36,-5,-0.23,0.09,30.7,33.4,-2.7,-0.12,-0.09
Diadie Samassékou,MLI,"MF,FW",26,1996,2,34,17,1.1,0.4,1,23,0,1,11,4,1.5,0,0,0,0.0,0.27,0.6,0.1,0.5,1.43,1.54
Eduardo Quaresma,POR,DF,20,2002,4,88,22,2.9,1.0,1,45,0,3,14,7,1.0,1,3,-2,-2.05,-1.83,1.7,1.3,0.4,0.37,0.47
Ermin Bičakčić,BIH,DF,32,1990,9,265,29,8.7,2.9,0,,0,9,29,10,1.11,5,11,-6,-2.04,-1.94,4.1,8.6,-4.6,-1.55,-1.6
Finn Ole Becker,GER,MF,22,2000,13,513,39,16.8,5.7,6,68,1,7,15,12,1.54,12,8,4,0.7,1.16,8.7,9.4,-0.7,-0.12,-0.04
Fisnik Asllani,KVX,FW,19,2002,8,167,21,5.5,1.9,0,,0,8,21,2,0.38,1,3,-2,-1.08,-0.86,3.2,2.7,0.5,0.25,0.37
Georginio Rutter,FRA,FW,20,2002,15,1009,67,33.0,11.2,11,83,4,4,25,0,1.2,17,15,2,0.18,0.66,16.4,16.1,0.3,0.03,0.18
Grischa Prömel,GER,MF,27,1995,18,1454,81,47.5,16.2,17,84,12,1,30,0,1.39,26,20,6,0.37,1.21,26.3,23.8,2.5,0.15,0.47
Ihlas Bebou,TOG,"FW,DF",28,1994,19,1416,75,46.3,15.7,17,79,6,2,39,0,0.95,21,25,-4,-0.25,0.02,19.5,24.9,-5.4,-0.34,-0.47
Jacob Bruun Larsen,DEN,FW,23,1998,12,328,27,10.7,3.6,3,67,0,9,14,5,1.25,5,8,-3,-0.82,-0.63,5.8,6.4,-0.6,-0.16,-0.08
John Brooks,USA,DF,29,1993,15,1350,90,44.1,15.0,15,90,15,0,,2,1.13,23,28,-5,-0.33,-0.12,19.4,23.2,-3.8,-0.25,-0.29
Joshua Quarshie,GER,MF,18,2004,1,1,1,0.0,0.0,0,,0,1,1,1,0.0,0,0,0,0.0,0.26,0.1,0.0,0.1,7.88,7.98
Justin Che,USA,DF,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Kasper Dolberg,DEN,"FW,MF",24,1997,13,402,31,13.1,4.5,4,60,1,9,18,2,0.38,6,15,-9,-2.01,-2.01,5.1,8.8,-3.7,-0.84,-0.86
Kevin Akpoguma,NGA,DF,27,1995,28,1950,70,63.7,21.7,21,81,14,7,35,3,1.04,22,29,-7,-0.32,-0.16,26.8,30.6,-3.8,-0.17,-0.23
Kevin Vogt,GER,DF,30,1991,22,1775,81,58.0,19.7,22,81,16,0,,0,1.27,29,27,2,0.1,0.87,30.1,26.4,3.8,0.19,0.67
Luca Philipp,GER,GK,21,2000,0,,,,,0,,0,0,,27,,,,,,,,,,,
Moanes Dabbur,ISR,FW,30,1992,21,933,44,30.5,10.4,8,73,2,13,27,6,1.29,20,16,4,0.39,0.94,18.0,12.2,5.8,0.56,0.94
Muhammed Damar,GER,MF,18,2004,6,159,27,5.2,1.8,1,45,0,5,23,9,0.33,2,5,-3,-1.7,-1.51,2.9,2.4,0.5,0.28,0.39
Nahuel Noll,GER,GK,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Oliver Baumann,GER,GK,32,1990,34,3060,90,100.0,34.0,34,90,34,0,,0,1.06,48,57,-9,-0.26,,48.0,51.1,-3.1,-0.09,
Ozan Kabak,TUR,DF,22,2000,30,2388,80,78.0,26.5,28,83,21,2,31,1,1.07,34,41,-7,-0.26,0.0,36.9,39.2,-2.3,-0.09,0.02
Pavel Kadeřábek,CZE,DF,30,1992,26,1665,64,54.4,18.5,17,82,12,9,30,2,0.96,22,26,-4,-0.22,0.11,25.2,22.0,3.1,0.17,0.57
Philipp Pentke,GER,GK,37,1985,0,,,,,0,,0,0,,5,,,,,,,,,,,
Robert Skov,DEN,DF,26,1996,23,1349,59,44.1,15.0,16,72,4,7,28,2,0.96,26,22,4,0.27,0.95,22.8,22.0,0.8,0.05,0.26
Sebastian Rudy,GER,MF,32,1990,22,794,36,25.9,8.8,6,68,1,16,24,9,1.18,13,13,0,0.0,0.36,12.5,11.5,1.0,0.11,0.28
Stanley N'Soki,FRA,DF,23,1999,19,1286,68,42.0,14.3,14,78,9,5,39,4,1.05,25,32,-7,-0.49,-0.39,22.3,24.3,-2.0,-0.14,-0.08
Stefan Posch,AUT,DF,25,1997,1,18,18,0.6,0.2,1,18,0,0,,2,0.0,0,0,0,0.0,0.27,0.0,0.0,0.0,0.08,0.17
Thomas Delaney,DEN,MF,30,1991,6,298,50,9.7,3.3,4,69,1,2,11,4,1.0,2,11,-9,-2.72,-2.72,2.2,6.3,-4.1,-1.23,-1.26
Tom Bischof,GER,"MF,FW",17,2005,11,315,29,10.3,3.5,3,62,0,8,16,10,0.45,6,7,-1,-0.29,-0.02,5.2,6.2,-1.1,-0.3,-0.24
Umut Tohumcu,GER,"MF,DF",17,2004,8,271,34,8.9,3.0,2,77,1,6,20,7,0.88,3,6,-3,-1.0,-0.8,4.2,6.2,-2.0,-0.68,-0.64
