General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Andrej Kramarić,CRO,"MF,FW",31,1991,26.5,5,2,2,1,2,1,11,9.1,10,14,2,12,6,11,13,0
Angeliño,ESP,DF,25,1997,29.1,40,24,19,18,3,23,37,62.2,14,32,6,26,25,65,67,0
Angelo Stiller,GER,MF,21,2001,7.8,26,12,9,13,4,8,12,66.7,4,12,2,10,10,36,14,0
Christoph Baumgartner,AUT,"MF,FW",22,1999,28.5,36,19,12,17,7,9,52,17.3,43,57,5,52,15,51,19,1
Dennis Geiger,GER,MF,24,1998,21.7,45,25,15,28,2,22,35,62.9,13,27,3,24,24,69,18,2
Diadie Samassékou,MLI,"MF,FW",26,1996,0.4,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
Eduardo Quaresma,POR,DF,20,2002,1.0,5,3,3,2,0,1,3,33.3,2,3,2,1,0,5,3,0
Ermin Bičakčić,BIH,DF,32,1990,2.9,8,4,6,1,1,2,6,33.3,4,4,3,1,5,13,14,0
Finn Ole Becker,GER,MF,22,2000,5.7,10,2,4,6,0,4,7,57.1,3,4,0,4,5,15,8,0
Fisnik Asllani,KVX,FW,19,2002,1.9,0,0,0,0,0,0,4,0.0,4,2,0,2,3,3,3,0
Georginio Rutter,FRA,FW,20,2002,11.2,7,4,1,4,2,1,3,33.3,2,10,2,8,5,12,6,0
Grischa Prömel,GER,MF,27,1995,16.2,27,19,14,11,2,9,25,36.0,16,22,4,18,8,35,23,0
Ihlas Bebou,TOG,"FW,DF",28,1994,15.7,19,16,8,7,4,11,17,64.7,6,9,2,7,7,26,15,0
Jacob Bruun Larsen,DEN,FW,23,1998,3.6,4,3,0,1,3,3,4,75.0,1,3,1,2,1,5,0,0
John Brooks,USA,DF,29,1993,15.0,18,12,10,8,0,13,18,72.2,5,17,12,5,10,28,105,0
Joshua Quarshie,GER,MF,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kasper Dolberg,DEN,"FW,MF",24,1997,4.5,7,5,1,4,2,4,6,66.7,2,6,2,4,0,7,5,0
Kevin Akpoguma,NGA,DF,27,1995,21.7,75,44,45,27,3,32,45,71.1,13,45,16,29,24,99,70,1
Kevin Vogt,GER,DF,30,1991,19.7,15,10,10,5,0,9,22,40.9,13,18,11,7,26,41,67,0
Moanes Dabbur,ISR,FW,30,1992,10.4,11,8,4,5,2,3,9,33.3,6,8,0,8,5,16,0,0
Muhammed Damar,GER,MF,18,2004,1.8,6,3,1,2,3,1,2,50.0,1,3,0,3,0,6,0,0
Oliver Baumann,GER,GK,32,1990,34.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,15,1
Ozan Kabak,TUR,DF,22,2000,26.5,51,34,27,21,3,17,30,56.7,13,35,23,12,45,96,83,0
Pavel Kadeřábek,CZE,DF,30,1992,18.5,26,20,10,9,7,15,23,65.2,8,12,2,10,14,40,37,1
Robert Skov,DEN,DF,26,1996,15.0,22,11,14,7,1,10,26,38.5,16,22,8,14,8,30,20,2
Sebastian Rudy,GER,MF,32,1990,8.8,26,12,10,16,0,13,27,48.1,14,27,7,20,11,37,13,0
Stanley N'Soki,FRA,DF,23,1999,14.3,22,13,14,7,1,12,22,54.5,10,22,5,17,24,46,34,0
Stefan Posch,AUT,DF,25,1997,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Thomas Delaney,DEN,MF,30,1991,3.3,6,3,3,2,1,3,8,37.5,5,5,0,5,1,7,4,0
Tom Bischof,GER,"MF,FW",17,2005,3.5,15,10,8,3,4,7,10,70.0,3,5,1,4,1,16,1,0
Umut Tohumcu,GER,"MF,DF",17,2004,3.0,10,5,4,5,1,3,9,33.3,6,4,0,4,2,12,8,0
