General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Andrej Kramarić,CRO,"MF,FW",31,1991,26.5,12,57,21,36.8,2.15,0.79,0.14,0.38,18.0,4,4,6,13.2,8.5,0.15,-1.2,-0.5
Angeliño,ESP,DF,25,1997,29.1,0,21,4,19.0,0.72,0.14,0.0,0.0,20.5,4,0,0,1.1,1.1,0.05,-1.1,-1.1
Angelo Stiller,GER,MF,21,2001,7.8,1,7,3,42.9,0.89,0.38,0.14,0.33,22.1,0,0,0,0.3,0.3,0.04,0.7,0.7
Christoph Baumgartner,AUT,"MF,FW",22,1999,28.5,7,66,19,28.8,2.31,0.67,0.11,0.37,15.7,0,0,0,7.1,7.1,0.11,-0.1,-0.1
Dennis Geiger,GER,MF,24,1998,21.7,1,5,3,60.0,0.23,0.14,0.2,0.33,24.7,0,0,0,0.2,0.2,0.03,0.8,0.8
Diadie Samassékou,MLI,"MF,FW",26,1996,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Eduardo Quaresma,POR,DF,20,2002,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ermin Bičakčić,BIH,DF,32,1990,2.9,0,2,1,50.0,0.68,0.34,0.0,0.0,11.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Finn Ole Becker,GER,MF,22,2000,5.7,0,6,2,33.3,1.05,0.35,0.0,0.0,24.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Fisnik Asllani,KVX,FW,19,2002,1.9,0,9,0,0.0,4.85,0.0,0.0,,11.1,0,0,0,1.7,1.7,0.19,-1.7,-1.7
Georginio Rutter,FRA,FW,20,2002,11.2,2,27,14,51.9,2.41,1.25,0.07,0.14,15.7,0,0,0,3.0,3.0,0.11,-1.0,-1.0
Grischa Prömel,GER,MF,27,1995,16.2,1,24,5,20.8,1.49,0.31,0.04,0.2,16.2,0,0,0,2.5,2.5,0.11,-1.5,-1.5
Ihlas Bebou,TOG,"FW,DF",28,1994,15.7,7,28,13,46.4,1.78,0.83,0.21,0.46,15.0,0,1,1,4.6,3.8,0.14,2.4,2.2
Jacob Bruun Larsen,DEN,FW,23,1998,3.6,1,7,2,28.6,1.92,0.55,0.14,0.5,14.9,0,0,0,1.3,1.3,0.19,-0.3,-0.3
John Brooks,USA,DF,29,1993,15.0,0,7,0,0.0,0.47,0.0,0.0,,11.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Joshua Quarshie,GER,MF,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Kasper Dolberg,DEN,"FW,MF",24,1997,4.5,1,7,3,42.9,1.57,0.67,0.14,0.33,16.7,0,0,0,0.5,0.5,0.07,0.5,0.5
Kevin Akpoguma,NGA,DF,27,1995,21.7,0,8,1,12.5,0.37,0.05,0.0,0.0,19.3,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Kevin Vogt,GER,DF,30,1991,19.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Moanes Dabbur,ISR,FW,30,1992,10.4,6,22,14,63.6,2.12,1.35,0.27,0.43,15.0,0,0,0,3.5,3.5,0.16,2.5,2.5
Muhammed Damar,GER,MF,18,2004,1.8,0,1,0,0.0,0.57,0.0,0.0,,10.4,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Oliver Baumann,GER,GK,32,1990,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ozan Kabak,TUR,DF,22,2000,26.5,2,24,6,25.0,0.9,0.23,0.08,0.33,13.8,0,0,0,1.3,1.3,0.05,0.7,0.7
Pavel Kadeřábek,CZE,DF,30,1992,18.5,1,8,1,12.5,0.43,0.05,0.13,1.0,10.5,0,0,0,1.3,1.3,0.17,-0.3,-0.3
Robert Skov,DEN,DF,26,1996,15.0,3,39,12,30.8,2.6,0.8,0.03,0.08,22.5,8,2,2,3.4,1.8,0.05,-0.4,-0.8
Sebastian Rudy,GER,MF,32,1990,8.8,0,5,2,40.0,0.57,0.23,0.0,0.0,29.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Stanley N'Soki,FRA,DF,23,1999,14.3,1,6,2,33.3,0.42,0.14,0.17,0.5,17.2,0,0,0,0.5,0.5,0.09,0.5,0.5
Stefan Posch,AUT,DF,25,1997,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Thomas Delaney,DEN,MF,30,1991,3.3,0,1,0,0.0,0.3,0.0,0.0,,20.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Tom Bischof,GER,"MF,FW",17,2005,3.5,0,7,2,28.6,2.0,0.57,0.0,0.0,22.4,0,0,0,1.0,1.0,0.14,-1.0,-1.0
Umut Tohumcu,GER,"MF,DF",17,2004,3.0,0,4,0,0.0,1.33,0.0,0.0,,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
