General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Adam Hložek,CZE,"FW,MF",20,2002,14.3,9,4,4,3,2,3,9,33.3,6,9,2,7,6,15,9,0
Amine Adli,MAR,"FW,MF",22,2000,15.9,18,10,4,6,8,5,17,29.4,12,28,2,26,6,24,7,0
Andrey Lunyov,RUS,GK,30,1991,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ayman Azhil,MAR,MF,21,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Callum Hudson-Odoi,ENG,"FW,MF",21,2000,6.7,5,3,4,0,1,1,1,100.0,0,0,0,0,2,7,4,0
Charles Aránguiz,CHI,MF,33,1989,5.5,17,7,7,10,0,12,20,60.0,8,4,0,4,7,24,4,0
Daley Sinkgraven,NED,"DF,MF",27,1995,3.8,10,7,7,3,0,7,9,77.8,2,8,4,4,5,15,7,0
Edmond Tapsoba,BFA,DF,23,1999,31.9,51,30,35,12,4,30,42,71.4,12,40,17,23,36,87,109,1
Exequiel Palacios,ARG,MF,23,1998,18.4,59,36,20,33,6,29,48,60.4,19,29,2,27,33,92,28,0
Florian Wirtz,GER,"FW,MF",19,2003,12.1,18,10,9,7,2,8,16,50.0,8,15,1,14,1,19,6,0
Jeremie Frimpong,NED,"DF,MF",21,2000,30.1,53,27,22,26,5,23,44,52.3,21,24,3,21,16,69,40,0
Joel Pohjanpalo,FIN,"FW,MF",27,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jonathan Tah,GER,DF,26,1996,27.6,25,12,21,4,0,12,18,66.7,6,30,18,12,40,65,118,0
Karim Bellarabi,GER,"FW,MF",32,1990,0.9,2,0,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0
Kerem Demirbay,GER,MF,29,1993,17.2,36,18,16,17,3,18,34,52.9,16,26,6,20,16,52,11,0
Lukáš Hrádecký,FIN,GK,32,1989,33.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3
Mitchel Bakker,NED,"DF,MF",22,2000,18.4,16,8,9,7,0,6,15,40.0,9,20,2,18,15,31,20,2
Moussa Diaby,FRA,"FW,MF",23,1999,30.0,14,8,4,8,2,7,14,50.0,7,8,0,8,5,19,3,0
Nadiem Amiri,GER,"MF,FW",25,1996,10.9,15,6,5,8,2,9,20,45.0,11,12,1,11,6,21,10,2
Noah Mbamba,BEL,MF,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Odilon Kossonou,CIV,DF,21,2001,16.9,21,14,12,7,2,8,16,50.0,8,26,11,15,24,45,58,1
Patrik Schick,CZE,FW,26,1996,10.5,0,0,0,0,0,0,1,0.0,1,4,1,3,1,1,7,0
Paulinho,BRA,FW,22,2000,0.9,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
Piero Hincapié,ECU,"DF,MF",20,2002,27.3,51,34,28,20,3,25,38,65.8,13,41,20,21,31,82,83,1
Robert Andrich,GER,MF,27,1994,26.7,61,38,30,27,4,26,45,57.8,19,27,9,18,42,103,55,2
Sardar Azmoun,IRN,"FW,MF",27,1995,10.3,6,3,1,4,1,1,7,14.3,6,4,0,4,2,8,14,0
Timothy Fosu-Mensah,NED,DF,24,1998,2.1,7,5,3,3,1,4,4,100.0,0,2,0,2,0,7,1,0
