General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Aleksandr Golovin,RUS,"MF,FW",26,1996,27.4,8,49,25,51.0,1.79,0.91,0.16,0.32,19.0,2,0,0,5.3,5.3,0.11,2.7,2.7
Alexander Nübel,GER,GK,25,1996,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Axel Disasi,FRA,DF,24,1998,37.0,3,28,9,32.1,0.76,0.24,0.11,0.33,15.4,0,0,1,3.8,3.0,0.11,-0.8,0.0
Benoît Badiashile,FRA,DF,21,2001,9.3,2,5,3,60.0,0.54,0.32,0.4,0.67,16.0,0,0,0,0.6,0.6,0.13,1.4,1.4
Breel Embolo,SUI,FW,25,1997,20.7,12,40,20,50.0,1.94,0.97,0.3,0.6,10.9,0,0,1,8.5,7.6,0.19,3.5,4.4
Caio Henrique Oliveira Silva,BRA,DF,25,1997,32.2,1,10,6,60.0,0.31,0.19,0.1,0.17,21.1,2,0,0,0.7,0.7,0.07,0.3,0.3
Chrislain Matsima,FRA,DF,20,2002,5.0,0,3,2,66.7,0.61,0.4,0.0,0.0,8.0,0,0,0,0.7,0.7,0.22,-0.7,-0.7
Edan Diop,FRA,"DF,FW",17,2004,2.5,1,6,2,33.3,2.42,0.81,0.17,0.5,15.6,0,0,0,1.2,1.2,0.2,-0.2,-0.2
Eliesse Ben Seghir,MAR,"FW,MF",17,2005,11.7,4,21,8,38.1,1.8,0.68,0.19,0.5,18.6,0,0,0,1.9,1.9,0.09,2.1,2.1
Eliot Matazo,BEL,MF,20,2002,13.1,1,4,3,75.0,0.31,0.23,0.25,0.33,22.9,0,0,0,0.2,0.2,0.05,0.8,0.8
Gelson Martins,POR,"MF,FW",27,1995,3.8,0,12,3,25.0,3.13,0.78,0.0,0.0,15.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8
Guillermo Maripán,CHI,DF,28,1994,24.0,3,16,6,37.5,0.67,0.25,0.19,0.5,10.7,0,0,0,1.6,1.6,0.1,1.4,1.4
Ismail Jakobs,SEN,"DF,FW",22,1999,12.4,0,14,6,42.9,1.13,0.48,0.0,0.0,15.2,1,0,0,1.0,1.0,0.07,-1.0,-1.0
Jean Lucas,BRA,MF,24,1998,3.2,0,5,3,60.0,1.55,0.93,0.0,0.0,18.3,0,0,0,0.6,0.6,0.12,-0.6,-0.6
Kevin Volland,GER,"FW,MF",30,1992,7.1,3,15,7,46.7,2.11,0.99,0.2,0.43,15.6,0,0,0,1.7,1.7,0.12,1.3,1.3
Krépin Diatta,SEN,"MF,FW",23,1999,23.0,4,40,18,45.0,1.74,0.78,0.1,0.22,15.2,0,0,0,4.6,4.6,0.12,-0.6,-0.6
Maghnes Akliouche,FRA,"MF,FW",20,2002,4.5,0,5,2,40.0,1.12,0.45,0.0,0.0,14.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5
Malang Sarr,FRA,DF,23,1999,8.0,0,1,0,0.0,0.13,0.0,0.0,,12.5,0,0,0,0.0,0.0,0.02,0.0,0.0
Mohamed Camara,MLI,MF,22,2000,24.4,0,27,6,22.2,1.11,0.25,0.0,0.0,28.4,0,0,0,1.0,1.0,0.04,-1.0,-1.0
Myron Boadu,NED,FW,21,2001,3.3,3,7,5,71.4,2.14,1.53,0.43,0.6,11.5,0,0,0,2.6,2.6,0.37,0.4,0.4
Ruben Aguilar,FRA,DF,29,1993,13.0,0,4,2,50.0,0.31,0.15,0.0,0.0,17.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Sofiane Diop,FRA,MF,22,2000,0.7,1,2,1,50.0,2.77,1.38,0.5,1.0,10.5,0,0,0,1.0,1.0,0.5,0.0,0.0
Soungoutou Magassa,FRA,MF,18,2003,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Takumi Minamino,JPN,"MF,FW",27,1995,8.0,1,22,8,36.4,2.73,0.99,0.05,0.13,16.4,1,0,0,1.9,1.9,0.08,-0.9,-0.9
Vanderson,BRA,"DF,MF",21,2001,24.6,1,26,8,30.8,1.06,0.33,0.04,0.13,19.5,0,0,0,2.4,2.4,0.09,-1.4,-1.4
Wissam Ben Yedder,FRA,FW,31,1990,23.5,19,66,36,54.5,2.81,1.53,0.21,0.39,14.2,3,5,6,17.4,12.7,0.19,1.6,1.3
Youssouf Fofana,FRA,MF,23,1999,34.3,2,42,10,23.8,1.22,0.29,0.05,0.2,22.9,1,0,0,2.8,2.8,0.07,-0.8,-0.8
