General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Aleksandr Golovin,RUS,"MF,FW",26,1996,27.4,62,36,19,32,11,28,72,38.9,44,28,1,27,37,99,10,0
Alexander Nübel,GER,GK,25,1996,38.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,10,3
Axel Disasi,FRA,DF,24,1998,37.0,30,20,13,13,4,13,27,48.1,14,51,31,20,56,86,112,2
Benoît Badiashile,FRA,DF,21,2001,9.3,10,8,6,4,0,5,10,50.0,5,9,6,3,17,27,40,1
Breel Embolo,SUI,FW,25,1997,20.7,15,9,2,7,6,5,10,50.0,5,14,3,11,5,20,12,0
Caio Henrique Oliveira Silva,BRA,DF,25,1997,32.2,74,51,42,28,4,44,76,57.9,32,28,8,20,26,100,68,1
Chrislain Matsima,FRA,DF,20,2002,5.0,11,6,7,2,2,4,7,57.1,3,5,5,0,9,20,16,0
Edan Diop,FRA,"DF,FW",17,2004,2.5,13,8,3,3,7,7,15,46.7,8,7,1,6,4,17,1,0
Eliesse Ben Seghir,MAR,"FW,MF",17,2005,11.7,18,10,4,12,2,4,12,33.3,8,18,1,17,4,22,1,0
Eliot Matazo,BEL,MF,20,2002,13.1,26,12,11,13,2,11,26,42.3,15,18,4,14,15,41,11,1
Gelson Martins,POR,"MF,FW",27,1995,3.8,15,8,6,4,5,4,13,30.8,9,4,1,3,3,18,2,0
Guillermo Maripán,CHI,DF,28,1994,24.0,46,26,26,20,0,17,33,51.5,16,39,27,12,38,84,87,0
Ismail Jakobs,SEN,"DF,FW",22,1999,12.4,11,5,7,3,1,5,12,41.7,7,9,1,8,9,20,18,0
Jean Lucas,BRA,MF,24,1998,3.2,9,5,3,5,1,6,12,50.0,6,2,1,1,4,13,2,0
Kevin Volland,GER,"FW,MF",30,1992,7.1,8,4,1,5,2,2,8,25.0,6,8,0,8,2,10,0,0
Krépin Diatta,SEN,"MF,FW",23,1999,23.0,30,21,4,17,9,13,32,40.6,19,29,1,28,17,47,12,0
Maghnes Akliouche,FRA,"MF,FW",20,2002,4.5,7,4,4,3,0,2,8,25.0,6,2,0,2,3,10,2,0
Malang Sarr,FRA,DF,23,1999,8.0,6,3,5,1,0,1,5,20.0,4,11,7,4,15,21,29,2
Mohamed Camara,MLI,MF,22,2000,24.4,83,45,38,39,6,48,92,52.2,44,45,6,39,27,110,14,1
Myron Boadu,NED,FW,21,2001,3.3,3,3,0,2,1,1,7,14.3,6,1,0,1,0,3,1,0
Ruben Aguilar,FRA,DF,29,1993,13.0,19,9,7,7,5,8,22,36.4,14,13,1,12,18,37,28,1
Sofiane Diop,FRA,MF,22,2000,0.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Soungoutou Magassa,FRA,MF,18,2003,0.9,4,1,2,2,0,2,4,50.0,2,3,0,3,1,5,1,0
Takumi Minamino,JPN,"MF,FW",27,1995,8.0,15,8,5,7,3,7,35,20.0,28,14,0,14,6,21,4,0
Vanderson,BRA,"DF,MF",21,2001,24.6,84,48,36,34,14,44,75,58.7,31,36,9,27,48,132,36,1
Wissam Ben Yedder,FRA,FW,31,1990,23.5,16,9,2,5,9,4,13,30.8,9,15,0,15,4,20,0,0
Youssouf Fofana,FRA,MF,23,1999,34.3,81,41,31,42,8,38,74,51.4,36,50,6,44,56,137,32,1
