General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Alejandro Revuelta Montero,ESP,DF,22,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Borja Mayoral,ESP,FW,25,1997,30.7,4,0,0,16,38,11,37,3,4,1,0,0,105,36,84,30.0
Carles Aleñá,ESP,"MF,FW",24,1998,23.5,12,1,1,60,50,3,43,4,10,0,1,0,120,15,38,28.3
Damián Suárez,URU,"DF,MF",34,1988,21.6,7,0,0,43,17,2,78,15,33,0,0,0,132,14,16,46.7
David Soria,ESP,GK,29,1993,38.0,2,0,0,1,3,0,0,1,0,0,0,0,39,4,0,100.0
Djené,TOG,DF,30,1991,31.6,10,1,0,49,38,1,23,42,28,0,2,0,204,53,30,63.9
Domingos Duarte,POR,DF,27,1995,29.5,11,1,1,32,21,2,0,39,18,0,2,1,126,47,30,61.0
Enes Ünal,TUR,FW,25,1997,33.0,6,0,0,61,77,28,17,6,14,2,0,0,87,156,164,48.8
Fabrizio Angileri,ARG,DF,28,1994,6.5,2,1,0,7,1,0,12,7,9,0,1,0,19,17,10,63.0
Gastón Álvarez,URU,DF,22,2000,16.7,7,1,0,27,12,0,23,15,30,0,1,0,53,31,31,50.0
Gonzalo Villar,ESP,MF,24,1998,5.1,5,0,0,20,12,0,6,6,5,0,0,0,50,7,7,50.0
Iglesias,ESP,"DF,MF",24,1998,23.8,7,0,0,44,21,2,86,21,35,0,0,0,127,15,19,44.1
Jaime Mata,ESP,"FW,MF",33,1988,4.9,5,0,0,17,7,4,9,3,10,0,0,0,27,10,15,40.0
Jaime Seoane,ESP,"MF,FW",25,1997,3.6,1,0,0,6,4,0,2,1,4,0,0,0,17,2,5,28.6
Jordan Amavi,FRA,DF,28,1994,2.2,2,1,1,3,2,1,6,4,2,0,0,0,15,8,3,72.7
Juanmi Latasa,ESP,FW,21,2001,5.0,2,0,0,21,11,1,2,1,4,0,0,0,17,68,54,55.7
Luis Milla,ESP,MF,27,1994,20.6,6,1,1,29,22,1,75,32,30,0,1,0,149,17,19,47.2
Mauro Arambarri,URU,MF,26,1995,11.0,5,1,1,21,11,0,42,14,6,0,0,1,63,15,12,55.6
Moises Parra Gutierrez,ESP,FW,20,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Munir El Haddadi,MAR,"MF,FW",26,1995,12.8,4,0,0,14,34,13,70,9,7,0,0,0,64,28,28,50.0
Nemanja Maksimović,SRB,MF,27,1995,22.8,3,0,0,25,8,0,9,34,30,0,0,0,93,45,30,60.0
Omar Alderete,PAR,DF,25,1996,22.7,9,0,0,35,10,0,7,26,20,0,0,0,141,61,31,66.3
Portu,ESP,"MF,DF",30,1992,19.7,7,1,1,25,25,10,91,17,21,0,0,0,91,20,34,37.0
Stefan Mitrović,SRB,DF,32,1990,18.7,5,0,0,13,3,0,0,17,6,0,0,0,63,38,16,70.4
Ángel Algobia,ESP,MF,23,1999,12.6,3,0,0,31,10,0,11,3,13,0,0,0,68,7,21,25.0
