General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Alejandro Revuelta Montero,ESP,DF,22,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borja Mayoral,ESP,FW,25,1997,30.7,775,737,37,0,2,11,37,3,1,0,0,0,582,1,31
Carles Aleñá,ESP,"MF,FW",24,1998,23.5,809,782,21,8,3,10,43,2,9,5,4,0,607,6,18
Damián Suárez,URU,"DF,MF",34,1988,21.6,962,705,255,38,0,25,78,204,13,7,5,0,649,2,28
David Soria,ESP,GK,29,1993,38.0,1136,620,509,162,0,19,0,0,0,0,0,0,610,7,1
Djené,TOG,DF,30,1991,31.6,1154,1094,52,31,1,4,23,21,0,0,0,0,884,8,21
Domingos Duarte,POR,DF,27,1995,29.5,963,927,34,31,0,10,0,3,0,0,0,0,742,2,4
Enes Ünal,TUR,FW,25,1997,33.0,750,728,16,1,6,2,17,1,0,0,0,0,446,6,21
Fabrizio Angileri,ARG,DF,28,1994,6.5,260,190,70,3,0,2,12,67,0,0,0,0,153,0,13
Gastón Álvarez,URU,DF,22,2000,16.7,579,431,147,6,0,2,23,141,0,0,0,0,350,1,16
Gonzalo Villar,ESP,MF,24,1998,5.1,258,241,17,11,0,1,6,4,2,2,0,0,205,0,6
Iglesias,ESP,"DF,MF",24,1998,23.8,951,684,263,6,2,9,86,257,0,0,0,0,557,4,33
Jaime Mata,ESP,"FW,MF",33,1988,4.9,122,119,2,0,0,0,9,1,0,0,0,0,68,1,7
Jaime Seoane,ESP,"MF,FW",25,1997,3.6,112,107,4,4,1,3,2,0,0,0,0,0,87,1,1
Jordan Amavi,FRA,DF,28,1994,2.2,96,69,27,1,0,0,6,26,0,0,0,0,51,0,5
Juanmi Latasa,ESP,FW,21,2001,5.0,164,159,3,0,0,1,2,0,0,0,0,0,80,2,7
Luis Milla,ESP,MF,27,1994,20.6,974,855,113,65,1,18,75,0,43,17,24,0,756,6,17
Mauro Arambarri,URU,MF,26,1995,11.0,421,355,66,44,0,6,42,0,22,14,7,1,326,0,7
Moises Parra Gutierrez,ESP,FW,20,2002,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Munir El Haddadi,MAR,"MF,FW",26,1995,12.8,433,370,58,23,0,2,70,12,19,7,11,0,270,5,20
Nemanja Maksimović,SRB,MF,27,1995,22.8,563,531,32,12,0,0,9,0,1,0,0,0,439,0,10
Omar Alderete,PAR,DF,25,1996,22.7,877,826,37,30,1,25,7,7,0,0,0,0,509,14,13
Portu,ESP,"MF,DF",30,1992,19.7,731,599,123,7,1,2,91,108,8,5,3,0,493,9,44
Stefan Mitrović,SRB,DF,32,1990,18.7,512,484,26,26,0,5,0,0,0,0,0,0,403,2,2
Ángel Algobia,ESP,MF,23,1999,12.6,521,502,17,15,0,5,11,0,1,1,0,0,420,2,8
