General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Alejandro Revuelta Montero,ESP,DF,22,2000,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Borja Mayoral,ESP,FW,25,1997,30.7,1040,15,106,495,449,118,1038,70,27,38.6,35,50.0,639,3327,1531,58,35,25,63,54,763,166
Carles Aleñá,ESP,"MF,FW",24,1998,23.5,1024,17,149,579,312,28,1024,43,24,55.8,13,30.2,608,2796,1235,24,23,2,47,24,728,78
Damián Suárez,URU,"DF,MF",34,1988,21.6,1169,42,299,580,306,15,1169,34,13,38.2,21,61.8,462,1781,959,21,23,5,23,6,542,72
David Soria,ESP,GK,29,1993,38.0,1224,1011,1216,11,0,0,1224,0,0,,0,,541,3493,2322,0,0,0,0,0,291,0
Djené,TOG,DF,30,1991,31.6,1418,117,599,716,120,11,1418,28,18,64.3,3,10.7,754,3584,1725,11,17,0,22,15,745,20
Domingos Duarte,POR,DF,27,1995,29.5,1246,178,677,538,35,22,1246,6,5,83.3,1,16.7,583,2704,1231,6,2,0,6,3,621,0
Enes Ünal,TUR,FW,25,1997,33.0,1117,43,91,506,535,138,1111,43,21,48.8,19,44.2,618,2236,902,29,26,15,88,50,893,148
Fabrizio Angileri,ARG,DF,28,1994,6.5,324,17,88,157,80,3,324,11,4,36.4,6,54.5,123,554,220,4,7,0,4,4,145,14
Gastón Álvarez,URU,DF,22,2000,16.7,732,42,218,376,144,8,732,19,8,42.1,9,47.4,254,933,437,11,8,0,13,3,318,27
Gonzalo Villar,ESP,MF,24,1998,5.1,312,8,48,209,62,5,312,20,13,65.0,4,20.0,176,1206,608,13,10,2,9,6,184,9
Iglesias,ESP,"DF,MF",24,1998,23.8,1259,78,381,545,349,23,1259,30,13,43.3,13,43.3,508,2781,1363,39,34,6,30,10,529,100
Jaime Mata,ESP,"FW,MF",33,1988,4.9,190,8,29,73,90,20,190,5,2,40.0,3,60.0,102,369,104,2,6,0,16,7,131,33
Jaime Seoane,ESP,"MF,FW",25,1997,3.6,155,4,26,82,47,2,155,5,2,40.0,3,60.0,84,434,208,6,3,1,4,6,94,7
Jordan Amavi,FRA,DF,28,1994,2.2,119,8,33,65,23,1,119,1,0,0.0,1,100.0,42,255,121,4,5,1,2,0,44,5
Juanmi Latasa,ESP,FW,21,2001,5.0,240,8,16,115,110,27,240,7,2,28.6,4,57.1,107,323,52,0,2,0,24,9,178,33
Luis Milla,ESP,MF,27,1994,20.6,1132,43,238,704,202,5,1132,15,12,80.0,2,13.3,572,2604,1203,15,11,1,20,12,629,7
Mauro Arambarri,URU,MF,26,1995,11.0,514,30,118,304,102,3,514,4,4,100.0,0,0.0,234,1162,503,8,10,0,13,4,248,7
Moises Parra Gutierrez,ESP,FW,20,2002,0.1,6,0,1,2,3,0,6,0,0,,0,,1,2,1,0,0,0,0,0,1,0
Munir El Haddadi,MAR,"MF,FW",26,1995,12.8,614,8,66,253,299,48,614,34,12,35.3,16,47.1,344,1529,562,20,13,7,45,25,391,84
Nemanja Maksimović,SRB,MF,27,1995,22.8,794,44,189,437,174,35,794,9,3,33.3,6,66.7,300,1251,545,13,12,4,17,7,346,29
Omar Alderete,PAR,DF,25,1996,22.7,1114,118,458,591,81,25,1114,22,17,77.3,5,22.7,529,2843,1937,28,15,2,15,8,533,8
Portu,ESP,"MF,DF",30,1992,19.7,914,17,179,378,366,35,914,43,13,30.2,22,51.2,471,2660,1405,42,26,4,29,8,532,130
Stefan Mitrović,SRB,DF,32,1990,18.7,663,110,396,260,11,8,663,1,0,0.0,1,100.0,312,1443,616,1,0,0,2,0,331,1
Ángel Algobia,ESP,MF,23,1999,12.6,626,14,147,390,92,9,626,6,4,66.7,2,33.3,330,1542,716,10,4,3,12,7,387,11
