General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Adam Lallana,ENG,"MF,FW",34,1988,8.0,9,4,6,2,1,0,7,0.0,7,6,0,6,2,11,1,0
Adam Webster,ENG,DF,27,1995,22.1,22,12,10,9,3,11,19,57.9,8,30,19,11,19,41,55,4
Alexis Mac Allister,ARG,MF,23,1998,32.1,70,39,22,40,8,34,71,47.9,37,26,2,24,22,92,10,1
Andrew Moran,IRL,FW,18,2003,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Billy Gilmour,SCO,MF,21,2001,5.6,5,2,2,2,1,2,8,25.0,6,5,2,3,6,11,5,0
Cameron Peupion,AUS,MF,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Danny Welbeck,ENG,FW,31,1990,20.6,15,7,0,7,8,4,11,36.4,7,24,2,22,5,20,20,0
Deniz Undav,GER,"FW,MF",26,1996,7.0,7,4,2,2,3,2,8,25.0,6,4,1,3,0,7,1,0
Enock Mwepu,ZAM,"FW,MF",24,1998,2.4,10,5,1,6,3,3,4,75.0,1,3,1,2,1,11,1,0
Evan Ferguson,IRL,FW,17,2004,10.6,6,3,1,3,2,1,7,14.3,6,11,1,10,2,8,6,0
Facundo Buonanotte,ARG,"FW,MF",17,2004,6.3,2,1,1,1,0,1,22,4.5,21,5,2,3,4,6,3,0
Jack Hinshelwood,ENG,FW,17,2005,0.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Jan Paul van Hecke,NED,DF,22,2000,3.3,8,6,3,4,1,5,5,100.0,0,8,5,3,6,14,9,0
Jason Steele,ENG,GK,31,1990,15.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,1
Jeremy Sarmiento,ECU,MF,20,2002,2.0,6,3,4,1,1,2,5,40.0,3,2,0,2,1,7,0,0
Joël Veltman,NED,DF,30,1992,24.3,62,32,44,14,4,37,57,64.9,20,27,8,19,19,81,51,0
Julio Enciso,PAR,"FW,MF",18,2004,9.0,13,4,3,6,4,8,13,61.5,5,9,0,9,4,17,2,0
Kaoru Mitoma,JPN,"FW,MF",25,1997,25.8,44,27,15,16,13,20,41,48.8,21,25,0,25,17,61,10,0
Leandro Trossard,BEL,"FW,MF",27,1994,14.6,10,6,7,1,2,1,8,12.5,7,17,0,17,6,16,1,0
Levi Colwill,ENG,DF,19,2003,13.6,8,7,4,4,0,4,9,44.4,5,5,3,2,15,23,37,1
Lewis Dunk,ENG,DF,30,1991,36.0,30,19,19,9,2,18,41,43.9,23,37,27,10,34,64,81,1
Moisés Caicedo,ECU,MF,20,2001,34.9,100,50,41,47,12,40,68,58.8,28,43,7,36,56,156,31,3
Odeluga Offiah,ENG,DF,19,2002,0.3,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,1,0
Pascal Groß,GER,"MF,DF",31,1991,36.0,59,38,23,27,9,25,55,45.5,30,32,10,22,13,72,21,1
Pervis Estupiñán,ECU,DF,24,1998,29.7,61,31,36,19,6,35,60,58.3,25,30,8,22,37,98,37,1
Robert Sánchez,ESP,GK,24,1997,23.0,1,0,1,0,0,0,0,,0,0,0,0,3,4,9,2
Solly March,ENG,"FW,DF",28,1994,30.2,53,31,16,17,20,8,28,28.6,20,34,3,31,24,77,32,0
Tariq Lamptey,GHA,DF,21,2000,5.0,11,6,6,4,1,5,7,71.4,2,7,3,4,7,18,2,0
Yasin Ayari,SWE,MF,18,2003,0.7,2,2,1,1,0,0,4,0.0,4,1,0,1,0,2,0,0
