General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Adam Lallana,ENG,"MF,FW",34,1988,8.0,2,8,5,62.5,1.0,0.62,0.25,0.4,13.3,0,0,0,0.9,0.9,0.11,1.1,1.1
Adam Webster,ENG,DF,27,1995,22.1,0,18,2,11.1,0.82,0.09,0.0,0.0,11.2,0,0,0,1.8,1.8,0.1,-1.8,-1.8
Alexis Mac Allister,ARG,MF,23,1998,32.1,10,80,28,35.0,2.49,0.87,0.05,0.14,22.5,8,6,6,12.1,7.3,0.09,-2.1,-3.3
Andrew Moran,IRL,FW,18,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Billy Gilmour,SCO,MF,21,2001,5.6,0,6,1,16.7,1.07,0.18,0.0,0.0,20.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5
Cameron Peupion,AUS,MF,19,2002,0.1,0,1,0,0.0,15.0,0.0,0.0,,8.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Danny Welbeck,ENG,FW,31,1990,20.6,6,62,22,35.5,3.01,1.07,0.1,0.27,14.1,1,0,0,9.4,9.4,0.15,-3.4,-3.4
Deniz Undav,GER,"FW,MF",26,1996,7.0,5,27,12,44.4,3.87,1.72,0.19,0.42,13.8,0,0,0,4.5,4.5,0.18,0.5,0.5
Enock Mwepu,ZAM,"FW,MF",24,1998,2.4,0,2,1,50.0,0.85,0.42,0.0,0.0,16.7,0,0,0,0.2,0.2,0.11,-0.2,-0.2
Evan Ferguson,IRL,FW,17,2004,10.6,6,36,17,47.2,3.41,1.61,0.17,0.35,15.2,0,0,0,5.3,5.3,0.15,0.7,0.7
Facundo Buonanotte,ARG,"FW,MF",17,2004,6.3,1,11,3,27.3,1.75,0.48,0.09,0.33,16.9,0,0,0,1.4,1.4,0.13,-0.4,-0.4
Jack Hinshelwood,ENG,FW,17,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jan Paul van Hecke,NED,DF,22,2000,3.3,0,2,0,0.0,0.61,0.0,0.0,,16.3,0,0,0,0.6,0.6,0.3,-0.6,-0.6
Jason Steele,ENG,GK,31,1990,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jeremy Sarmiento,ECU,MF,20,2002,2.0,0,5,2,40.0,2.56,1.02,0.0,0.0,20.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Joël Veltman,NED,DF,30,1992,24.3,1,15,5,33.3,0.62,0.21,0.07,0.2,16.3,0,0,0,1.8,1.8,0.12,-0.8,-0.8
Julio Enciso,PAR,"FW,MF",18,2004,9.0,4,38,18,47.4,4.24,2.01,0.11,0.22,19.6,0,0,0,4.0,4.0,0.11,0.0,0.0
Kaoru Mitoma,JPN,"FW,MF",25,1997,25.8,7,52,21,40.4,2.02,0.82,0.13,0.33,13.2,0,0,0,8.1,8.1,0.16,-1.1,-1.1
Leandro Trossard,BEL,"FW,MF",27,1994,14.6,7,38,17,44.7,2.6,1.16,0.18,0.41,15.0,0,0,0,4.4,4.4,0.12,2.6,2.6
Levi Colwill,ENG,DF,19,2003,13.6,0,8,0,0.0,0.59,0.0,0.0,,7.0,0,0,0,1.4,1.4,0.18,-1.4,-1.4
Lewis Dunk,ENG,DF,30,1991,36.0,1,22,3,13.6,0.61,0.08,0.05,0.33,11.7,1,0,0,1.7,1.7,0.08,-0.7,-0.7
Moisés Caicedo,ECU,MF,20,2001,34.9,1,28,8,28.6,0.8,0.23,0.04,0.13,23.9,0,0,0,1.7,1.7,0.06,-0.7,-0.7
Odeluga Offiah,ENG,DF,19,2002,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Pascal Groß,GER,"MF,DF",31,1991,36.0,9,39,19,48.7,1.08,0.53,0.23,0.47,17.4,1,0,0,5.4,5.4,0.14,3.6,3.6
Pervis Estupiñán,ECU,DF,24,1998,29.7,1,29,4,13.8,0.98,0.13,0.03,0.25,19.3,0,0,0,1.7,1.7,0.06,-0.7,-0.7
Robert Sánchez,ESP,GK,24,1997,23.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Solly March,ENG,"FW,DF",28,1994,30.2,7,74,31,41.9,2.45,1.03,0.09,0.23,16.2,1,0,0,8.1,8.1,0.11,-1.1,-1.1
Tariq Lamptey,GHA,DF,21,2000,5.0,0,5,0,0.0,0.99,0.0,0.0,,20.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Yasin Ayari,SWE,MF,18,2003,0.7,0,1,0,0.0,1.34,0.0,0.0,,29.7,0,0,0,0.0,0.0,0.02,0.0,0.0
