General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Abdón Prats,ESP,"FW,MF",29,1992,26,416,16,12.2,4.6,2,55,0,24,13,12,1.31,6,7,-1,-0.22,-0.07,5.4,6.8,-1.5,-0.32,-0.03
Amath,SEN,"MF,FW",26,1996,28,1227,44,35.9,13.6,12,68,3,16,26,3,1.25,13,14,-1,-0.07,0.13,14.7,15.1,-0.4,-0.03,0.42
Antonio Raillo,ESP,DF,30,1991,31,2766,89,80.9,30.7,31,89,30,0,,0,1.32,31,31,0,0.0,0.83,29.8,32.3,-2.5,-0.08,1.17
Antonio Sánchez,ESP,"MF,DF",25,1997,32,1076,34,31.5,12.0,11,64,1,21,18,5,1.28,7,19,-12,-1.0,-1.23,11.9,14.4,-2.5,-0.2,0.13
Benjamín Garay,ARG,DF,22,2000,0,,,,,0,,0,0,,6,,,,,,,,,,,
Braian Cufré,ARG,DF,25,1996,5,220,44,6.4,2.4,2,90,2,3,13,13,0.8,2,2,0,0.0,0.17,4.1,1.1,3.0,1.21,1.61
Clément Grenier,FRA,MF,31,1991,21,718,34,21.0,8.0,6,71,1,15,20,14,1.48,9,11,-2,-0.25,-0.12,7.2,13.1,-5.9,-0.74,-0.56
Copete,ESP,DF,22,1999,28,2206,79,64.5,24.5,27,81,16,1,14,6,1.39,22,26,-4,-0.16,-0.01,22.0,31.4,-9.4,-0.38,-0.25
Cristóbal Montiel,ESP,MF,22,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,
Dani Rodríguez,ESP,MF,34,1988,35,2100,60,61.4,23.3,26,73,3,9,24,0,1.23,23,26,-3,-0.13,0.08,19.5,31.6,-12.1,-0.52,-0.58
Dennis Hadzikadunic,BIH,DF,24,1998,8,614,77,18.0,6.8,7,84,5,1,24,8,1.38,9,12,-3,-0.44,-0.34,6.8,10.7,-3.9,-0.57,-0.33
Dominik Greif,SVK,GK,25,1997,1,90,90,2.6,1.0,1,90,1,0,,24,0.0,0,3,-3,-3.0,-2.92,0.1,3.6,-3.5,-3.52,-3.31
Franco Russo,ARG,DF,27,1994,3,145,48,4.2,1.6,2,72,0,1,1,13,1.0,0,2,-2,-1.24,-1.13,0.7,2.2,-1.5,-0.91,-0.64
Giovanni González,URU,DF,27,1994,15,926,62,27.1,10.3,9,87,7,6,24,15,1.56,13,8,5,0.49,0.88,10.3,8.8,1.6,0.15,0.61
Iddrisu Baba,GHA,"MF,DF",26,1996,29,1705,59,49.9,18.9,20,76,10,9,21,6,1.45,14,24,-10,-0.53,-0.74,16.6,25.5,-8.9,-0.46,-0.33
Iñigo Ruiz de Galarreta,ESP,MF,28,1993,30,2449,82,71.6,27.2,28,87,19,2,3,0,1.53,29,25,4,0.15,1.07,27.6,25.5,2.0,0.08,1.31
Jaume Costa,ESP,DF,34,1988,32,2599,81,76.0,28.9,30,84,19,2,45,1,1.44,31,32,-1,-0.03,0.51,25.0,36.8,-11.8,-0.41,-0.47
Javier Llabrés,ESP,FW,19,2002,1,17,17,0.5,0.2,0,,0,1,17,7,3.0,0,0,0,0.0,0.16,0.0,0.2,-0.2,-0.82,-0.53
Josep Antoni Gayá,ESP,"DF,MF",22,2000,2,98,49,2.9,1.1,1,90,1,1,8,19,1.5,0,2,-2,-1.84,-1.73,0.0,2.3,-2.3,-3.86,-3.62
Lago Junior,CIV,"FW,MF",31,1990,5,52,10,1.5,0.6,0,,0,5,10,9,0.2,0,2,-2,-3.46,-3.35,1.0,1.3,-0.3,-0.51,-0.22
Lee Kang-in,KOR,"MF,FW",21,2001,36,2823,78,82.5,31.4,33,83,12,3,29,0,1.31,32,32,0,0.0,0.9,29.5,34.1,-4.6,-0.15,0.86
Leo Román,ESP,GK,22,2000,1,90,90,2.6,1.0,1,90,1,0,,30,3.0,3,0,3,3.0,3.24,2.2,1.1,1.1,1.12,1.45
Ludwig Augustinsson,SWE,DF,28,1994,4,132,33,3.9,1.5,1,71,0,3,20,6,0.0,1,4,-3,-2.05,-1.96,1.2,2.6,-1.5,-1.0,-0.73
Luis Montiel,ESP,MF,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Manu Morlanes,ESP,MF,23,1999,12,706,59,20.6,7.8,9,74,0,3,14,6,1.42,10,10,0,0.0,0.2,8.4,9.7,-1.3,-0.17,0.16
Marcos Fernández Cózar,ESP,DF,19,2003,0,,,,,0,,0,0,,7,,,,,,,,,,,
Martin Valjent,SVK,DF,26,1995,30,2656,89,77.7,29.5,30,89,27,0,,2,1.4,29,33,-4,-0.14,0.1,27.5,36.4,-8.9,-0.3,-0.03
Matija Nastasić,SRB,DF,29,1993,14,906,65,26.5,10.1,10,84,8,4,16,9,1.21,9,13,-4,-0.4,-0.33,6.9,13.2,-6.3,-0.63,-0.45
Miguel Llabrés,ESP,MF,22,2000,0,,,,,0,,0,0,,8,,,,,,,,,,,
Miguelito,ESP,DF,21,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Pablo Maffeo,ESP,DF,25,1997,35,2975,85,87.0,33.1,34,87,30,1,29,0,1.26,31,40,-9,-0.27,-0.88,29.4,42.1,-12.7,-0.38,-0.73
Pere Joan,ESP,GK,20,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,
Predrag Rajković,SRB,GK,26,1995,36,3240,90,94.7,36.0,36,90,36,0,,2,1.31,34,40,-6,-0.17,-0.17,32.9,41.7,-8.8,-0.25,0.95
Rodrigo Battaglia,ARG,MF,31,1991,15,686,46,20.1,7.6,8,73,2,7,14,9,1.47,5,7,-2,-0.26,-0.13,4.6,11.2,-6.7,-0.88,-0.72
Rubén Quintanilla,ESP,DF,20,2002,1,4,4,0.1,0.0,0,,0,1,4,1,0.0,0,0,0,0.0,0.16,0.0,0.1,-0.1,-2.38,-2.09
