General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Dominik Greif,SVK,GK,25,1997,1.0,3,0,0,0,0,2.2,0.28,-0.8,-0.76,19,34,55.9,23,2,87.0,54.9,15,93.3,64.5,19,2,10.5,0,0.0,4.0
Leo Román,ESP,GK,22,2000,1.0,0,0,0,0,0,0.1,0.03,0.1,0.11,9,21,42.9,30,3,40.0,35.2,12,75.0,48.8,30,1,3.3,2,2.0,17.4
Predrag Rajković,SRB,GK,26,1995,36.0,40,6,0,3,0,39.2,0.25,-0.8,-0.02,323,786,41.1,899,125,61.8,45.4,309,74.4,54.0,608,32,5.3,19,0.53,11.7
