General,General,General,General,General,Playing time,Playing time,Playing time,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Ga,Ga90,Sota,Saves,Save%,W,D,L,Cs,Cs%,Pkatt,Pka,Pksv,Pkm,Save%
Dominik Greif,SVK,GK,25,1997,1,1,90,1.0,3,3.0,8,5,62.5,0,0,1,0,0.0,0,0,0,0,
Leo Román,ESP,GK,22,2000,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
Predrag Rajković,SRB,GK,26,1995,36,36,3240,36.0,40,1.11,133,92,74.4,13,8,15,12,33.3,7,6,1,0,14.3
