General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Abdón Prats,ESP,"FW,MF",29,1992,4.6,1,6,4,66.7,1.3,0.87,0.17,0.25,13.9,0,0,0,0.7,0.7,0.12,0.3,0.3
Amath,SEN,"MF,FW",26,1996,13.6,2,23,7,30.4,1.69,0.51,0.09,0.29,14.0,0,0,0,2.7,2.7,0.12,-0.7,-0.7
Antonio Raillo,ESP,DF,30,1991,30.7,2,13,5,38.5,0.42,0.16,0.15,0.4,13.9,0,0,0,0.6,0.6,0.05,1.4,1.4
Antonio Sánchez,ESP,"MF,DF",25,1997,12.0,0,12,5,41.7,1.0,0.42,0.0,0.0,22.5,0,0,0,0.6,0.6,0.05,-0.6,-0.6
Braian Cufré,ARG,DF,25,1996,2.4,0,3,0,0.0,1.23,0.0,0.0,,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Clément Grenier,FRA,MF,31,1991,8.0,0,3,2,66.7,0.38,0.25,0.0,0.0,23.1,1,0,0,0.2,0.2,0.07,-0.2,-0.2
Copete,ESP,DF,22,1999,24.5,1,6,1,16.7,0.24,0.04,0.17,1.0,7.8,0,0,0,1.0,0.5,0.09,0.0,0.5
Dani Rodríguez,ESP,MF,34,1988,23.3,3,25,10,40.0,1.07,0.43,0.12,0.3,17.9,0,0,0,2.4,2.4,0.1,0.6,0.6
Dennis Hadzikadunic,BIH,DF,24,1998,6.8,0,5,1,20.0,0.73,0.15,0.0,0.0,15.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Dominik Greif,SVK,GK,25,1997,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Franco Russo,ARG,DF,27,1994,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Giovanni González,URU,DF,27,1994,10.3,0,4,0,0.0,0.39,0.0,0.0,,19.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Iddrisu Baba,GHA,"MF,DF",26,1996,18.9,0,12,2,16.7,0.63,0.11,0.0,0.0,24.0,0,0,0,0.6,0.6,0.05,-0.6,-0.6
Iñigo Ruiz de Galarreta,ESP,MF,28,1993,27.2,0,10,2,20.0,0.37,0.07,0.0,0.0,25.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Jaume Costa,ESP,DF,34,1988,28.9,0,11,6,54.5,0.38,0.21,0.0,0.0,15.7,0,0,0,1.0,1.0,0.09,-1.0,-1.0
Javier Llabrés,ESP,FW,19,2002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Josep Antoni Gayá,ESP,"DF,MF",22,2000,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lago Junior,CIV,"FW,MF",31,1990,0.6,0,2,1,50.0,3.46,1.73,0.0,0.0,17.4,0,0,0,0.0,0.0,0.01,0.0,0.0
Lee Kang-in,KOR,"MF,FW",21,2001,31.4,6,46,14,30.4,1.47,0.45,0.13,0.43,20.0,7,0,0,5.4,5.4,0.12,0.6,0.6
Leo Román,ESP,GK,22,2000,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ludwig Augustinsson,SWE,DF,28,1994,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Manu Morlanes,ESP,MF,23,1999,7.8,1,7,2,28.6,0.89,0.25,0.14,0.5,22.1,0,0,0,0.3,0.3,0.04,0.7,0.7
Martin Valjent,SVK,DF,26,1995,29.5,0,6,2,33.3,0.2,0.07,0.0,0.0,21.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Matija Nastasić,SRB,DF,29,1993,10.1,1,4,2,50.0,0.4,0.2,0.25,0.5,12.2,0,0,0,0.5,0.5,0.13,0.5,0.5
Pablo Maffeo,ESP,DF,25,1997,33.1,2,21,4,19.0,0.64,0.12,0.1,0.5,17.4,0,0,0,1.8,1.8,0.08,0.2,0.2
Predrag Rajković,SRB,GK,26,1995,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Rodrigo Battaglia,ARG,MF,31,1991,7.6,0,2,0,0.0,0.26,0.0,0.0,,18.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Rubén Quintanilla,ESP,DF,20,2002,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Tino Kadewere,ZIM,"FW,MF",26,1996,6.0,1,19,6,31.6,3.15,1.0,0.05,0.17,18.7,0,0,0,1.6,1.6,0.08,-0.6,-0.6
Vedat Muriqi,KVX,FW,28,1994,32.6,15,71,25,35.2,2.18,0.77,0.15,0.44,15.3,0,4,5,12.5,8.6,0.12,2.5,2.4
Ángel Rodríguez,ESP,"FW,MF",35,1987,4.4,1,13,6,46.2,2.97,1.37,0.08,0.17,13.1,0,0,0,2.8,2.8,0.21,-1.8,-1.8
